state_name,2021,in millions,population,per capita,weekly,two adults,low_cost_plan_grocery_estimate
Alabama,14248.3," $14,248,300,000.00 ",5039877," $2,827.11 ", $54.37 , $108.74 , $202.24 
Alaska,2479.3," $2,479,300,000.00 ",732673," $3,383.91 ", $65.08 , $130.15 , $242.07 
Arizona,20461.4," $20,461,400,000.00 ",7276316," $2,812.05 ", $54.08 , $108.16 , $201.16 
Arkansas,7958," $7,958,000,000.00 ",3025891," $2,629.97 ", $50.58 , $101.15 , $188.14 
California,128867.5," $128,867,500,000.00 ",39237836," $3,284.27 ", $63.16 , $126.32 , $234.94 
Colorado,19505.4," $19,505,400,000.00 ",5812069," $3,356.02 ", $64.54 , $129.08 , $240.07 
Connecticut,12474.9," $12,474,900,000.00 ",3605597," $3,459.87 ", $66.54 , $133.07 , $247.50 
Delaware,3135.4," $3,135,400,000.00 ",1003384," $3,124.83 ", $60.09 , $120.19 , $223.54 
District of Columbia,3522.7," $3,522,700,000.00 ",670050," $5,257.37 ", $101.10 , $202.21 , $376.09 
Florida,72182.7," $72,182,700,000.00 ",21781128," $3,314.00 ", $63.73 , $127.46 , $237.07 
Georgia,34123.4," $34,123,400,000.00 ",10799566," $3,159.70 ", $60.76 , $121.53 , $226.03 
Hawaii,5612.6," $5,612,600,000.00 ",1441553," $3,893.44 ", $74.87 , $149.75 , $278.52 
Idaho,5425.1," $5,425,100,000.00 ",1900923," $2,853.93 ", $54.88 , $109.77 , $204.16 
Illinois,37857.6," $37,857,600,000.00 ",12671469," $2,987.63 ", $57.45 , $114.91 , $213.72 
Indiana,20261.5," $20,261,500,000.00 ",6805985," $2,977.01 ", $57.25 , $114.50 , $212.96 
Iowa,8831.2," $8,831,200,000.00 ",3193079," $2,765.73 ", $53.19 , $106.37 , $197.85 
Kansas,9826.7," $9,826,700,000.00 ",2934582," $3,348.59 ", $64.40 , $128.79 , $239.54 
Kentucky,14695.1," $14,695,100,000.00 ",4509394," $3,258.77 ", $62.67 , $125.34 , $233.12 
Louisiana,13932.2," $13,932,200,000.00 ",4624047," $3,012.99 ", $57.94 , $115.88 , $215.54 
Maine,5316.4," $5,316,400,000.00 ",1372247," $3,874.23 ", $74.50 , $149.01 , $277.15 
Maryland,17106.8," $17,106,800,000.00 ",6165129," $2,774.77 ", $53.36 , $106.72 , $198.49 
Massachusetts,24188.5," $24,188,500,000.00 ",6984723," $3,463.06 ", $66.60 , $133.19 , $247.73 
