state_name,2021_median_income,median_weekly_income
The United States,"70,784",1361.230769
Alabama,"56,929",1094.788462
Alaska,"81,133",1560.25
Arizona,"70,821",1361.942308
Arkansas,"50,784",976.6153846
California,"81,575",1568.75
Colorado,"84,954",1633.730769
Connecticut,"80,958",1556.884615
Delaware,"68,687",1320.903846
District of Columbia,"90,640",1743.076923
Florida,"59,734",1148.730769
Georgia,"61,497",1182.634615
Hawaii,"82,199",1580.75
Idaho,"76,918",1479.192308
Illinois,"79,253",1524.096154
Indiana,"70,190",1349.807692
Iowa,"72,429",1392.865385
Kansas,"75,979",1461.134615
Kentucky,"55,629",1069.788462
Louisiana,"57,206",1100.115385
Maine,"71,139",1368.057692
Maryland,"97,332",1871.769231
Massachusetts,"86,566",1664.730769
Michigan,"64,488",1240.153846
Minnesota,"80,441",1546.942308
Mississippi,"46,637",896.8653846
Missouri,"63,594",1222.961538
Montana,"64,999",1249.980769
Nebraska,"78,109",1502.096154
Nevada,"64,340",1237.307692
New Hampshire,"88,841",1708.480769
New Jersey,"88,559",1703.057692
New Mexico,"53,463",1028.134615
New York,"72,920",1402.307692
North Carolina,"62,891",1209.442308
North Dakota,"68,882",1324.653846
Ohio,"62,689",1205.557692
Oklahoma,"60,096",1155.692308
Oregon,"81,855",1574.134615
Pennsylvania,"72,627",1396.673077
Rhode Island,"74,982",1441.961538
South Carolina,"62,542",1202.730769
South Dakota,"73,893",1421.019231
Tennessee,"62,166",1195.5
Texas,"67,404",1296.230769
Utah,"87,649",1685.557692
Vermont,"76,079",1463.057692
Virginia,"80,268",1543.615385
Washington,"87,648",1685.538462
West Virginia,"46,836",900.6923077
Wisconsin,"69,943",1345.057692
Wyoming,"71,052",1366.384615
