"state_name","gas_price_regular","gas_price_mid_grade","gas_price_premium","gas_price_diesel"
"Alaska","$4.008","$4.211","$4.416","$4.990"
"Alabama","$2.971","$3.373","$3.744","$4.736"
"Arkansas","$2.871","$3.246","$3.581","$4.514"
"Arizona","$3.762","$4.090","$4.348","$4.976"
"California","$4.621","$4.852","$4.990","$5.788"
"Colorado","$3.058","$3.413","$3.701","$4.659"
"Connecticut","$3.457","$4.062","$4.475","$5.616"
"District of Columbia","$3.611","$4.198","$4.598","$5.244"
"Delaware","$3.279","$3.773","$4.082","$5.296"
"Florida","$3.211","$3.627","$3.945","$4.890"
"Georgia","$2.926","$3.336","$3.705","$4.802"
"Hawaii","$5.173","$5.394","$5.623","$6.085"
"Iowa","$3.059","$3.294","$3.780","$4.656"
"Idaho","$3.881","$4.114","$4.334","$5.596"
"Illinois","$3.549","$4.007","$4.445","$4.996"
"Indiana","$3.330","$3.820","$4.236","$5.311"
"Kansas","$2.962","$3.261","$3.566","$4.432"
"Kentucky","$3.038","$3.511","$3.871","$4.942"
"Louisiana","$2.912","$3.296","$3.673","$4.479"
"Massachusetts","$3.609","$4.200","$4.536","$5.571"
"Maryland","$3.351","$3.866","$4.152","$5.373"
"Maine","$3.649","$4.055","$4.402","$5.821"
"Michigan","$3.312","$3.870","$4.324","$5.236"
"Minnesota","$3.163","$3.491","$3.850","$4.809"
"Missouri","$2.886","$3.187","$3.503","$4.559"
"Mississippi","$2.901","$3.295","$3.644","$4.579"
"Montana","$3.328","$3.576","$3.868","$4.890"
"North Carolina","$3.104","$3.483","$3.830","$4.988"
"North Dakota","$3.137","$3.422","$3.770","$4.719"
"Nebraska","$3.130","$3.352","$3.845","$4.575"
"New Hampshire","$3.494","$4.023","$4.393","$5.538"
"New Jersey","$3.515","$4.157","$4.432","$5.465"
"New Mexico","$3.143","$3.452","$3.740","$4.654"
"Nevada","$4.352","$4.610","$4.812","$5.306"
"New York","$3.653","$4.162","$4.510","$5.688"
"Ohio","$3.164","$3.618","$4.024","$5.535"
"Oklahoma","$2.824","$3.178","$3.390","$4.175"
"Oregon","$4.069","$4.346","$4.539","$5.205"
"Pennsylvania","$3.827","$4.204","$4.461","$5.868"
"Rhode Island","$3.532","$4.183","$4.498","$5.596"
"South Carolina","$2.998","$3.384","$3.721","$4.831"
"South Dakota","$3.247","$3.404","$3.898","$4.626"
"Tennessee","$2.918","$3.299","$3.657","$4.778"
"Texas","$2.761","$3.151","$3.480","$4.257"
"Utah","$3.694","$3.930","$4.104","$5.512"
"Virginia","$3.196","$3.636","$3.950","$5.117"
"Vermont","$3.688","$4.296","$4.687","$5.657"
"Washington","$4.178","$4.488","$4.654","$5.411"
"Wisconsin","$2.942","$3.358","$3.810","$4.458"
"West Virginia","$3.342","$3.637","$3.915","$5.521"
"Wyoming","$3.218","$3.456","$3.737","$5.066"
