state_name,median_monthly_mortgage
Alabama,1223
Alaska,1926
Arizona,1544
Arkansas,1147
California,2523
Colorado,1962
Connecticut,2083
Delaware,1585
District of Columbia,2639
Florida,1616
Georgia,1501
Hawaii,2584
Idaho,1425
Illinois,1717
Indiana,1195
Iowa,1328
Kansas,1446
Kentucky,1227
Louisiana,1349
Maine,1464
Maryland,2013
Massachusetts,2323
Michigan,1348
Minnesota,1667
Mississippi,1200
Missouri,1316
Montana,1558
Nebraska,1491
Nevada,1625
New Hampshire,2004
New Jersey,2458
New Mexico,1354
New York,2199
North Carolina,1387
North Dakota,1488
Ohio,1293
Oklahoma,1295
Oregon,1835
Pennsylvania,1505
Rhode Island,1932
South Carolina,1289
South Dakota,1415
Tennessee,1333
Texas,1765
Utah,1671
Vermont,1664
Virginia,1818
Washington,2110
West Virginia,1071
Wisconsin,1464
Wyoming,1490
