case_uuid,violation_uuid,state_name,employer_name,employer_dba_name,employer_city,violation_category,case_status,date_opened,date_paid,date_closed,amount_claimed,amount_assessed,amount_paid
6dce0ba3-0ecb-439e-bca2-0f4c4c38ab25,8aee302c-2653-44b8-93f8-098c9be58533,Colorado,Triple Canopy Inc.,,,,,,,2022-03-22,,,
d9639963-01b3-4c02-bec2-298053d80a8e,ded02584-d986-409e-b627-fb7a1691929e,Colorado,Southwest Airlines Co.,,,,,,,2022-03-18,,,
4d906adf-fcd9-44ec-a1f7-8532cb6b0d3a,893b3fff-fe0c-46cc-ad00-947422e1ea9f,Colorado,The Spine Savers and Chris Cochran,,,,,,,2022-03-18,,,
9b32f594-cc69-4466-affe-07119d066bcd,5eed5bd7-0764-43d2-9132-dee3b9d46bf0,Colorado,"Flagship Facility Services, Inc.",,,,,,,2022-03-11,,,
3d591231-afd4-424c-b321-d999675ff3eb,52c363f7-6982-4358-886f-eba03dce6ca7,Colorado,Tool Pro Inc.,,,,,,,2022-03-10,,,
f8f21a41-fb43-4df2-baa0-ca4c1f911b48,46126fe7-e213-4a84-9bc4-1310a2e69f70,Colorado,Atticus Franchise Group LLC,,,,,,,2022-03-08,,,
da20a20c-f409-4686-a138-94ef6796c7fa,a79d6603-6675-4592-8668-37eab739e173,Colorado,"Rocky Mountain EMS, Inc. DBA Rocky Mountain Mobile Medical",,,,,,,2022-03-03,,,
d8ce4f9c-af03-41e3-8093-c29da80566ee,8398abc1-a6f6-437e-a5fa-0d0f57b549b9,Colorado,Log Home Finishing LLC,,,,,,,2022-03-02,,,
2da01431-bb40-4977-a8ba-941c034a98f2,3436df52-6813-402f-95cc-468ce94d835f,Colorado,"Mini Mart, Inc. dba Loaf N Jug-EG America",,,,,,,2022-03-02,,,
5a34b858-0e68-486f-bde7-72bca63c0cce,0a0b9761-d0bf-40c2-a002-468d420ca130,Colorado,"KidsCare Therapy of Colorado, LLC dba KidsCare Home Health",,,,,,,2022-02-08,,,
bb4c8e1f-daff-48f0-b5b9-37fe175e282e,6e3cc3bd-bda5-4731-98e0-a0c8a75c985b,Colorado,Cellco Partnership dba Verizon Wireless,,,,,,,2022-01-31,,,
a6051608-135c-47ea-a34a-1ba7086c4f2f,f2e22ffe-31ab-48f3-8f40-96d059bc6f2b,Colorado,"Rhino Rock Designs, LLC",,,,,,,2022-01-28,,,
52e0b260-7d23-45c0-bb6c-e19535436e37,4b03df5c-bbd1-4c9e-bac2-bbab49906490,Colorado,Chaudary Durrani Education Group LLC dba Primrose School at Candelas and Fiza Durrani,,,,,,,2022-01-26,,,
9ffb698e-a95b-498f-b790-564d82996cd7,8ddc57fd-8ce6-472c-8723-08a3c3dd661b,Colorado,"Universal Protection Service, LP dba Allied Universal Security Services",,,,,,,2022-01-18,,,
f17fedb6-7367-41bf-8a22-204a826d6226,260878f1-2fa0-417b-90cb-cad930924935,Colorado,UC Colorado Corporation and Earnest Blackmon and John Walsh,,,,,,,2022-01-11,,,
18d080f0-8ef9-4067-8e22-73389d54765f,531a57ab-9d0c-48bf-9442-6b412bdfa9b8,Colorado,"Regional Town Centre, LLC dba RTC Restoration and Renovation",,,,,,,2022-01-07,,,
18b1c704-cde5-4f77-b4ec-1e8dd4b7c953,b0191cda-827d-4974-bfe5-54e6e12d4bb7,Colorado,"AET, Inc.",,,,,,,2022-01-07,,,
5db8054e-81d6-4bb7-9a86-2ed39ddb1ea2,a2d9c270-8b70-44ab-b5a3-4649baa32ca7,Colorado,Total Welding Inc.,,,,,,,2021-12-23,,,
406b4add-47e4-44a2-8203-95fcb0abf590,65ac8abe-5c1a-49cf-b0f9-145bef1a8c50,Colorado,"A2A Ventures, LLC dba Madison Cleaning Services",,,,,,,2021-12-22,,,
8576be7b-ef88-4d53-a850-1d8495bfdf24,35cf2e29-10c1-4b50-af61-04ec3b58ffc3,Colorado,Soco Roofing LLC,,,,,,,2021-12-22,,,
eb3f1cc4-9c1d-44b1-82e7-88d617d81397,e76ec962-7b74-461f-ad23-da06baeff27e,Colorado,"HZ Ops Holdings, Inc. dba Popeyes Louisiana Kitchen",,,,,,,2021-12-16,,,
ccb6f504-52d7-4dd9-a405-05f325b2c8d0,8218241d-aa33-459d-ac1d-bdb6d228637a,Colorado,"VZ2, LLC dba Colorado Taproom and Laura Stankiewicz",,,,,,,2021-12-15,,,
4c09a1d4-3358-4bf6-9096-a89312af9555,34b62b0c-ba1d-4a8d-8493-9674bf3d2158,Colorado,Home Buyers Warranty Corporation dba 2-10 Home Buyers Warranty,,,,,,,2021-12-13,,,
de718fef-07fc-4d19-9583-69be38cf06af,77eb77ba-c48c-429e-a199-35d5808b9d0f,Colorado,Elite Horticultural Services,,,,,,,2021-12-08,,,
55586bf8-2d6a-42eb-b6e1-0c31689969d5,fdfcac6c-7db9-479c-b87b-3b1b35d923b8,Colorado,Jay Transport LLC,,,,,,,2021-12-07,,,
026c2115-a560-48f2-ab36-408ef351ab2d,00689b46-0bad-4d88-9011-a095c3547339,Colorado,ASAP Avionics,,,,,,,2021-12-02,,,
92fa4f88-c258-478c-b4e8-7d73a9c6aadd,7a476719-c106-4566-b3c4-2480f103bdda,Colorado,Monigle,,,,,,,2021-12-02,,,
dc80fba4-b2c4-4c01-b7e0-ccb3988bc646,d99e28f1-bd60-475b-a16a-ee8d0be80246,Colorado,Care in Colorado LLC DBA Comfort Keepers,,,,,,,2021-12-01,,,
cf32f994-5bef-4a54-b47f-6912ad353e30,1327ccb0-fc4a-49c0-939a-ad1c19af7555,Colorado,Stanley Hotel,,,,,,,2021-11-23,,,
846a19ea-0b0d-42c6-af8a-d8821b91e919,3359bfa7-1d1e-4344-93c6-adfd1b6f02a7,Colorado,Super Mario Construction,,,,,,,2021-11-23,,,
f16c31ea-cfde-4569-a1e3-16d23fef74b1,bd90bb6c-e449-4c60-b349-39a3314a1b06,Colorado,Boulder Dental Center,,,,,,,2021-11-12,,,
a490a159-3dd9-4ea4-a4b4-42a5f9d5aa7d,f9652fa2-0f90-4f0a-bbe5-56b4f88fcbc7,Colorado,EVI Installations Inc,,,,,,,2021-11-09,,,
cd9b4299-9124-46ab-8667-a6f24961a1f6,55a1e181-9925-4464-97df-67f020122967,Colorado,State-Wide Lock & Safe and Colette Kolar,,,,,,,2021-11-08,,,
9ed6a977-5bc0-4cba-9411-108eca7eb78f,0a58c527-1b1b-4c93-9080-1f8b53f7bde1,Colorado,Lifeline Staffing Network and Jalanece Hayes,,,,,,,2021-11-08,,,
4f253097-343c-4457-a882-485938b86a4c,e832332c-1721-4c56-87ad-3c159692649d,Colorado,Fitness Cycling LLC dba CycleBar,,,,,,,2021-11-04,,,
7f3d5efe-d21a-418d-93b9-7f685aca58c8,84a9e8ee-6172-4105-86d8-ec73dc0389db,Colorado,PlayDate Inc dba Playdate Behavioral Interventions,,,,,,,2021-10-28,,,
a0d91ee9-c978-42ec-b19e-c4be8601de49,548ac0e7-534c-4cff-91ce-a86441cfd856,Colorado,Colorado Site Services LLC,,,,,,,2021-10-27,,,
bebd401e-dde9-4f04-b36b-208eac5d4778,b07ee157-55af-4881-89a3-f098a5c4f96c,Colorado,Premium Duct Cleaners LLC,,,,,,,2021-10-26,,,
6afb5862-0f86-45e1-9871-7ae4103eb22d,548e6a0d-2564-4ba6-8c35-4d6393ee369f,Colorado,Bang Digital Media Inc. and Steve Berke,,,,,,,2021-10-22,,,
d8343f38-f394-4d9e-8a5d-ee0ced149cb6,c803a0db-7967-4f63-b129-be0565140947,Colorado,iina Research and Robert Hill,,,,,,,2021-10-07,,,
9d503eab-e32a-4d92-9ac5-1d36ec28aa94,16b7fc9d-9a76-4ce8-9842-2433c7f2a704,Colorado,"Body's By Brown, Inc.",,,,,,,2021-10-06,,,
f715c6a1-5e61-4fc3-b0cb-84f12bbea901,fd5309ca-adfb-482f-9157-be6312394f41,Colorado,"Body's By Brown, Inc.",,,,,,,2021-10-06,,,
3b028bd8-bee3-4352-94ef-055ddbf304cf,e80caede-5119-4909-91eb-e42ee8004266,Colorado,"Brio Energy, LLC",,,,,,,2021-09-30,,,
68aa7df2-7f40-4c86-8502-3d773bdd7f77,ac43c3d2-3751-470a-83bb-668d70770a0f,Colorado,A Healthy Smile Dental Center,,,,,,,2021-09-24,,,
3d1c9c7d-bb0d-4aff-a5be-8f8659ef8963,c7f3971d-a715-4298-9b81-ec6ea2c92624,Colorado,Clooten Construction LLC and Geremy Clooten,,,,,,,2021-09-23,,,
52e951d1-daa5-43ee-a5c3-b91e50bf3bac,5ee0019c-de46-4d0f-9d41-05e7e92d73e1,Colorado,n.io Innovation LLC dba niolabs,,,,,,,2021-09-23,,,
