case_uuid,violation_uuid,state_name,employer_name,employer_dba_name,employer_city,violation_category,case_status,date_opened,date_paid,date_closed,amount_claimed,amount_assessed,amount_paid
16e98d15-2689-4450-94f1-b2c2ca94440e,d6fc0ff5-a7f8-4017-b9aa-665b3043d398,Illinois,Big star transit,,,,open,2022-10-03,,,0.0,,
e4c2bf8f-4855-48d6-b74a-121053c4af74,a7ebfe0e-fe13-4dec-b61d-12588426bcde,Illinois,Parker Cromwell (Home and Hearth Caregivers),,,,open,2022-10-03,,,4.0,,
dd08df60-6daf-4e41-93f0-8dc0f2394e84,ab5d8557-fb0d-4f35-85b7-23ffc8731d9a,Illinois,Charlie’s Doghouse Inc.,,,,open,2022-10-02,,,0.0,,
dca27298-a649-4225-abb4-5784f2583f0f,405d4ee3-7eee-45d8-bcac-1aa6deadf550,Illinois,MUDZI INC,,,,open,2022-10-02,,,53.5,,
77c346bf-2d22-404b-bc59-66f2050b6803,3e8a1d2b-d94a-46a1-98ab-8b6d88fa7e0e,Illinois,MUDZI INC,,,,open,2022-10-02,,,35.0,,
fa2567ec-0e5f-4dc8-914d-af4d22705a35,c50c5cc2-2f9f-46f9-a073-c42e9707bebb,Illinois,Rush oak park hospital,,,,open,2022-10-02,,,3750.0,,
075ed21d-84b0-4a23-8ab8-9a85ec54ad68,e979848a-689a-49f0-9a4d-5cb736b66cf0,Illinois,Cargo Jet Carriers Inc ,,,,open,2022-09-30,,,4259.0,,
74beeb57-7cc1-4f90-9fc3-ff659fafe0a0,900b7c0f-bc66-41af-b11c-a471172c09ca,Illinois,EXTRA HELP INC,,,,open,2022-09-30,,,461.5,,
8ea9de2d-5b42-4861-bd50-bd21490975f0,6b45386b-e124-41fa-b3c9-38f20ba76be5,Illinois,Celebrity Home Loans,,,,open,2022-09-29,,,9600.0,,
a1401561-e377-4165-a356-4a2831c3c267,1df45adf-e908-4e34-b5ce-cca2f6aea269,Illinois,"BORLA, NORTH & ASSOCIATES",,,,open,2022-09-29,,,25000.0,,
42e8e566-3ef9-4d3f-8a50-8145c12c7feb,dbb1b9c4-03c4-4ac3-a2b6-97d958554310,Illinois,1-888-BUY AUTO,,,,open,2022-09-28,,,5000.0,,
356f1eda-6fd4-474c-b6c0-551dfa246dae,c7f68c31-f69d-492d-a5a8-79b14fcdd2c7,Illinois,POPEYES CHICKEN,,,,open,2022-09-28,,,0.0,,
4092906b-ebc3-461d-aaa0-204cb66ac659,9e47894f-77a9-444e-9bf9-c15614cd0678,Illinois,Elite Ambulance ,,,,open,2022-09-28,,,100.0,,
ca9fe281-c26c-44ac-a086-b0c458d809ed,9f8bbb05-8b9a-4d01-9200-f92ebdcc68f6,Illinois,TYSON MOTOR LLC,,,,open,2022-09-28,,,0.0,,
5641a40d-a160-483e-ab36-3354590f7f94,796757b2-bc60-4291-a695-852ab73020c4,Illinois,The Lucky Hot dog ,,,,claimant_won,2022-09-28,,,436.0,,
bf94f110-d2f6-4cb9-ae98-8061be0453aa,91b97834-802b-4519-a329-5d6612809e6e,Illinois,The Lucky Hot dog ,,,,claimant_won,2022-09-28,,,446.8,,
baa7477a-04b6-41e1-9d0f-1bb007993f9b,41806783-b687-40bd-b53f-0e1586b53a1c,Illinois,The Lucky Hot dog ,,,,claimant_won,2022-09-27,,,479.3,,
a4558438-ef85-495b-9c1b-135563b706cd,6db86f04-ff22-475c-831c-40407c39a415,Illinois,The Lucky Hot dog ,,,,claimant_won,2022-09-27,,,420.88,,
fdcc4d0a-7894-4b29-90b9-e3d00adc1ff0,59cb3d21-f3cb-4169-82fb-d34a1901abe4,Illinois,The Lucky Hot dog ,,,,claimant_won,2022-09-27,,,487.21,,
1ec6dfc9-896e-4060-837e-7f89f222df1f,f832df51-68e6-404e-81fd-4173d447770f,Illinois,The Lucky Hot Dog ,,,,claimant_won,2022-09-27,,,509.13,,
4431932a-758c-4579-9f4c-0b37e8465a7e,6e99167e-6291-4c7a-9d9c-d240208aac30,Illinois,The Lucky Hot Dog,,,,claimant_won,2022-09-27,,,496.93,,
f5453336-2697-45cf-99d3-d42717349ebc,99c8c1b2-ad54-488b-9abe-dba5cbba547a,Illinois,"HANCOCK MORTGAGE PARTNERS, LLC",,,,open,2022-09-27,,,9120.0,,
a8ed0ab3-0777-4a9d-97f0-7bb616857dcd,3079aebf-ccb3-447b-8625-4818a67d614a,Illinois,City of Hickory Hills,,,,open,2022-09-27,,,0.0,,
4e341213-4fec-44a0-9db6-71e6e4138cd0,b32ca576-faa5-4fc0-a1c4-1b87b14199d8,Illinois,Blaze Pizza,,,,open,2022-09-26,,,2000.0,,
aa7d4058-df74-45b0-a8e7-1685b485afeb,84693566-4404-4c88-b8b3-1db72f4fd97d,Illinois,Evette's Chicago,,,,open,2022-09-26,,,400.0,,
3c5047b6-eeb8-4faa-bc9d-f21f318ae9d4,d529521a-9e49-43e2-a767-630d6aad9713,Illinois,The lucky hot dog,,,,open,2022-09-26,,,458.79,,
21c743aa-ba9a-4760-9401-16c6465a513e,15bf89e2-24ec-4c2a-acb9-a5680ae78c5f,Illinois,The lucky hot dog ,,,,claimant_won,2022-09-26,,,488.89,,
e61e9f7a-97d6-4846-8688-1169a62f14ed,2ed47ff6-44ea-4d56-991a-f5ffad3b348b,Illinois,The Lucky Hot Dog ,,,,claimant_won,2022-09-26,,,301.97,,
