case_uuid,violation_uuid,state_name,employer_name,employer_dba_name,employer_city,violation_category,case_status,date_opened,date_paid,date_closed,amount_claimed,amount_assessed,amount_paid
872b3b01-4551-40ff-bcc5-b86a11da591f,65c0193c-d03f-4386-af4e-f49b70a37a57,Indiana,C And A Tool And Die,,,,dismissed,2019-08-07,,,135.75,,
0c13583a-2ea3-48d8-a17f-5c8408fcb991,225fffe6-b7b3-4a42-bd91-102ef2b9f19c,Indiana,Southside Remodeling Repair,,,,dismissed,2019-07-16,,,540.0,,
03df7a31-9460-46ff-9722-365b75b96e7c,d02e2715-b988-47d3-9f09-6f8b03f7706d,Indiana,Jasper Chair,,,,,2019-09-12,,,,,
bb7ef114-7eae-4f15-b184-85bb72d09a4d,47c96ddd-fc67-47bd-afca-5307416694fe,Indiana,"RC Trailers, Inc.",,,,,2019-10-15,,,,,
fe8702b6-d980-4e8c-9e2a-e914ca6c3cef,087a5b42-c77c-4771-b1a4-33cc3e7ce852,Indiana,Dirt Finders Maid Services,,,,,2019-11-14,,,,,648.8
9639934b-adb3-43ba-aafe-41593f0ee182,f6fb75ea-0db6-4ced-a7af-7fffc9d36c16,Indiana,Allison Allen State Farm,,,,,2019-10-27,,,,,336.78
55d45d38-938d-4eb3-b428-311065eedf63,cc2c1bb1-56f8-49ff-8d70-0e4f4a9ae6b1,Indiana, Kirka Holdings Group LTD,,,,,2019-10-04,,,,,226.35
d19b29c5-c582-4a46-bb1f-e694c28b513b,2049e574-ead4-44d2-a6a1-4b11f6aea4d6,Indiana,The Grounds Specialist,,,,,2019-09-30,,,,,
26672df1-3e80-4b42-acbc-8a1c9ddeea59,2ce89a32-533e-4217-9901-6bb015af8a43,Indiana,Tri Brothers Security,,,,,2019-09-19,,,,,
c6e943a7-6b18-4304-a9cb-ae0ef439e9ce,73703f72-70d3-4ad7-95e0-ab5df74608a0,Indiana,Daleville Community Schools,,,,pending enforcement,2019-11-15,,,,,
