case_uuid,violation_uuid,state_name,employer_name,employer_dba_name,employer_city,violation_category,case_status,date_opened,date_paid,date_closed,amount_claimed,amount_assessed,amount_paid
de1d8611-8afa-4163-8b11-e24b2ac77903,89ef963a-ff1d-4a75-b2d4-f6ebb915083a,Iowa,Ahrens Concrete Paving LLC.,,,,,2000-09-29,,,611.0,0.0,0.0
766d6bf8-c308-4e12-b869-ace11b312ee4,d5828c8f-41dd-45a2-a4ad-974b7142a890,Iowa,Aqua-Tec Energy,,,,,2002-06-24,,,1745.0,0.0,0.0
0eb7c319-edca-4e8a-8d42-f000c9a61f34,2e88ef52-5241-447a-a1f5-f5677699a993,Iowa,"Fort Dodge Ford, Lincoln, Mercury, Toyota ",,,,,2008-10-01,,,1305.0,0.0,0.0
d549a15d-c41c-46b9-a6cf-0c21037a0b00,c980402e-3d65-491d-a468-d6412a08fedf,Iowa,"PurFoods, LLC",,,,,2009-11-24,,,2657.0,0.0,0.0
a4f5ae23-8d1b-4655-9cb0-4299275ed876,5271d59d-120f-4ce7-a6f2-9d7bb1966ee8,Iowa,Florilli Transportation ,,,,,2009-12-22,,,300.0,0.0,0.0
10f0aad2-5ade-4405-ad3d-e70e4c6ef584,14b7f6c2-41ca-44be-93b9-f08cd054d288,Iowa,Gavigan Janitorial Corp,,,,,2009-12-23,,,1600.0,0.0,800.0
87a80b3a-5a03-4668-8096-a7b4d9a54ab9,a65fad5f-e4ea-4707-a4fe-20b9c7806c0a,Iowa,Mark Matthews,,,,,2009-12-28,,,176.0,0.0,0.0
b2fa82aa-446c-48fa-9ab0-8f43dbb114d5,441149c1-c1f8-48cf-9cc9-8a80f88e1bba,Iowa,"Bella Transport, LLC.",,,,,2009-12-28,,,2200.0,0.0,0.0
38d555b0-4f05-4ecf-a68f-d3e4f54121db,a19c6196-3907-41c6-b64d-acf025ad745c,Iowa,Kmart,,,,,2009-12-28,,,725.0,0.0,0.0
1bc5ec39-7795-4e5b-b679-12904401aa20,2efc18a0-eaf3-434b-9e32-7487d941350b,Iowa,"H. E. Trettin, Inc.",,,,,2009-12-29,,,380.0,0.0,380.0
