case_uuid,violation_uuid,state_name,employer_name,employer_dba_name,employer_city,violation_category,case_status,date_opened,date_paid,date_closed,amount_claimed,amount_assessed,amount_paid
d2eefeb0-665d-4851-95e0-7c8f39c6f5a2,d2fba30e-f90b-414f-bd45-5fefc3aa548d,Kansas,Meineke Car Care,,,,dismissed,2010-04-19,,2011-03-28,386.0,,
40c38642-6539-4df3-8923-86f26212a402,dd8da16b-92c9-4a63-a341-870b4e9e3307,Kansas,New Century Personnel,,,,,2010-01-04,,2010-07-15,807.69,,
41622e3c-7f4f-4a3a-8342-97efdbafa140,39b97747-ea38-4661-947c-abfa2f78efcc,Kansas,Twin Valley Transportation,,,,,2010-01-04,,2010-07-08,341.0,,
7756c4fb-89cc-463b-a052-cd55d6a00814,0635ba12-40f4-4f99-bef8-61e13992626e,Kansas,Commerce Bank,,,,,2010-01-04,,2010-02-16,1333.2,,
8bfeea72-40b3-49eb-9171-d78b769cc750,b93d69d2-9087-410f-8559-a729fc30834c,Kansas, B Street Design,,,,,2010-01-04,,2010-03-10,2580.0,,
d9291221-71e4-4170-98d1-92a987c3016e,6816231c-c182-49eb-b761-c2b7da938840,Kansas,U.S.D. 101,,,,,2010-01-04,,2010-01-15,,,364.41
0b203804-8c68-4657-9c0a-8f656f360fc3,de0de313-077d-4a34-8dce-ad2942bf8345,Kansas,Independence Living Resou,,,,,2010-01-04,,2010-03-16,411.0,,451.78
f29be254-8e57-44c0-bb47-5fc39c1a5c4a,ae06a78b-9e27-4bc0-a80b-861c30a7bf01,Kansas,Shorthorn's Rest. & Bar,,,,,2010-01-04,,2010-03-12,588.0,,588.0
5e951c68-4a5e-47a7-af9a-8c9402c92072,d8d0dd82-88c6-458f-8ab6-178c74160fd7,Kansas,KCI Road Runner,,,,,2010-01-04,,2010-06-07,150.0,,
6ef5531f-e0d3-444f-8f90-cd05d6c7ab54,c98dc617-02d6-4eaf-bd19-39a03a216739,Kansas,"Main Street Media, Inc.",,,,,2010-01-05,,2010-07-23,4327.0,,
