case_uuid,violation_uuid,state_name,employer_name,employer_dba_name,employer_city,violation_category,case_status,date_opened,date_paid,date_closed,amount_claimed,amount_assessed,amount_paid
fb74c2dc-2556-4a05-9b3e-604ef9838848,e0ac2771-06b6-4242-9a96-f7995b07f4ee,Kentucky,AEROTEK INC,,FLORENCE,unpaid wages,,,,2022-02-28,,,152.0
ad3d2684-85a3-4351-a4f9-c9204d9435f9,c410c6e0-6374-460f-b8f8-55be8366de4a,Kentucky,#1 TOP SCHOOL LLC,,LEXINGTON,unpaid wages,,,,2014-04-29,,,1031.8
08809003-1c21-4307-aaa7-10a799cc5dea,eca69d73-0c62-4404-80a2-41ce29e0ac30,Kentucky,1 2 3 4 CAKES LLC,,FLORENCE,deductions,,,,2018-03-29,,,104.55
f181f70f-f468-4f9b-94dd-199aad8a41ef,93531092-08ea-4e37-960c-904b56ff50f0,Kentucky,1 TOP SCHOOL LLC,,LEXINGTON,unpaid wages,,,,2017-04-28,,,256.0
e0bbca1d-f107-41c9-a4b2-721482c964b7,609f8d89-cd1c-4f5f-9622-34817ae25226,Kentucky,1202 MURRAY LLC,,MURRAY,deductions,,,,2019-03-26,,,512.53
65eb681a-16b8-419a-87e3-b181c760989e,59c6e622-4844-4b37-a0f8-d89092135bfc,Kentucky,141 S KILLARNEY LLC,,RICHMOND,minimum wage,,,,2010-06-28,,,5167.1
cb84b01e-133e-4a85-8cba-d36f6aafbfc7,6f2b7f23-dd64-4cef-a82e-faca0fc2dcbd,Kentucky,141 S KILLARNEY LLC,,RICHMOND,overtime,,,,2010-06-28,,,1847.6
501c73da-9a2c-405c-b21f-5749120a082f,78e22ca5-6859-41a1-9fc5-11a4b573ebfb,Kentucky,1926 MARKETING LLC,,LOUISVILLE,unpaid wages,,,,2017-07-07,,,1370.0
75c3c836-718b-49c9-a468-18ae5c609adc,567397ca-d415-4b5a-8d9a-0aa37139ced7,Kentucky,1ST CHOICEHEALTHCARE SERVICES LLC,,LEXINGTON,unpaid wages,,,,2017-09-26,,,4746.15
bd5b4810-a8b5-4f1c-ac01-229cb5d3570d,060db2c8-3bfc-45f9-a5c5-e5655e664ded,Kentucky,2 K COMMUNICATIONS LLC,,GRANDVIEW,unpaid wages,,,,2015-09-04,,,0.0
4d115734-33ae-4d27-a0b9-046081eb8194,e8f214b0-66b6-4fd4-a2e7-eb9a1b17c977,Kentucky,21ST CENTURY FLOOR COVERING LLC,,LOUISVILLE,unpaid wages,,,,2012-07-17,,,250.0
401eab34-3b18-4f74-93e7-7207589a08d6,adb1febe-5c58-4185-a7de-eb1c5e697c2a,Kentucky,21ST CENTURY FLOOR COVERING LLC,,LOUISVILLE,unpaid wages,,,,2012-07-17,,,493.0
d3e3547b-ab33-488a-bf2b-381e610bae7b,47e2bc65-64bb-4c64-af5f-3ce406300a1b,Kentucky,24 EXPRESSLLC,,BOWLING G,unpaid wages,,,,2011-12-14,,,250.0
032a4b0f-50e7-4554-bd02-4d879ad98ed1,ca3bb763-b2a6-4fdd-b95d-0ab31bd4bb85,Kentucky,24 EXPRESSLLC,,BOWLING G,unpaid wages,,,,2011-12-14,,,737.8
52987d1c-f300-4109-b0fc-a3748923a390,ae78aafa-9ca5-4bb7-9925-6b7030f027f4,Kentucky,25 VAPE & SMOKE LLC,,LONDON,unpaid wages,,,,2022-05-24,,,423.31
972b2b72-e9ad-43b7-8fec-5a4ab894239a,720ce902-5b73-42e6-b348-aafa8360b0dd,Kentucky,2JR PIZZA ENTERPRISES LLC,,LOUISVILLE,unpaid wages,,,,2015-02-20,,,25.38
e29ae0ea-c453-4737-96f7-3b9afa7c127a,43fb517e-9381-4ffe-996d-6852e96a9f09,Kentucky,3 B AUTOMOTIVE INC,,BOWLING G,overtime,,,,2014-02-12,,,250.0
2359b7a4-0625-4c9b-96f4-7853b6ce573b,9a661d6b-1daf-418b-a697-754044ad020a,Kentucky,3 B AUTOMOTIVE INC,,BOWLING G,overtime,,,,2014-02-12,,,3909.12
50f480ef-3017-4fe9-9992-2d0f69d9544e,0e9bdfb6-8a49-40c3-97c6-81de27359769,Kentucky,360 EXPRESS COLLISION LLC,,LOUISVILLE,unpaid wages,,,,2021-07-30,,,762.66
fbc955ae-7715-430d-ac41-bb930a5d2a07,bfc71812-ec42-4e38-a6b9-cecf24f443a7,Kentucky,3B ENTERPRISES INC,,LOUISVILLE,unpaid wages,,,,2016-08-31,,,152.0
257c1b3e-a00e-48fa-be52-cab4e29b94cc,039fbe3c-37cc-467a-955b-3d2f71510d2e,Kentucky,3B HOLDINGCO INC,,LOUISVILLE,unpaid wages,,,,2012-03-14,,,907.25
e196c603-1285-475a-903b-5ae13455d606,ead3de21-56d2-4674-b9f9-f21d9ba5b1d1,Kentucky,3D RESORTSBLUEGRASS LLC,,FALLS OF R,unpaid wages,,,,2010-10-29,,,250.0
ac4e4596-0106-40a3-a20c-7bbea775a292,95f3c8d8-79ca-4d35-a649-3810ef774f3e,Kentucky,3D RESORTSBLUEGRASS LLC,,FALLS OF R,unpaid wages,,,,2010-10-29,,,4775.0
5b0cafe1-f612-4fae-a646-b28bb1ccdbb1,78b6168a-1aaf-4f3c-8222-d549e9faa4ef,Kentucky,502 RECOVERY INC,,LOUISVILLE,unpaid wages,,,,2015-06-29,,,60.0
04b51e97-66a7-4008-9178-946178181742,4021503d-91fa-44ab-bb77-b27d8e175154,Kentucky,535 WEST PORT ROAD LLC,,ELIZABETHT,unpaid wages,,,,2019-02-26,,,3338.5
84e340a3-cf17-46b2-9060-ae4d44b4ef71,d34b230e-1e41-4ee1-b076-11823cd87852,Kentucky,6 KIDS PIZZALLC,,COLD SPRIN,unpaid wages,,,,2019-08-16,,,350.0
644eebf9-698a-4587-b2b5-b58a88570404,bcd014ea-81f1-4a74-be38-832af3c66770,Kentucky,911 BILLINGSERVICES ANDCONSULTANT INC,,MADISONV,unpaid wages,,,,2017-03-28,,,72.0
60637941-e69d-4f04-b18f-6d5468f64606,4ece7bcf-7521-4c9b-b26b-1fe8157a8004,Kentucky,A & A ADHIKARI CORPORATION,,RICHMOND,unpaid wages,,,,2017-02-10,,,1900.0
b463cd32-fa66-4bc0-a281-1635f42d9b61,396e8e3e-41c5-4f5c-b61e-33a55d9fb987,Kentucky,A & A FOODSERVICE MANAGEMENT INC,,LEXINGTON,unpaid wages,,,,2019-11-27,,,5000.0
5dc2dece-3dec-4387-a7c1-7afa32bb9228,b07a7cec-2f92-474d-837f-e98ab725ab33,Kentucky,A & A TRUCKING LLC,,BOWLING G,unpaid wages,,,,2018-03-23,,,1150.0
15d67742-2e14-4af9-9aba-461c74b0baf2,77242f80-3168-40fc-b261-70dfc4111781,Kentucky,A & B HEATING & AIR CONDITIONING INC,,BURLINGTO,deductions,,,,2012-04-19,,,818.35
7938f59d-242f-451a-9819-3308c4ff5101,30beecd7-f5b9-49a0-8e9e-357ed8929325,Kentucky,A & B HEATING & AIR CONDITIONING INC,,BURLINGTO,deductions,,,,2012-04-19,,,250.0
fb4c89ae-aca3-4ee4-b1ca-6841afb94336,31659dfb-b6e1-4117-bd65-809da0149642,Kentucky,A & B INDUSTRIAL SHEET METAL,,LEXINGTON,unpaid wages,,,,2011-10-13,,,125810.82
0fa86461-719b-438f-ad5d-c06d7fb3e852,fbc7058b-1fa2-4f25-ba02-3a0153ddd646,Kentucky,A & G COALCORPORATION,,ROANOKE,unpaid wages,,,,2015-04-03,,,645.0
e7f3c20f-8d88-4da2-a1d6-72bcbc731873,fc949df4-4829-4434-a42f-dd5a91479d46,Kentucky,A & J CATERING MANAGEMENT LTD CO,,MIDDLESBO,deductions,,,,2013-04-04,,,100.0
a75b4894-3ff4-4bff-8627-690a44e78ad2,f7712022-3858-444b-9d16-1a53c06f74ec,Kentucky,A & J CATERING MANAGEMENT LTD CO,,MIDDLESBO,deductions,,,,2013-04-04,,,144.0
7cc6a18b-4741-47e1-ac55-38216ab23c24,e4b1bdcd-679f-42d9-9b63-4e5aa8302f59,Kentucky,A & J MECHANICAL SERVICES LLC,,LEXINGTON,overtime,,,,2011-10-11,,,250.0
416c1bd9-a96f-423a-a670-32e6c4b99420,38db95e2-cb88-495b-acfe-1964f190b624,Kentucky,A & J MECHANICAL SERVICES LLC,,LEXINGTON,overtime,,,,2011-10-11,,,262.5
d55b848c-3a19-4d54-8230-b3af7b65548d,a56bd931-eda4-40e9-89c7-303e5fc15968,Kentucky,A & J MOBILE REPAIR CORP,,ROCKFIELD,unpaid wages,,,,2015-06-29,,,765.0
84158654-2db2-4841-8b9f-7f9b8f8cc22f,d2a3b825-6f0a-4bca-b986-399b9212c89f,Kentucky,A & M 8A INC,,LOUISVILLE,unpaid wages,,,,2017-10-30,,,50.0
