case_uuid,violation_uuid,state_name,employer_name,employer_dba_name,employer_city,violation_category,case_status,date_opened,date_paid,date_closed,amount_claimed,amount_assessed,amount_paid
95d46de1-4a46-41da-b835-cc38476d90b6,020be177-b2b8-497d-9ea1-4591de4dabe9,Maine,WALLINGFORD FARM,,,,,2016-06-14,,,,3451.85,985.0
efce0ff9-efbc-4fd7-8ebb-81eaaf520db9,480e09d5-c0aa-4a22-ad8c-35a74db7c98f,Maine,Eden Cleaners LLC,,,,,2016-06-15,,,,132.16,132.16
565336c8-487d-471f-849f-787c675be291,000c1176-3586-4ff1-a76b-ad8e74cfb482,Maine,RAVEN'S NEST,,,,,2016-06-17,,,,504.0,504.0
d4219fe0-95e1-4187-b38b-7bdd3c620468,3a15db05-cf41-4719-a020-1be9e8513239,Maine,NORTHEAST SAFETY INC,,,,,2016-06-21,,,,979.0,979.0
9f9e4945-3213-4d71-a451-3818a86d28f0,a38332a0-2d07-470f-96c6-bcf3d685c7da,Maine,US Security Associates Inc,,,,,2016-06-23,,,,85.0,85.0
e6bbade2-acfe-4dbd-9e20-44b4db0eb801,06da2352-efd1-4f03-a7b8-fb51a45a5b91,Maine,Charleys Philly Steaks,,,,,2016-06-24,,,,1080.0,
7f3b2a21-a58a-44c6-997f-e517e3454ef7,3ee4a2c9-a9ee-475b-9f10-a75141277d96,Maine,Cooperative Development Institute,,,,,2016-06-28,,,,1875.0,1875.0
3b42bce3-c4cc-49fd-b8aa-a1a5df7ba49f,f9c47c44-c8dc-4432-8c76-fcaa7a65198a,Maine,VILLAGE SWEEP LLC,,,,,2016-06-29,,,,199.5,
9c8bbd0d-860e-480a-ae69-83f1e07b179b,c3f0165a-ca2f-4e3f-a5ea-6d8c5fe9a6f8,Maine,Home Inc,,,,,2016-07-06,,,,230.76,230.76
885cb158-fed3-49ca-bd82-626e973bcaff,11aaf0da-2b16-4c75-ac3d-3ed2bbd76ce0,Maine,COMPREHENSIVE CLEANING SOLUTIONS,,,,,2016-07-06,,,,490.0,490.0
980ae8ed-8367-4814-8890-1ffa8f49a6d7,24667441-be93-473e-8d58-d2f84fe74431,Maine,PORTLAND COLLISION,,,,,2016-07-07,,,,518.0,518.0
fa60a670-777e-41b8-9027-e29420641f24,f9838bd8-baba-4e18-a40e-52a62cd4c5b9,Maine,AFFORDABLE DELIVERY INC,,,,,2016-07-08,,,,450.0,450.0
50a5a55a-c687-4667-bfc1-d6e728d362d5,29efc3a6-81b1-4a1e-a696-4c775bff0f51,Maine,DUNKIN DONUTS,,,,,2016-07-08,,,,320.56,320.56
205a11f9-14fd-43ee-a637-4660e792e07f,ecbee00e-6b52-4b41-89f5-7c51a58699d8,Maine,Liquid Riot Bottling Co.,,,,,2016-07-13,,,,324.0,324.0
faab0d7a-16f3-4df0-97c9-ef8ca1e4e9eb,db183178-0fc1-4088-b80a-7eadb0ad3760,Maine,PORTLAND CENTER FOR ASSISTED L,,,,,2016-07-13,,,,1887.5,1887.5
3d09f505-3241-422b-867c-e16eaa37b3fa,ece49e3f-df34-4c94-a2fc-f17cf50c8155,Maine,OAK GROVE CENTER,,,,,2016-07-18,,,,385.58,385.58
c7eba035-197e-4942-93cb-290e5b4305a9,23951200-3d83-4c25-9084-86d831994b8e,Maine,HAMPTON INN,,,,,2016-07-19,,,,108.0,108.0
8b27d8e4-9578-44dc-9727-3e544bcbc139,45bf6e95-9523-47fd-a01e-06d5284431a3,Maine,NORTHEAST SAFETY INC,,,,,2016-07-26,,,,390.0,390.0
2d769c5e-b2f6-44bc-8656-bfa601f8556f,17bcd9ed-bb3a-4600-992a-b18dad38d591,Maine,Elk Mountain Farm,,,,,2016-07-26,,,,243.0,243.0
a7ef6bc7-2fb6-462e-a3e3-40b096e18f85,6c62b80d-9307-4b35-bfa6-6bc05327a535,Maine,AUSTIN STREET BREWERY LLC,,,,,2016-07-26,,,,7095.93,7095.93
c6f20c77-944d-49b6-8e62-930c4d57b6c5,ed24afdb-33e6-47eb-aa4b-edcb9f42f230,Maine,"PINE TREE COMMUNITY SERVICES, LLC",,,,,2016-07-29,,,,2220.56,2220.56
42d638ee-3bfd-4d85-8e08-ee4f90addd4a,c8fd603f-6e68-4654-a7e1-74c8d714084b,Maine,Rural Maine Care Group,,,,,2016-08-16,,,,159.0,159.0
0d2f2481-f1e4-44d0-8660-624c4c6e4a40,235297dc-25bc-4362-804a-55b336ea517b,Maine,THE GOLDENROD,,,,,2016-08-16,,,,700.0,
e4cace03-c4cc-444a-9f43-18ec5cb8b546,dec89fda-4d29-41be-bd7a-18a73d36896c,Maine,Boy Scouts of America,,,,,2016-08-16,,,,2631.02,2631.01
d90ade2a-f3e0-4ec0-be5c-fecfeb36ed14,b9b9f308-11dc-413a-b799-30bd51619557,Maine,WATERVILLE HOUSE OF PIZZA INC,,,,,2016-08-16,,,,300.0,300.0
f422eedb-0f32-43c7-8587-14cdace7dd74,f8918154-5b8b-4156-ad26-fffff2aebf8a,Maine,LITTLEFIELD CONCRETE FLOORS,,,,,2016-08-16,,,,595.0,
4902c99f-5e20-45af-8844-5e7e5c39e6ef,26ffaecc-e6ad-4ed8-b814-a6614a20a663,Maine,CLUB TACONNET UNIT,,,,,2016-08-16,,,,1500.0,1500.0
b3f2e89b-f251-447e-8626-889c4b1a4cbf,596f74b4-91bc-4a12-9320-a4bf19e8b9d2,Maine,DANAS AUTO SALES,,,,,2016-08-16,,,,615.0,615.0
22155480-157e-4ed2-b770-267d738b7eb1,693d7df7-f3cf-4cc0-8c95-bb2061861b14,Maine,SUN SET BEACH INN,,,,,2016-08-17,,,,469.3,469.3
096ec0f5-5255-4dff-9e86-f74dc1259164,3c0b096e-0905-427f-893e-51382528cde1,Maine,Onestaff Medical,,,,,2016-08-18,,,,175.5,175.5
94ee191f-90a9-47d1-a293-1f4e93a9f21b,ade61c28-3fee-49d1-8d16-7df6a561511c,Maine,AMS BROWN STREET APARTMENTS LL,,,,,2016-08-18,,,,1444.86,1444.86
a36b127b-dfb8-4068-8c95-3b1e7c8fc022,9ed98609-89d1-4682-916f-6d3d9d20a6a2,Maine,SEAL COVE FARM L.L.C.,,,,,2016-08-18,,,,72.0,72.0
0943ff0f-0fe5-4756-9b4f-e2b67be32c16,64ed74cd-1f83-474f-a39c-44013804e729,Maine,KOSTAS RESTAURANT & BAR,,,,,2016-08-25,,,,97.0,97.0
13594a66-8dca-4c78-aebb-29d9b3c3c01c,583bc149-d8a8-433f-bfed-e5cbec63cb0e,Maine,K S D ATLANTIC TRANSPORT SYSTEMS Inc,,,,,2016-08-25,,,,525.36,525.36
1a94d216-c42b-454d-b363-35d430689d77,f33dd488-1456-45b1-b5e2-8c5d3268c45b,Maine,LIL FOOTPRINTS DAYCARE,,,,,2016-08-25,,,,117.0,117.0
b8dccc1f-7f7d-4f2c-bdb1-7ad2d5a1553f,44f6990a-89bc-46fe-a387-2cfd353921ac,Maine,KBC 14 LLC,,,,,2016-09-06,,,,234.0,234.0
42e70fd3-ed56-4f43-a665-07a359c3b531,890baf75-0a06-43bc-be83-9401d7b53923,Maine,MAINE AUTO SERVICE,,,,,2016-09-06,,,,132.14,132.14
ddf07acc-c683-4241-b511-fc7be97f3f33,23a450f7-1841-419b-b079-c7f248f8aa09,Maine,Diamond cut concrete cutting,,,,,2016-09-08,,,,124.0,
569c08f8-49f6-4d27-adaf-42184de27f7e,8ca937cf-6a24-4b45-a9fb-86fd98c434a7,Maine,ABOVE & BEYOND CLEANING INC,,,,,2016-09-12,,,,353.5,353.5
dbf89438-cf08-4f0c-a60c-c70f53c7fe67,ded3c96f-5bc7-4974-985c-66c415f1fe3c,Maine,CHARLES NADEAU,,,,,2016-09-13,,,,6710.2,
01ba627b-665a-47af-bb83-29126a3f8812,8bc7f5f4-d344-4a99-b3ed-af4ddb391f3c,Maine,AYLAS SWEET WONDER,,,,,2016-09-19,,,,386.72,386.72
1c64b36e-6d41-4f06-a274-6e58effca0a4,894c818f-5f97-4f28-8f7e-b8b1b78b039e,Maine,CIRCLE K,,,,,2016-09-20,,,,30.71,30.71
4a9e9a89-711a-429e-a2c3-c370d0daee8e,2a3972ba-c547-408f-b717-493c54c5552c,Maine,PROTEA INTEGRATED HEALTH AND W,,,,,2016-09-22,,,,16977.84,
a194a08b-d8ed-4480-8fda-8c5d05aef8f6,0103a0ed-1575-4f71-9074-ccab21394ad5,Maine,MAINE CONSERVATION CORP,,,,,2016-09-27,,,,238.14,238.14
ff705db5-f46c-46c4-908c-75a90923292e,bab997f6-9b40-4f02-a65d-313f0d848a7c,Maine,CALI'S CAFE & CORNER STORE,,,,,2016-09-27,,,,1030.0,1030.0
9b2bbd18-e4f3-43bd-8330-780b8945480d,3e881867-34c5-4d2e-9d5a-d8d1c7cdf4be,Maine,GATEWAY GLOBAL SOLUTIONS INC,,,,,2016-09-30,,,,529.29,529.29
e16018c6-291c-4bc5-8439-ff94c1b5edaa,f16425e6-21a0-496a-a4cc-710c35bd7540,Maine,FAR INC,,,,,2016-09-30,,,,418.0,418.0
4e9899a1-6f74-478c-9f4b-6b3efae1f193,0f220004-0a6d-4d80-a242-e8a12b8dab53,Maine,BARBARA GANEM,,,,,2016-09-30,,,,435.53,435.53
7b7990dd-e33b-40b0-8f61-a7ebbcebf926,ec79e33d-0c02-44da-8c1b-9e23816ddf1d,Maine,"FITZGERALD, CHARLOTTE",,,,,2016-10-03,,,,273.5,280.5
e415a83e-60ce-45a9-9894-ab9ea6c222f9,28277c6a-6fa2-4bff-9f56-618f6d5355f0,Maine,STARBIRD PIANO & ORGAN SHOPPE,,,,,2016-10-03,,,,150.0,150.0
18ecbbe6-3ff0-4f6c-80a4-29e2d1125f34,3a7ba314-3e62-4b0d-8de2-3ac8705a1a44,Maine,WEEBEEZ MT HOPE,,,,,2016-10-06,,,,65.45,65.45
280d5eea-6eb5-4394-a387-665f8d56023b,101eeedb-86b0-4ebd-b4bd-3bf819616abf,Maine,THE WHALE'S TALE,,,,,2016-10-12,,,,99.0,99.0
e6ef2e80-f995-4c82-b1f8-cbe815a830d4,1b26cce6-9284-4719-8e08-4de845783791,Maine,STEPPING STONES EARLY LEARNING,,,,,2016-10-12,,,,195.0,
831ca712-bf34-4eac-b325-678e99135f66,733d92e3-0aa5-4db2-807f-26676491636e,Maine,PRO PAINT MAINE INC.,,,,,2016-10-12,,,,228.47,228.47
ac2e5e7d-da84-4080-93be-ec0bfd2648a1,8486c9e8-dff3-47a7-9b78-a7632fb5faf5,Maine,SUPERIOR TRUCKING,,,,,2016-10-12,,,,840.0,840.0
e2f307b2-6d56-431b-9b36-422bf0eb2939,3dcf50cd-d083-4628-9ff4-86c058bcf81f,Maine,Bickmore LLC,,,,,2016-10-12,,,,3770.0,
8aaacf43-6d8d-4280-a9a7-b5070713fde1,20bf2bb3-a868-46bd-b29f-fe8e7fb19d1f,Maine,CAMERON HOUSTON,,,,,2016-10-18,,,,505.0,505.0
cf8c423f-9776-46ea-b6d6-daf0f14db597,d4d12122-779b-42ac-8a8a-1c10176df15d,Maine,Nathan O Northrup Forest Produ,,,,,2016-10-19,,,,820.0,820.0
e6d6980f-402d-4fcd-903b-486f9fb4c195,845623a6-bbfe-439b-9b12-8dcd498aaaf3,Maine,CAFUA DUNKIN MELVILLE AUGUSTA,,,,,2016-10-24,,,,202.13,202.13
1eaff2fc-c0e2-48e4-8d1b-60b68b3b42c5,f163c8c7-2bc9-49ac-8e61-1aa013d4cb3c,Maine,KORNERSTONE EMPLOYMENT,,,,,2016-10-25,,,,332.5,332.5
b28b7fb8-f997-4d4e-80dc-075a13244cea,53863c62-66cf-4233-a942-1d0a8df2cda4,Maine,H M THOMAS ASSOCIATES INC,,,,,2016-10-25,,,,30.0,30.0
daef6271-5a44-4eb5-969a-d7530b47c137,f8c4160a-4f02-41fd-bfc7-900e11571071,Maine,SPENCER'S MARKET,,,,,2016-10-25,,,,1027.5,1027.5
41f779ce-5bda-43db-b9d9-b5343f91c838,4c7a3482-be6c-4449-bdd9-fa0beffc289a,Maine,OUELLETTE SAND & GRAVEL INC,,,,,2016-10-26,,,,400.0,
aa49168f-e686-4f32-81dc-f8fe92a04f90,a20c3988-c001-472f-8d98-29f9363af835,Maine,KORNERSTONE EMPLOYMENT,,,,,2016-10-28,,,,120.0,240.0
f4c3aa09-ae50-4331-b8a6-747a9bececf8,5c438bcd-d9e8-4cac-a5c9-6889eaf3198c,Maine,FULL CIRCLE HEALTH CARE LLC,,,,,2016-11-01,,,,4636.41,
4283e619-64ed-4c55-a2bb-38ad2cce2a65,8cf16a8d-8163-404b-b37c-9ef43aa30425,Maine,M & Ks Homemade Country Cooking,,,,,2016-11-03,,,,37.72,37.72
4899fc5c-c041-4460-aefd-5e0f005afbcf,f6fa9b6e-bcb5-49bc-ac22-85f502c34948,Maine,HOLMES LEGAL GROUP LLC,,,,,2016-11-08,,,,348.0,348.0
2f38104e-dfb3-4cb7-879b-52f6bde278c2,c7bbc28d-df11-4ec4-a959-2d2c62f66598,Maine,CORNERSTONE DENTAL,,,,,2016-11-08,,,,200.0,200.0
e0155eb9-a2b5-488e-a822-d7d8f9920cf6,2e9b645d-6976-4d99-8416-02c9cdac4cfb,Maine,OT TO PLAY OT TO LEARN,,,,,2016-11-09,,,,551.2,551.2
66773aca-e2e0-45c2-a608-fa96d94255e1,4c6ed1f5-a876-40de-93fc-84a3bc2f9e25,Maine,CAMERON HOUSTON,,,,,2016-11-10,,,,690.0,690.0
07c0ba59-cfda-4d59-864a-e1478a1ab830,9e32a609-1219-4b29-bf43-1c2a9d42da00,Maine,NEW ENGLAND HOTEL AND RESTAURANTGROUP LLC,,,,,2016-11-18,,,,1718.75,1300.0
