case_uuid,violation_uuid,state_name,employer_name,employer_dba_name,employer_city,violation_category,case_status,date_opened,date_paid,date_closed,amount_claimed,amount_assessed,amount_paid
3d22ad23-13db-4794-a55c-035086bfd91b,d8c7721b-ac89-453e-acb6-0b7dad2a025f,Maryland,M & M General Contractors,,,,,2009-08-21,,,5400.0,,0.0
568fbb31-2bbe-4266-9d83-960e59170e2f,27a0e72e-4540-4187-a554-2526f7564c15,Maryland,Americor Envionmental Services Corp,,,,,2009-09-15,,,3060.0,,0.0
ca19ef6b-b807-45ac-8309-f73c9f797cc5,4ef466c0-4f4a-4c27-a54b-cad981597995,Maryland,Quizno's,,,,,2009-10-13,,,78.75,,78.75
b1138b74-f561-44bb-bcc3-63990ac39167,2ffdcf11-8f6c-4a3d-b7f3-b00bf91ee3a5,Maryland,"Christopher's Salon & Spa, Inc.",,,,,2009-11-02,,,197.8,,197.8
27ffc582-cbdf-430b-beaf-dc1f399f8e3b,700585dd-55ad-467e-962f-80653e821847,Maryland,T.D Bistro Inc,,,,,2009-11-13,,,656.25,,0.0
ca6c7c8a-d1a9-49b9-8913-a6dda966d3b2,a86f7983-a42d-4a63-8127-74c497dc859e,Maryland,Patriot Medical Transport,,,,,2009-12-02,,,16.5,,0.0
b8e75c16-aff6-4548-9997-3b5ca4e3698d,de5cf72c-8054-49cd-92d7-b31a6db2e589,Maryland,Ed's Refrigeration And Air,,,,,2009-12-08,,,72990.6,,0.0
1fa6b3cd-0915-4f33-bdd4-4a86e2eecf7f,6e3b5ef3-a190-4ef2-a898-89bace81b275,Maryland,Castle Toyota,,,,,2009-12-10,,,111.0,,111.0
e9ef7445-8275-4b63-88d1-62cdf990f08d,0b60d15f-923d-4089-b66e-88e897b35694,Maryland,Robert A. Tull Inc.,,,,,2009-12-22,,,0.0,,592.8
6435fb9c-23a4-4c97-a40f-d84304c7ae98,cc0092ab-c40f-4535-952d-86c5615d0826,Maryland,Temporary Help Inc.,,,,,2009-12-22,,,348.0,,348.0
e5213c8b-c98f-455a-ab9e-7699503e3ff8,dd20e00e-7919-4154-9e95-3fe00d9c5374,Maryland,HB Plumbing Heating and Construction,,,,,2009-12-22,,,967.5,,0.0
c4e465ff-f07c-42a0-925d-ff0e459ff2c0,58548d83-d83e-4a06-8440-cfc49131324d,Maryland,HB Construction,,,,,2009-12-22,,,596.0,,0.0
8a68ef62-bb44-4d98-8644-57c8bb5cc482,388b64fe-9d36-4bef-9a74-c92d65cdd28c,Maryland,ASG Security,,,,,2009-12-22,,,1916.08,,1458.0
