case_uuid,violation_uuid,state_name,employer_name,employer_dba_name,employer_city,violation_category,case_status,date_opened,date_paid,date_closed,amount_claimed,amount_assessed,amount_paid
9d0c8816-6a63-45f3-8071-7f11429d23c7,d513571d-bc56-4b02-8e96-0fe31af1e1e4,Massachusetts,Teles Construction/Twin Pines,,Everett,overtime,,2015-01-16,,,,2262.0,2262.0
30afc782-1775-4f2e-9cd7-23367065788d,7c4e868b-da71-47ef-be4f-c03dceb4469d,Massachusetts,Mill City Construction,,Lincoln,prevailing wage,,2015-01-22,,,,10362.7,10362.7
07fbb3e3-0bb3-4945-bf49-53c0541e9261,3ac1cc55-b10c-42ad-abf7-8da00b8a3b85,Massachusetts,Joshue Medrano Contreras,,Somerville,unpaid wages,,2015-01-22,,,,1900.0,1900.0
19f2788b-8593-41cb-a270-5d128bcf4923,8f9bad7f-912b-4d62-b380-0536201e1b7f,Massachusetts,Margen,,Roxbury,unpaid wages,,2015-01-22,,,,9575.28,9575.28
ab652b22-882a-4244-9722-6fd79b396eea,6e74045d-63de-4557-8a5c-455c1600f44e,Massachusetts,Fore Kicks II,,Taunton,unpaid wages,,2015-01-22,,,,200.0,200.0
00d72e46-7b5d-4878-8507-f3a3446a8c35,81915255-b539-4505-99f3-0dfa2c0039a4,Massachusetts,Byrne Racing & Towing,,Greenfield,unpaid wages,,2015-01-22,,,,1440.0,1440.0
7953e993-1537-4691-9ac0-fbc37ef2d6f1,a9b3a9e5-2a72-428f-b86a-32e5437caef8,Massachusetts,The Lounsbury Group d/b/a Leonards of New England,,Seekonk,unpaid wages,,2015-01-22,,,,1234.0,1234.0
7f548ddb-9f0d-47b3-82d5-62d8ad4d7b52,155d3fed-dca5-4962-8f41-8510db74d1fc,Massachusetts,New England Preschool Associates,,"Milford, MA",unpaid wages,,2015-01-22,,,,7044.33,7044.33
1e091474-b542-482b-985a-3b39d9a6265e,56ee8df8-6675-4a39-83b9-5b7880c95628,Massachusetts,Golab Corp d/b/a Fernandez Family Liquor,,"Brockton, MA",unpaid wages,,2015-01-22,,,,200.0,200.0
2313545d-596d-41b7-a37c-32aecf75105d,63569c80-6f02-4dc5-9d31-1c00c4052941,Massachusetts,Panther Industrial Painting,,Mishawaka,overtime,,2015-01-22,,,,2795.84,2795.84
