case_uuid,violation_uuid,state_name,employer_name,employer_dba_name,employer_city,violation_category,case_status,date_opened,date_paid,date_closed,amount_claimed,amount_assessed,amount_paid
84910a21-9be4-4862-b815-bd338ff8d47e,68bfabc4-52f9-4d48-8899-291101cd559a,Minnesota,JUVENTUS MED SPA,,,,,2010-01-11,,,,,
6dcf59c7-085b-4597-9a2d-d822f6821def,e020abe5-6aec-48f6-aa47-58a853491059,Minnesota,BUFFET KING,,,,,2010-01-12,,,,,
010c1331-83d1-49c9-8edc-dc1c7305ea1b,c176f00e-a55f-490e-bcc4-678a9711821b,Minnesota,DISTINCTIVE CLEANING,,,,,2010-01-04,,,,932.68,932.68
f9abfc5e-266e-4926-a97e-7c77aa88755d,27ac3ee9-8148-418b-b9b3-ade8b919ea9f,Minnesota,LIEN INSULATION INC,,,,,2010-01-14,,,,35564.24,35564.24
0a8223a6-b9e5-426f-b2fc-925afce4e46e,928b3b07-ec31-49b3-a20b-85b59d30a049,Minnesota,TAS SALON,,,,,2010-01-14,,,,556.05,556.05
b7a74f74-c26f-4dbc-81ed-f923194247af,16372ac8-b2a6-4a0a-85d9-88156496fb78,Minnesota,BROWN COLLEGE,,,,,2010-01-19,,,,,
d189ab31-0235-4f77-a827-d50747d0ce8f,e0ca1eaa-bc6c-4821-944a-c125f3b9b8b5,Minnesota,IMGRUND MOTORS,,,,,2010-01-25,,,,,
ac5fe5d6-ebca-4d7b-87b8-1850fb9c9f6c,2665cce5-111c-441b-8e22-e0224f9c514f,Minnesota,ALPHA & OMEGA USA INC,,,,,2010-01-05,,,,,
f92334fa-b9bc-4093-81cb-3169838b1630,d88c46d3-64f2-419b-a85b-cd52d9d94872,Minnesota,LA GUE BUENA RESTAURANT,,,,,2010-01-01,,,,2000.0,2000.0
3fac667f-232a-4478-991f-304044ac6196,b693e145-8a8c-4451-82e7-31ee262d13ba,Minnesota,FAT BOYS BAR & GRILL,,,,,2010-02-02,,,,3255.9,3255.9
68a75a9a-ee4a-491d-8d7a-dd3182c51c6f,bcf6f30b-a0a7-4613-bb3e-3e5d905c93aa,Minnesota,E STREET MAKERS,,,,,2010-02-03,,,,,
171a69d4-91f1-450d-8cc7-c3480f47f7d4,a9704394-7edc-4927-91d4-367f633705b3,Minnesota,DON JULIO MEXICAN RESTAURA,,,,,2010-02-10,,,,20000.0,20000.0
fca794a2-5193-47a7-9da4-bebcb0401413,cefe98ee-e120-4e2d-991c-5537ba398139,Minnesota,RMR SERVICES,,,,,2010-02-24,,,,,
4c423f87-b90a-47dc-98de-08152ccf70e3,506ce91e-935c-4215-b350-d1974e3984ed,Minnesota,SUPERIOR SATELLITE,,,,,2010-03-24,,,,36400.0,0.0
ffbf7946-7e01-44b1-b000-1d4942308c4e,f1ba8f24-c1d0-45c1-ac92-21802ee32330,Minnesota,GREAT MOODS.COM,,,,,2010-03-12,,,,,
d8f25683-7685-4c1a-97ed-c6746ca9414c,fcd22111-4dd6-42ea-95ae-35e5dfe5af64,Minnesota,A MARKETING RESOURCES,,,,,2010-03-28,,,,,
69a08cf4-2458-4ca6-847b-071e1eee09fa,2f9f1f12-3423-456c-bd5b-1d8ed6d2bea6,Minnesota,PEDIGREE GROOMING,,,,,2010-03-28,,,,,
9cbaa6b3-3ddf-44bf-a26d-c476216f6b5f,dbdb8d83-fd88-4868-8e11-de344f305ea3,Minnesota,ABCO FRIDLEY AUTO PARTS,,,,,2010-03-02,,,,15597.27,15597.27
9e8addad-3dc8-4feb-8c8f-c02b60a50472,d5b35f68-f3fe-47e6-b88c-60bfa35ae884,Minnesota,COOK WATER FARMS,,,,,2010-03-29,,,,,
8d793c5f-977f-49ff-b9b6-26d4265393bd,e955cadc-9dae-4186-bfd0-f17d2782b378,Minnesota,MEMORY LANE CLASSICS,,,,,2010-04-07,,,,,
bea9cfac-b2c5-4fd7-91ca-11de5637c7a5,6c947d07-d3d2-4f4c-925e-2c65a3acd34b,Minnesota,SOUTHWEST CRISIS CENTER,,,,,2010-04-08,,,,3801.04,3801.04
2e6dc395-dfa2-4b3b-8366-1dd78dcc66d6,ccb3bc17-b62a-4aff-9916-c07518d7098e,Minnesota,HANABI JAPANESE CUISINE,,,,,2010-04-19,,,,17723.16,21948.19
ecb65091-d5db-43ce-8b79-2d08a2387fd4,597c9a0d-0047-40a8-b824-dd7b75e106f3,Minnesota,VISITING ANGELS,,,,,2010-05-06,,,,1015.88,1015.88
9ec6db1b-88d2-4351-b0c7-d5f6ee276ef8,671047a5-28c8-417b-8633-eb111ffd0a62,Minnesota,CAFE INDIA,,,,,2010-05-14,,,,2997.32,2997.32
bfe101fb-1a91-41d8-908b-3f5f8d9d9ed3,6f1f8bb1-cedd-4b30-b653-ec48ef660311,Minnesota,ALPIRIENCE HOME HEALTH CARE,,,,,2010-05-14,,,,,
90074e29-2d49-448f-89df-32383e0fb94b,3f1cdeed-bef2-4fc5-8dba-0fa5b4f0e0fa,Minnesota,JSA JANITORIAL SERVICES,,,,,2010-05-14,,,,,
40144259-d722-46eb-b1d3-a8b2faa17c76,538320b0-bb3e-4c1e-875d-eb23f487b9c0,Minnesota,HOPKINS AWARD VIDEO,,,,,2010-05-14,,,,700.66,700.66
78c0c588-493a-40d7-90e7-67ae73145a30,51c3b394-85c9-4f73-9ecc-57cf1e452a1b,Minnesota,BILLY'S RESTAURANT,,,,,2010-05-20,,,,,
1124ee7a-ebd2-436c-841e-67d492aca74c,0733754c-81df-4d66-b6ca-c68d89b35ae8,Minnesota,TRAPPERS BAR & GRILL,,,,,2010-05-20,,,,10483.68,10483.68
13b94aca-2900-4109-9007-8da08441ca14,403ef412-e630-4d07-93e3-5e0bd64d9853,Minnesota,MINNESOTA TWINS,,,,,2010-05-17,,,,,
f7e52bdf-5311-4928-b1b4-179f24575bf9,d4a56212-73d2-49c3-969d-cc77760958ec,Minnesota,PLAZA GARIBALDI,,,,,2010-05-17,,,,747.43,747.73
81cfb1a5-e102-4939-a7e0-6d4d0449ecb3,cae49a35-d5da-49c0-9383-51e0872827fd,Minnesota,AMARA DBA THE MISSISSIPPI BE,,,,,2010-05-24,,,,,
2d2a75cb-f86c-49e8-b7dc-d7adaefd3847,e8a74ca5-270c-401a-a7af-dc963e0d4749,Minnesota,WORKING WOMEN CLOTHING C,,,,,2010-05-24,,,,4314.86,4314.86
2daf44a5-747a-424d-9b18-1967fdf26dc8,e36bcd3f-45ad-4f93-9644-866bcb687832,Minnesota,BORDER BAR PIZZA,,,,,2010-06-01,,,,36317.88,36317.88
f3f02b62-9de8-44fd-a37d-f0ec119171ed,ce7384a2-80ce-4d96-81e7-0f1abde8e71d,Minnesota,IVY SPA CLUB,,,,,2010-06-03,,,,,
ae3a87ec-fd4d-41da-ba30-da4a1f9ee186,d58121ff-6f67-4e48-bc0e-f1c0bd724a89,Minnesota,GRADE A SECURITY,,,,,2010-06-03,,,,,
ab5ac614-c2d6-4996-bd68-e5fd68d39b8d,2e3a7e3d-be7f-4772-a85d-cc9e6cd524b5,Minnesota,UNIVERSAL HOME HEALTH CARE,,,,,2010-06-10,,,,,
c38d1a19-4139-43a8-ba57-b0003fcb0c96,d78a5fc9-bcb9-4a4c-9a0e-aaa9b6cc8003,Minnesota,RJ'S TAVERN,,,,,2010-06-24,,,,450.0,450.0
2442075c-6576-443f-af4d-0108cc31d6f1,ade69a57-33f8-40fa-94f7-19d0e429d78b,Minnesota,BRIAN SMITH CONSTRUCTION,,,,,2010-06-24,,,,,
5f4c27a2-3955-4489-bfd7-93248170e3da,6bbe783d-ae78-4f8e-b914-e5a530d289fc,Minnesota,ADVANCE SECURITY,,,,,2010-06-24,,,,326.24,326.24
00a16c50-5933-4e6a-a7d5-2190579af523,1a7ffec4-29c9-4abf-832f-508532bb21bf,Minnesota,TWIGS SALON & SPA,,,,,2010-07-14,,,,,
5c02c983-4793-42ec-bbb6-a48a71bb5b42,6220d62e-2a01-4610-8507-46327a85588e,Minnesota,HOOK'S FISH 7 CHICKEN,,,,,2010-07-09,,,,,
642955de-e89b-4c16-a6a9-ffe50fbbb8a6,5e2a3c49-eb71-4782-9099-b1376f4849ef,Minnesota,GREEN MILL,,,,,2010-07-15,,,,,
776ead03-e69a-46d4-b4a7-6c9572fd9749,18c62100-fbfc-46d5-b9c0-d7b7d80492d3,Minnesota,UNION STREET GRILL,,,,,2010-07-15,,,,,
dbbc5fc2-76f7-4f17-bdfb-6e53543e5a8b,6870b335-0677-4e90-bf01-c1c88bbec586,Minnesota,THE CHAP,,,,,2010-07-16,,,,5972.27,5972.27
09aba30f-3ef2-4256-b4c0-47e7d6cf0424,226c14fa-4f0b-4e55-9b3c-2ad0b4da883a,Minnesota,VAUGHN'S,,,,,2010-07-21,,,,8357.87,8357.87
64fb09fc-4bdb-42b0-80e6-58d556859b9f,f1bbebf3-a2b8-4460-88c4-a7cace7b9429,Minnesota,DNC-TARGET FIELD BARS,,,,,2010-07-21,,,,,
e1a8b444-1bef-47e0-a798-df053cc0cbe3,d9bb21e4-f734-49c6-9401-e8c514d16140,Minnesota,FIVE STAR ALTERNATIVE,,,,,2010-07-23,,,,6614.27,2300.22
d943eb41-3a16-41de-adc1-b26a9be70c34,9ecb6bcd-73dc-42ad-bda0-53a2b5e56374,Minnesota,SATCOM MARKETING LLC,,,,,2010-07-27,,,,,
