case_uuid,violation_uuid,state_name,employer_name,employer_dba_name,employer_city,violation_category,case_status,date_opened,date_paid,date_closed,amount_claimed,amount_assessed,amount_paid
66cf0af7-e710-4d33-b780-0883f8178f65,38018909-aa78-44f9-b4b4-b1b4aadc868a,Montana,KRISTIN WOLFRAM,,,,closed,2017-09-26,,,,,
d872ab15-e754-4066-8a24-8c876e070034,6bbaa814-2eff-4b72-a924-e8695f36bc5f,Montana,ILEM TRANSPORTATION LLC,,,,closed,2017-10-23,,,,,
c73226c8-e3fe-455d-b04b-4bd88c974e25,0e61d7fc-197f-4f87-96e1-eff899aff344,Montana,Z TRUCKING,,,,closed,2017-11-16,,,,,
9df5b93e-de12-42a2-a23d-1d5c3fd5457e,07793aee-ac8d-49a4-9463-67159590f1d0,Montana,PRECISION CLEANING LLC,,,,closed,2017-10-11,,,,,
38d3f047-7b12-45af-82e8-392364583b5f,825d2045-dda9-40c8-8171-8d1805048c2d,Montana,RIGHT WAY TRUCKING LLC,,,,closed,2017-11-28,,,,,
c6aaf387-da2e-4e4d-9154-98f16a5f82bc,36d6eb5d-5f00-47bf-9a40-97f10f068cf5,Montana,DONAHUE ROOFING AND SIDING LLC,,,,closed,2017-12-13,,,,,
6861ffdb-fcf4-411d-99ac-34bc95bde846,86d4a7ff-ea97-499b-8183-576948986b9c,Montana,FOX VALLEY ROOFING AND SIDING,,,,closed,2017-12-13,,,,,
9793f5fa-c677-4b3f-80a0-8e20dc702a60,a1f092c3-dbd2-40f7-b46f-bfb543d1890b,Montana,ALL THINGS COVERED INC,,,,closed,2018-01-05,,,,,
3d610a65-e4b0-4376-9449-dbb0db003791,df1dea4d-25a3-402f-9a97-7e60c5582439,Montana,BIG BEAR CONTRACTING LLC,,,,closed,2018-01-30,,,,,
78c353fb-1479-489f-a9e7-59ccfc6a7e0e,30fcfe4b-1aa2-47c5-8b7b-e95bab56ec23,Montana,ELEVATION MARKETS LLC,,,,closed,2018-02-23,,,,,
