case_uuid,violation_uuid,state_name,employer_name,employer_dba_name,employer_city,violation_category,case_status,date_opened,date_paid,date_closed,amount_claimed,amount_assessed,amount_paid
f0fd4a6c-9bad-4383-b988-13d2a9936436,2ae9db96-8ac3-4378-bf82-09b397ac13fd,Nebraska,"Let's Talk Dirt, Inc.",,,,closed,,,2014-09-10,,1000.0,0.0
b961b45a-2395-44c5-a4ca-9e4c8eb81143,240e8fa0-4e0d-42fb-998a-951baed2837f,Nebraska,perfect finish flooring llc,,,,closed,,,2014-10-30,,500.0,0.0
33487792-cdac-4395-b152-25e5b4dfd79b,241425f7-8b2f-4c29-822a-43affde785c0,Nebraska,Little Giggles,,,,closed,,,2014-11-14,,500.0,0.0
71833cff-978b-40a8-9739-46f121416787,495a0ee8-5a52-4189-a6a3-6b64bdeab995,Nebraska,Huntington Child Care Center,,,,closed,,,2014-11-18,,400.0,400.0
e2cd0664-9e60-4cb2-929b-683b4b8ae839,0fdd08e6-7984-4107-827b-0d8efc155169,Nebraska,Mutual 1st Federal Credit Union,,,,closed,,,2014-11-20,,500.0,500.0
941d6a60-b89d-4555-8cd7-9b3d0634e991,e8dd0349-63fe-4992-a03c-33d3beef8057,Nebraska,"Giggles, Inc.",,,,closed,,,2014-11-21,,500.0,500.0
982250ab-7a55-47e6-82b0-ee6e747b83e7,deb5a619-5c4c-423e-9012-6c923aeef6f0,Nebraska,I Read Books,,,,closed,,,2014-12-01,,225.0,0.0
f663fee1-08dc-46f4-ae90-15aec969a594,894d9dcd-cda9-4e7d-a25e-28af8dbe0351,Nebraska,Sterling Enterprises DBA Team Green,,,,closed,,,2014-12-09,,350.0,350.0
0c6c6a15-f3fd-4ca9-9838-9a97bf7682f5,4326ac15-c98a-4623-86a7-79ef0563eb82,Nebraska,"Let's Talk Dirt, Inc.",,,,closed,,,2014-12-11,,1100.0,0.0
95916064-6146-4dc6-8459-64d022e03427,85b30287-ba04-4482-ab6b-e6e6d12e8558,Nebraska,Paul Neideffer Painting,,,,closed,,,2014-12-15,,320.0,0.0
aaa956e2-b0af-4834-8eda-7c095698cc5e,e3ab45b1-9531-4335-8d10-519ec80e5f11,Nebraska,Bridging the Gap Inc.,,,,closed,,,2015-01-02,,500.0,0.0
e90a7832-fe39-4741-a5ed-6fb218577246,2607f928-dd3b-4b56-b6ed-0edab48ce021,Nebraska,Bridging the Gap Inc.,,,,closed,,,2015-01-02,,500.0,0.0
1e4b29c1-368d-404d-b564-e881cbeb79fd,9134dc75-9c5a-4897-8a89-07bcc7826a89,Nebraska,Bridging the Gap Inc.,,,,closed,,,2015-01-02,,500.0,0.0
e5c7d57d-b5b6-42ee-870a-1d24ad45e4b9,514a8862-b9fe-48a0-a8b4-bcea7ea13211,Nebraska,Bridging the Gap Inc.,,,,closed,,,2015-01-02,,500.0,0.0
9a2f87ec-e9aa-4670-88d4-bd1c59fbaded,9594c26e-4ca7-461a-8162-e132dd2c125f,Nebraska,Bridging the Gap Inc.,,,,closed,,,2015-01-02,,500.0,0.0
4539994b-2c86-4679-b973-0ae6cd129f69,6e6243d9-4a50-4089-b876-569b5664ca8b,Nebraska,Bridging the Gap Inc.,,,,closed,,,2015-01-02,,500.0,0.0
37129890-e5a4-4818-b0ba-947377bbe2ce,132657cf-087d-4f06-b3cb-525ba1e4dce8,Nebraska,FuturesOne,,,,closed,,,2015-01-06,,500.0,500.0
75530cd6-99ac-4e13-9465-9ccaa66638c9,38101c84-f191-4272-ad19-294c6029e8da,Nebraska,4 Horsemen Security,,,,closed,,,2015-01-14,,500.0,0.0
454a263d-12b2-4b23-9679-b2ddc4e42869,70e500bd-9b5a-4fd1-9ba3-125515576923,Nebraska,"McCauley Concrete, LLC",,,,closed,,,2015-02-03,,500.0,0.0
0bd9a346-3c6d-4671-8a32-e90a50375562,0f20e696-e5af-4ab0-a8fd-c2735d2ab172,Nebraska,Maywood VFW Post 6930 Club,,,,closed,,,2015-02-03,,500.0,500.0
012dab24-9dea-4f51-a329-e065a71b45ce,39247b90-5927-42dc-aa35-40d83634bdc3,Nebraska,Lynn's Hair Lounge and Spa,,,,closed,,,2015-02-03,,100.0,100.0
d4bf9e77-347f-46a2-8f71-37a5ccbf3fe5,883298eb-0c78-433e-9910-59bf64e1b200,Nebraska,Farm Bureau,,,,closed,,,2015-02-11,,100.0,100.0
495141f8-3783-4392-aa35-1f543bdae76d,09879cfe-4b6c-46c8-bfa8-765b433bd406,Nebraska,"Building Clean, LLC",,,,closed,,,2015-02-18,,2500.0,0.0
1c4627aa-7001-4c1d-8a62-e40fb1b28e91,f08f00af-3e1f-4be7-abcd-ff5af00ee067,Nebraska,Goodwill Medical Transportation,,,,closed,,,2015-03-09,,100.0,0.0
5120af5b-2f16-43c1-980f-a46eb53a46cb,0204dce1-8256-434e-9c65-055dca5eb5f7,Nebraska,Westmont Inn & Suites,,,,closed,,,2015-03-09,,500.0,0.0
a757eb0e-36c3-4630-8c3a-150c0ad68279,7f49eb0d-0589-4a4a-9f6f-443f0b1a10a7,Nebraska,Blackout Express LLC,,,,closed,,,2015-03-25,,500.0,0.0
0dcc5ed4-8e99-46ce-a678-11a4e7c47bee,fd3a6995-a094-4900-a5be-ade35379961a,Nebraska,AmeriLawn of Nebraska,,,,overturned,,,2015-03-27,,1000.0,1000.0
d0486d80-fda8-423c-8216-a413987816e9,9d8a57cc-bcc9-46c9-a282-d3d9609d9a9b,Nebraska,AmeriLawn of Nebraska,,,,overturned,,,2015-03-27,,500.0,500.0
6500a31f-5d34-4416-a381-1edf871ef6b5,b1c6f7df-e319-46df-a87a-ca208af537b8,Nebraska,Red Rose Ranch,,,,closed,,,2015-04-20,,200.0,0.0
1adf186e-972b-4c11-993f-6591e150a14b,cc0888f7-11ce-4f4f-8c7d-619db20958b4,Nebraska,Hobo's Diner LLC,,,,closed,,,2015-04-20,,500.0,0.0
acffdcaf-e11f-49ad-8b0b-b8a1a8243612,dce61005-d134-404a-8da0-246e8b841488,Nebraska,Shuler Irrigation,,,,closed,,,2015-04-30,,500.0,0.0
a774eebf-c754-49a3-8eb0-bcc2b1e132a8,cafcb7a7-68cf-4dc5-9fa1-74f649f83aa0,Nebraska,Aqua-Tots Omaha LLC,,,,closed,,,2015-05-07,,200.0,200.0
4ae1d964-eb78-4743-be69-d6109099bae7,19b1640d-ffb6-4441-a73f-a42f7490e420,Nebraska,Huffman Livestock,,,,closed,,,2015-05-08,,500.0,0.0
47632b1a-fbda-4be5-a642-d23879ec78bd,9b57bd94-7e3f-427b-ac33-a0bb19a4c325,Nebraska,Finch on the Run Entertainment LLC,,,,closed,,,2015-05-11,,500.0,0.0
7caf8933-f5f1-4577-a1fa-2aaf629c65c3,94c7787e-5148-4e62-82e4-80227e24e4ef,Nebraska,"Aqua Plumbing and Heating, L.L.C.",,,,closed,,,2015-05-29,,500.0,500.0
b24927a5-eef6-4257-8ccf-61d3689e8449,5d4c5e15-154c-44a4-9104-b07d76eb8d5c,Nebraska,Twin Rivers Construction and Siding Inc.,,,,closed,,,2015-06-02,,3500.0,0.0
03141380-c534-4dfd-b1fd-9286cfc5a818,dacbb88a-776b-497c-9601-f17678474d7c,Nebraska,Twin Rivers Construction and Siding Inc.,,,,closed,,,2015-06-03,,3500.0,0.0
792c07a6-6cae-4c57-91fc-8fe01b12970f,eadd6916-006c-4c54-a8ca-7c9412329e9e,Nebraska,Twin Rivers Construction and Siding Inc.,,,,closed,,,2015-06-03,,3500.0,0.0
b513c076-a8fc-475f-8bde-b168f1801407,43b7339a-16aa-410c-b34e-960ebc395761,Nebraska,Tuffy Associates Corp.,,,,closed,,,2015-06-05,,1000.0,1000.0
2222beab-7c4b-45cd-9504-4b7e4a6a48e7,c01b59d7-8aa3-451e-9a4d-200608fec00b,Nebraska,TUFFY TIRE AND AUTO,,,,closed,,,2015-06-05,,1000.0,1000.0
d5cbd74e-c44f-4a7c-a263-43bb629c2106,833650e4-7312-4ea2-b01e-3c3230ce28c9,Nebraska,Finch on the Run Entertainment LLC,,,,closed,,,2015-06-11,,5000.0,0.0
05712cf2-8635-4da8-8fd8-90f1767e65f6,a8a88c94-77aa-4503-9e11-d636310a5059,Nebraska,Steel Steed Steakhouse and Saloon,,,,overturned,,,2015-06-18,,250.0,250.0
e64753e4-6749-4e91-98b6-846ffc354efb,8b37c44c-fe50-4a97-9bfa-226cb5df0550,Nebraska,"Sleep Pointe, LLC",,,,closed,,,2015-07-10,,500.0,0.0
6be5671d-a4cc-4428-800e-4bc3a9b86cdf,d537de8c-41e3-4299-b7ef-5da565158c46,Nebraska,Creative Creations Omaha. LLC,,,,closed,,,2015-07-14,,500.0,0.0
33394ac1-1b7d-4ee1-b4f6-668528d9b827,3dc0865b-c6af-44c6-b818-cea745fc218b,Nebraska,Twin Rivers Construction and Siding Inc.,,,,closed,,,2015-07-21,,1500.0,0.0
bd79f589-0406-429c-8ba7-967af4c281d4,89d1dc20-d969-4881-81c0-dcafdc702ade,Nebraska,Twin Rivers Construction and Siding Inc.,,,,closed,,,2015-07-21,,1500.0,0.0
b038c792-c3fd-4212-9469-57f806587828,bccfddf2-d5bf-46fe-a397-e91e1b6fc85e,Nebraska,Twin Rivers Construction and Siding Inc.,,,,closed,,,2015-07-21,,1500.0,0.0
986564c9-05e6-4f1e-8600-2c89343def40,32681648-1876-4fff-9e55-3ddef8f014c6,Nebraska,"A-1 Spray Foam Insulation, LLC",,,,closed,,,2015-08-10,,200.0,200.0
4f49cc06-578c-4085-89ef-2d368da8fe21,7b1bbd12-c602-4c12-9a53-59596d655d90,Nebraska,Affordable Snow Plowing and Underground,,,,closed,,,2015-08-12,,500.0,500.0
9e19ee84-1bd3-4251-92a7-e8830591a18f,305629f6-eb49-456c-8bbe-f303df457101,Nebraska,"Mark Services, Inc.",,,,overturned,,,2015-08-14,,500.0,500.0
a1f5b9f2-0b95-4676-9e0a-ec6be81db3c5,73a25628-5109-4386-85bb-cf11c59c406f,Nebraska,"Wolf Auto Center Sidney, LLC",,,,closed,,,2015-08-14,,500.0,500.0
8ea6749f-b2ed-4071-9be8-dea3b608952f,95509d9a-70a6-4604-b0ac-68d03e2a8cce,Nebraska,Johnson's Painting & Total Construction,,,,closed,,,2015-08-26,,5500.0,0.0
572e5d9b-576d-46e3-8d61-ca8e431272e9,9a92f0ea-46c4-4f1f-a7a4-517282c6a93b,Nebraska,Johnson's Painting & Total Construction,,,,closed,,,2015-08-26,,5500.0,0.0
a4d8cfcb-5ffe-4d4c-8ee9-ababc30db376,c5ceedf9-abda-41e8-9795-b736c875c896,Nebraska,The Spigot,,,,closed,,,2015-08-28,,500.0,0.0
0e7a6d3a-5921-42ed-b149-ad7a12137c31,8b75395d-b8cf-4b3d-9a0a-d565eca2182f,Nebraska,JV5 Solutions LLC,,,,closed,,,2015-08-31,,1000.0,0.0
99673426-c63a-4752-b0fd-a337bbcc15ab,0b45a442-0560-43c6-bc4f-be8dd2cacbd3,Nebraska,JV5 Solutions LLC,,,,closed,,,2015-08-31,,1000.0,0.0
f075dc2f-114b-4470-8c29-7c96691d7eb5,c529d8af-ed6f-4fc3-a084-8d41fe1270f2,Nebraska,Maharaja Indian Cusine,,,,closed,,,2015-09-22,,500.0,500.0
0a64ecf4-414f-42be-8cb5-e60caa40e1e5,fe9810c0-62c9-479a-8610-6a9051f6dc20,Nebraska,Reuter Construction LLC,,,,closed,,,2015-09-28,,500.0,0.0
d54667af-12ba-429e-b5a7-92628940735b,1d53bf94-9c16-4002-9cfc-40d857299f55,Nebraska,R.A.D.S. Renovations LLC,,,,closed,,,2015-09-28,,500.0,0.0
7eb6aa0b-f94b-439f-bf77-7fcdda6b1988,38e30394-f4ed-4e4f-89e3-3590b996938d,Nebraska,Integrity Painting,,,,closed,,,2015-10-06,,300.0,300.0
f1023ef8-eadf-437d-ad4a-ed1a6590af3b,ed6e6e62-e10a-4274-b68c-4f0f2b956641,Nebraska,Deseret Health Group,,,,closed,,,2015-10-08,,51000.0,0.0
67baba67-3fa6-45ae-8085-6b170fe4ede1,f09d0a7c-0959-473e-b388-d5c6d7e388fe,Nebraska,"Lift Omaha, LLC",,,,closed,,,2015-10-13,,500.0,0.0
ece47db3-4b67-4aca-9dc9-d3a1f8c55fdb,0bec8335-4a16-4831-82da-af52aa78b4ae,Nebraska,"Storz Trophy Room Grill and Brewery, LLC",,,,closed,,,2015-10-14,,500.0,0.0
20f97831-88b2-4109-86f6-8ccfbb740a41,a8e5ca92-1698-463f-b4ef-7c8aebda4f9b,Nebraska,"Maintenanceman, LLC",,,,pending appeal,,,2015-10-15,,500.0,500.0
1c404fe2-b47c-4b41-b0b4-4eea6f28d551,58458122-6e87-42a4-916c-7b0d691b47ca,Nebraska,"AdPointe Media, Inc.",,,,closed,,,2015-10-20,,500.0,0.0
264e0d71-3119-4fec-a163-b53b2a964ff7,df7ba886-f3b1-4f2a-97a8-8fe0b031372b,Nebraska,Bank of Lewellen,,,,closed,,,2015-10-21,,500.0,500.0
e369e0dd-1b8e-4293-a5ae-3a21dc4a4291,a0521504-d363-44eb-a2c8-7810bb4a4776,Nebraska,West Gate Bank,,,,pending appeal,,,2015-11-09,,500.0,0.0
d4c2b48b-e99f-4cec-9cec-6177528d61d4,a25cf20f-9bc3-4fe5-9b5e-72efc708a61a,Nebraska,"Sterling Enterprises, Inc.",,,,closed,,,2015-11-09,,500.0,0.0
7ea5cb03-e026-4232-add6-55c2c3252778,1b364c20-2f4a-40b5-b070-0585bcbd2777,Nebraska,Walker Search Group LLC,,,,closed,,,2015-11-09,,250.0,250.0
e4da8dc4-9768-4d80-9d63-3d84ef5d0cb3,ebca7c60-2bba-4af2-8453-315ef9e68a70,Nebraska,Verizon Wireless,,,,closed,,,2015-11-09,,500.0,500.0
e9a0d1ef-8a6d-4f35-bca2-9526b8aa56ee,6e7d3708-e7b0-4606-8db6-57b2078eaf38,Nebraska,"Kinderversity, LLC",,,,closed,,,2015-11-12,,500.0,500.0
