case_uuid,violation_uuid,state_name,employer_name,employer_dba_name,employer_city,violation_category,case_status,date_opened,date_paid,date_closed,amount_claimed,amount_assessed,amount_paid
5dbbb729-cd1a-44ff-ad19-a42a8914a78c,cc6b5c94-c5e2-4249-ba64-7382039d25a4,New Hampshire,TRUE BLUE CLEANERS,,,,closed,1970-01-01 00:00:00.000002015,,,400.0,,400.0
b6d0e2c1-98f0-4280-9ee8-a79d151f00a9,358fcdbc-a2c3-44ac-aa95-4b99f1e5bac2,New Hampshire,GRANITE STATE PLASTICS INC,,,,closed,1970-01-01 00:00:00.000002015,,,6757.0,,0.0
15d598eb-37a6-4e4d-af79-e6498ea569d0,612f6ad3-4f82-49f4-aa2c-fd730222f4c9,New Hampshire,RED APPLE INN,,,,closed,1970-01-01 00:00:00.000002015,,,236.0,,0.0
48e9c620-8195-4545-9da0-b9dbbe770ed5,6c5cc7b7-312a-4c79-a462-fb17c20d5acc,New Hampshire,GOLD BUYERS OF AMERICA,,,,closed,1970-01-01 00:00:00.000002015,,,264.0,,0.0
ba9b6150-9d63-44e5-a38b-013dc1b0f299,2678ef7d-9015-459c-8f2d-3c4149652530,New Hampshire,HTR MERCHANDISING,,,,closed,1970-01-01 00:00:00.000002015,,,360.0,,0.0
13c364b6-d881-4e0e-a841-2db7294f6368,4b5c14b4-8b18-45b7-9837-efb3de2bee21,New Hampshire,GOLD BUYERS OF AMERICA,,,,closed,1970-01-01 00:00:00.000002015,,,5878.0,,1858.0
7b400690-5d1a-4f63-a38c-244084c438a9,f5a3dcae-f93d-4232-8172-8b09cb86fb65,New Hampshire,RITE AID PHARMACY/FARMER BROOKS,,,,closed,1970-01-01 00:00:00.000002015,,,535.0,,535.0
a95526f3-6001-4542-ae32-d25ab774784f,6b280d32-90ee-4e52-89c3-af865e824a6e,New Hampshire,RIVIER COLLEGE,,,,closed,1970-01-01 00:00:00.000002015,,,1653.0,,0.0
cb6e77eb-627c-4240-93f9-f057c2299f87,c70567cc-faab-4da7-aa1f-2d2dc442d63b,New Hampshire,FITNESS TOGETHER,,,,closed,1970-01-01 00:00:00.000002015,,,105.0,,105.0
8c98095a-183e-4248-a7fe-f95f0f82cceb,ba4ee1bf-1475-4cff-8e86-c510c30c6a02,New Hampshire,DANGELOS    #5123,,,,closed,1970-01-01 00:00:00.000002016,,,68.0,,0.0
83b0d1f5-4bd1-4362-94ed-c256bc6b41bb,b85eadf9-72c2-4af4-ac2d-9a94bef4097f,New Hampshire,WERNER MAZDA,,,,closed,1970-01-01 00:00:00.000002014,,,2625.0,,0.0
85402bfc-a1a6-4b27-9158-de63c9c8c044,4b46ca04-94ee-4089-a8f2-7ab05e67208e,New Hampshire,REHABILITATION EQUIPMENT ASSOCIATES,,,,closed,1970-01-01 00:00:00.000002015,,,221.0,,221.0
a593e3d9-4e4e-4116-872a-9260b0b6fdc2,39578d25-5b51-484a-9615-476c66f78083,New Hampshire,AMERICAN INDUSTRIAL CLEANING CO,,,,closed,1970-01-01 00:00:00.000002017,,,239.0,,236.0
63e1d9bc-12a7-40ee-980c-1c0d37ed0d2b,64f3d655-bef0-4e12-9fc1-87177b1938c3,New Hampshire,COCHECCO AUTO REPAIR,,,,closed,1970-01-01 00:00:00.000002015,,,500.0,,0.0
673420a5-1f49-438f-993b-4fcbbd243f13,77cbc82d-b0d6-493a-bb9e-fd5994d70bb5,New Hampshire,LAKES REGION COMMUNITY SERVICES,,,,closed,1970-01-01 00:00:00.000002016,,,1157.0,,0.0
