case_uuid,violation_uuid,state_name,employer_name,employer_dba_name,employer_city,violation_category,case_status,date_opened,date_paid,date_closed,amount_claimed,amount_assessed,amount_paid
0a42291c-e2b4-4de7-ae5d-a3ea25fe4752,2db38f3a-d114-4d49-b4ba-d73fbda3f9e8,Ohio,W G LOCKHART CONSTRUCTION COMPANY,,,prevailing wage,closed,1996-01-26,,,,1305.6,
d0e949af-e850-4657-a9a7-f69526b01aa8,07d77286-a7a7-4c95-9266-346c2e74d5fa,Ohio,W G LOCKHART CONSTRUCTION COMPANY,,,prevailing wage,closed,1996-01-26,,,,870.4,
871fa6bb-8d4c-47c6-be05-c7693a5f5257,4869db52-8f4d-4efe-97a3-c9e04617d9e9,Ohio,W G LOCKHART CONSTRUCTION COMPANY,,,prevailing wage,closed,1996-01-26,,,,1740.8,
269c698e-3734-4554-ad1e-f8c486612e07,5dd90390-90c6-46c0-a516-e9fb3ff11f28,Ohio,SATURN ELECTRIC COMPANY INC,,,prevailing wage,closed,1996-05-30,,,,2718.93,
f2f9ffe8-a612-4bb6-a4b0-b651b36b4283,dc0de4b6-5ec9-45f2-8b73-9fe0577146bc,Ohio,"MECHANICAL SYSTEMS OF DAYTON, INCORPORATED",,,prevailing wage,closed,1998-05-07,,,,,
2a12309e-1fae-4ecb-b69a-ac87f122b904,d19b77bf-6ce9-4ed0-8ca5-222950f20c7f,Ohio,ENERTECH ELECTRICAL INC,,,prevailing wage,closed,1996-10-02,,,,12471.66,
2c42da65-80bc-4430-b054-6a32458ae6c3,f4387ecf-8919-47c6-b562-3949cfda2ed0,Ohio,URGENT CASH INC,,,minimum wage,closed,,,,,35497.13,
458b6253-564a-41c6-aa12-6091d6ded25d,d832e665-69a0-4b33-860c-36eccc9d4aa5,Ohio,LANDRUM ELECTRICAL TECH,,,prevailing wage,closed,1998-05-11,,,,,
8219f503-b8f8-4a93-bd42-d018cc2e9b69,aac964a4-fad9-47d7-ad64-d551196f6812,Ohio,MIKE SHIPE & ASSOCIATES INC.,,,prevailing wage,closed,1998-05-13,,,,,
2f9fd0f8-9025-48b3-b87a-7173456fa7ed,27b23f6e-d71f-4814-9f94-9097e9cfb690,Ohio,MIKE SHIPE & ASSOCIATES INC.,,,prevailing wage,closed,1998-05-13,,,,,
8078afae-6f92-466b-9267-bd321d7d66e1,47a4011a-03f5-472e-ac2e-f0124f162b90,Ohio,BUCKEYE ASBESTOS,,,prevailing wage,closed,1998-05-13,,,0.0,499.95,0.0
099361ce-e3a6-48fa-ab18-8c9142ab0868,ccdfbd75-f7b6-42b0-b7b9-346ad955f509,Ohio,RAYMOND LEE BUILDINGS,,,prevailing wage,closed,1997-08-20,,,,,
1f2079a4-45ba-4c1f-a0e3-f523f7cb2b31,eee0c993-f028-4cab-9939-270c3bbfbcaa,Ohio,SOUTH MAIN SAND & GRAVEL,,,prevailing wage,closed,1995-12-11,,,0.0,24679.0,0.0
e0719977-c299-44be-9e4c-011b3302ee84,0eb3f6df-3a4d-4e2c-a912-50138dbd03d1,Ohio,ALTMAN CONSTRUCTION,,,prevailing wage,closed,1995-08-23,,,,6382.69,
01dae1d7-9cda-4406-bcec-656ddb944b46,0d3ec035-15ca-4d10-adc4-8bcfc4e4087d,Ohio,ARMO INC,,,prevailing wage,closed,1993-03-25,,,,3009.43,
ef144a01-9746-4d80-8aa6-388beaa7dc4a,9907b6dc-1e00-41cd-b682-bdbe6ab40e7f,Ohio,ARMO INC,,,prevailing wage,closed,1993-03-25,,,,204.26,
bee1dec5-fa22-4453-8940-6b2e09a623ea,6bf3329e-272d-466e-8028-27cfc0b284af,Ohio,MARIAH INC,,,prevailing wage,closed,1997-12-22,,,,5917.96,
7a34cb49-2450-4216-92d5-23a974e91549,37fb6cb8-68c1-4a5e-ab06-0f63ec10e30f,Ohio,AEY ELECTRIC COMPANY,,,prevailing wage,closed,1994-09-12,,,,2661.01,
e79fe99c-6ebd-47c9-8c37-3c22d594ddff,e1edba39-ef89-441c-be5c-f0f6979db9c5,Ohio,UNITED SURVEY,,,prevailing wage,closed,1998-05-18,,,,8081.43,
acde0e35-3662-4fc2-b6f5-8213ba66fa03,d5b326d6-652d-4854-a5e1-f1d5d5b10269,Ohio,BLOOMER MECHANICAL,,,prevailing wage,closed,1998-05-15,,,,0.0,
61394ee5-560d-474f-81fd-28694d86624f,d8d6e939-4d31-47c2-8058-f633620aa479,Ohio,UNITED SURVEY,,,prevailing wage,closed,1998-05-18,,,,9913.66,
0694b8eb-46c5-4d70-a757-5121bd2b26ef,380d3048-65e2-42cb-9890-8fd43d473859,Ohio,MOHAWK MECHANICAL,,,prevailing wage,closed,1998-05-15,,,,10805.52,
526ce0f2-b0f4-4572-bf2a-6d0d39ec599a,f95a6a5f-374c-404e-89e6-131b019aacac,Ohio,UNITED SURVEY,,,prevailing wage,closed,1998-05-18,,,,8620.34,
129437e6-358b-4f69-a3ce-4251e68896f8,d496c690-69d4-4524-9bc6-15a01acb3a09,Ohio,UNITED SURVEY,,,prevailing wage,closed,1998-05-18,,,,,
4b074238-1036-44aa-bdfe-085abac7bc84,64745524-8bb9-4a92-8566-49e95a6f31e2,Ohio,ORAL T. CARTER & ASSOC. INC.,,,prevailing wage,closed,1997-05-28,,,,,
bc69522d-1006-41e6-8ff7-9953db60f62e,48444902-a336-4d6a-a082-5c1d5845213d,Ohio,HARRY WAGNER AND SON,,,prevailing wage,closed,1998-05-12,,,,,
622fd48a-9ead-4552-a430-3efedb05d2fd,ef2ec713-f470-4260-b6d3-e6d729c4187a,Ohio,BALAS CONSTRUCTION,,,prevailing wage,closed,1998-04-06,,,,,
d4d36eb2-db7c-4679-a947-fa403355d3c0,a87a1e88-c8ee-42a9-b479-1a7e580ae3e8,Ohio,VIOX SERVICES INCORPORATION,,,prevailing wage,closed,1993-01-14,,,,8773.79,
aef38c25-3aaa-4d65-b155-7785a0fe33ed,f38e1dd4-9999-4a88-8eed-7729077aef77,Ohio,EAGLE ELECTRICAL SYSTEM INC.,,,prevailing wage,closed,1998-05-26,,,,,
32664cfd-b8af-4a4f-bf85-fe7b85970c13,87c12ea3-c5ef-4662-94fc-427ef5f7efe6,Ohio,TRAME MECHANICAL INC,,,prevailing wage,closed,1998-05-20,,,,8947.52,
143451a0-df61-45e4-8d98-08a06e3bd076,83f0115e-4d69-4f39-a134-d4e6a4bb9afd,Ohio,EAGLE ELECTRICAL SYSTEM INC.,,,prevailing wage,closed,1998-05-21,,,,,
7f48aa89-bdbd-4f32-8f3c-270bd039686b,b16264cc-5e81-4d32-95d9-325ab6a831ea,Ohio,G L GENTRY ELECTRIC,,,prevailing wage,closed,1992-05-22,,,,6961.4,
879278ae-aa17-4ae1-ad94-e16c72c8116b,47854e20-b3a2-4a82-b2fa-9c5c80ad9b1a,Ohio,EAGLE ELECTRICAL SYSTEM INC.,,,prevailing wage,closed,1998-05-21,,,,,
bcf94069-a654-46e8-8499-d1be7c4bbb4b,651c94a0-ffa7-42c2-975d-c1d1acda997c,Ohio,GLOCKNER ELECTRIC,,,prevailing wage,closed,1998-05-20,,,,,
e49e9db5-f445-47f0-83dc-fa06185d7c2e,2869dd18-d481-41c2-a933-870945a07e2e,Ohio,GLOCKNER ELECTRIC,,,prevailing wage,closed,1998-05-26,,,,,
