case_uuid,violation_uuid,state_name,employer_name,employer_dba_name,employer_city,violation_category,case_status,date_opened,date_paid,date_closed,amount_claimed,amount_assessed,amount_paid
fa17e0c6-2b37-4a7f-9bea-f51f7c92c459,0358af31-3b43-4646-842f-235835675b8b,Rhode Island,"FRANK LOMBARDO & SONS, INC.                                 ","FRANK LOMBARDO & SONS, INC.                                 ",,,closed,2010-02-17,,,17231.16,34462.32,17231.16
f72b38ec-2cec-4470-ab61-7c9caf097803,29b4fdf3-ce0f-4cc5-8a5c-80416e2b3c36,Rhode Island,IRON CONSTRUCTION GROUP                                     ,IRON CONSTRUCTION GROUP                                     ,,,closed,2010-02-24,,,16892.25,50676.75,32164.48
b297039d-fa91-423d-b33f-a45cbc0f8641,ebc04546-7351-4601-a96c-82a3d816cfc1,Rhode Island,ALHAMBRA                                                    ,ALHAMBRA                                                    ,,,closed,2010-04-20,,,1471.0,2942.0,1471.0
917010aa-6254-4389-8348-e09453db4c28,b138168f-dbc2-433a-99ef-fa7bbe2d3ddf,Rhode Island,"F. MARTINELLI & SON, INC.                                   ","F. MARTINELLI & SON, INC.                                   ",,,closed,2010-04-21,,,12179.69,24359.38,12179.64
77e3083b-7247-41aa-888c-95449aef6f8c,c23c5c44-47da-42dd-a215-8a7327018062,Rhode Island,STEPHEN'S MASONRY INC                                       ,STEPHEN'S MASONRY INC                                       ,,,closed,2010-04-21,,,5278.5,10557.0,5278.5
749925c8-2281-4868-9930-1a76a4134f64,96c22e6b-4bb4-4d50-afa8-35f287a91037,Rhode Island,CHERENZIA EXCAVATION INC.                                   ,CHERENZIA EXCAVATION INC.                                   ,,,closed,2010-04-21,,,950.15,1900.3,950.15
cb1eeef0-52ba-4aa1-b885-8b80bb7a4ad8,57802df2-5d37-4493-b66a-9893121d54ad,Rhode Island,CALSON CONSTRUCTION                                         ,CALSON CONSTRUCTION                                         ,,,closed,2010-08-06,,,637.35,1274.7,637.35
94ec285c-d4bb-4cd0-a625-120797077e27,a84e9bef-a642-48ea-9850-7ed74965d381,Rhode Island,JM PAINTING & PLASTERING LLC                                ,JM PAINTING & PLASTERING LLC                                ,,,closed,2010-09-01,,,34427.46,68854.92,34427.4
245a65e2-399e-4481-b571-8290e3743031,b5ea0111-ccdb-4dfd-9b55-23f608c51165,Rhode Island,ALLIED ELECTRIC                                             ,ALLIED ELECTRIC                                             ,,,closed,2010-09-01,,,38002.17,152008.68,0.0
77362a89-61df-459b-8733-1ace877d331c,52d8ca37-9d3c-40de-a08f-ed35bc968957,Rhode Island,CHIRICO CONSTRUCTION CO. INC.                               ,CHIRICO CONSTRUCTION CO. INC.                               ,,,closed,2010-10-12,,,210.62,421.24,210.62
fb6ec96b-81cb-4868-b863-e444ef760369,3a73c40e-6e9b-4dca-a021-6d7bee0a5d21,Rhode Island,DOME CONSTRUCTION COMPANY                                   ,DOME CONSTRUCTION COMPANY                                   ,,,closed,2010-10-12,,,1953.35,3906.7,1953.35
7665ab49-fee4-4a0c-932d-a3e5cafefdd9,52a69fce-02fa-408d-b0c1-a81f7e0787fd,Rhode Island,FRIAS CONCRETE FLOORS INC.                                  ,FRIAS CONCRETE FLOORS INC.                                  ,,,closed,2010-10-14,,,21.53,21.53,0.0
99c0763c-adfe-4524-b349-00d327ec551a,f26f800c-d2aa-4ae6-ac26-a1eb647ad368,Rhode Island,SALO CONSTRUCTION                                           ,SALO CONSTRUCTION                                           ,,,closed,2010-10-14,,,929.15,1858.3,929.15
65c2ca70-9f2a-4806-81fb-ec5d6f2bddbe,22db9bee-d7e4-4f19-b147-bde40ff4133c,Rhode Island,S&S CONCRETE FORMS CONSTRUCTION INC.                        ,S&S CONCRETE FORMS CONSTRUCTION INC.                        ,,,closed,2010-10-14,,,100.82,201.64,100.82
