case_uuid,violation_uuid,state_name,employer_name,employer_dba_name,employer_city,violation_category,case_status,date_opened,date_paid,date_closed,amount_claimed,amount_assessed,amount_paid
76d44226-d745-45aa-a431-72359b836a2c,8328510b-1664-459e-9771-78de77af56db,Utah,"Donald Jimmie Mock dba Utah Hood Cleaner,Mock, Jim",,,,closed,2010-01-05,,,710.0,1012.0,
73a03f71-bdb5-443f-b587-ebe1e5a136dd,943f4ad6-5d23-4798-9b4d-a2a98d0253b3,Utah,"Monjazeb, Kamran,Kameran Monjazeb dba A A Better Roofing",,,,closed,2010-01-11,,,2730.0,,
12b6a6ce-9b2f-494b-87db-15828546b25b,52499c82-c3c0-491a-a9ae-866e190f4ff9,Utah,"Johnson, Valerie,Johnson, Warren H,Concrete Connection Inc,Johnson, Corey",,,,closed,2010-01-20,,,1680.0,3360.0,
4496adcf-ff3d-4437-8ec5-cb7357ec82e5,77edd6aa-ab78-482a-8ca4-2ed12146a30a,Utah,"Hawthorn Pharmaceuticals,Draughn, Max",,,,closed,2010-01-20,,,1300.0,1300.0,
76f59bab-58c2-495f-a49d-c525aeaf6bfc,6d507fd3-b44c-447a-a998-3447d6aef7b8,Utah,"Chambers, Neal Garth,Chambers, Kelley,Firehouse Pizzeria LLC,Chambers, Greg Langton",,,,closed,2010-01-20,,,72.5,,
7377b94a-73fd-4d35-b98a-fe46e132e172,10206297-95fc-4edd-beb5-0b092683b3dd,Utah,"Stuart, Douglas T,Digital Draw Network Inc",,,,,,,,2247.96,4472.0,1816.89
6ca28ec0-5677-4bb4-8a60-19448ab6817d,f6ddc2c5-bdba-4b9a-b4dd-64c9497121eb,Utah,"Croker, Kelly,Candy For Contractors,Crockett, Erika,Crockett, Kiley,Kdc Const LC",,,,closed,2009-11-09,,,3400.0,,
6f7bcaa6-3373-49f9-b2c9-3525ac411511,39b708fa-f0c3-4664-bf95-2a6257e83f93,Utah,"Stuart, Douglas T,Digital Draw Network Inc",,,,,,,,689.52,1124.0,322.64
b88f7dbf-1059-4e80-b294-5b4592ee555b,6afb55dd-9b59-4efc-8298-3f49200b153e,Utah,"Pedersen, Robert G,Zagg Inc,O'Brien, Brandon T",,,,,2010-01-26,,,10000.0,,5127.39
915befc3-d9e7-46de-921d-5a7d4bdad24a,dab042d9-b741-425d-8d9f-481f0fc36e7f,Utah,"Heritage Custom Upholstery & Mfg LLC,Dean, Rory,Dean, Kelli R",,,,closed,2010-01-26,,,2726.02,2726.02,
