case_uuid,violation_uuid,state_name,employer_name,employer_dba_name,employer_city,violation_category,case_status,date_opened,date_paid,date_closed,amount_claimed,amount_assessed,amount_paid
722e1257-351e-4080-b93a-72932d4c432d,f7989852-ef3d-4210-b849-98cbf0d0bab5,West Virginia,ODYSSEY REHABILITATION,,,unpaid wages,,2017-01-03,,2017-05-02,,,
2e7fcb13-56bf-4a21-a5b0-90dac1c83687,c38e258c-cdc9-4b4e-af3f-cff9b3494e64,West Virginia,ROBERT BAILEY,,,unpaid wages,,2017-01-03,,2017-01-17,,,
c509ff1b-85aa-4bd2-8e7f-208fdaf2e850,f98ffd83-1f9f-49e3-ab01-7b57f77621c3,West Virginia,PINK DOOR PIZZA,,,minimum wage,,2017-01-04,,2017-01-12,,,
08421afc-0284-4c05-bc4b-279ffb6699d7,bbd6b042-d15e-4f8b-9dbe-58d407a86eff,West Virginia,DOLLAR GENERAL,,,unpaid wages,,2017-01-04,,2017-01-09,,,
0f544779-2080-41f4-9c38-749dde399bd8,3548265c-d82d-41cc-8a9d-7596badb32e1,West Virginia,DIRECTV CUSTOMER SERVICES INC,,,unpaid wages,,2017-01-04,,2017-01-30,,,
d3de38e0-f278-422c-ae60-affd7ca35dbb,de11cc82-c7b3-4539-8e1a-d813972da0e7,West Virginia,CENTER SERVICE AUTO BODY,,,unpaid wages,,2017-01-04,,2017-01-12,,,
660dbfd8-94cb-4d0c-8f2f-5b8cf683b44f,8cf734d7-a969-497a-a7fe-faa67ab1e7ed,West Virginia,CHARLEYS PHILLY STEAKS,,,unpaid wages,,2017-01-04,,2017-01-05,,,
80385eba-5209-45bd-a8b0-9c23a0be9381,c4469186-647b-4670-addf-3a460e4fdcaf,West Virginia,SANDYS HARDWARE & HOME CENTER,,,unpaid wages,,2017-01-04,,2017-02-02,,,
672eb7d7-4896-4917-a930-29319f0d0be7,c8ce1854-8b9f-46b7-8fd7-beb80603e4b3,West Virginia,KEYSTONE CLEARWATER SOLUTIONS,,,unpaid wages,,2017-01-04,,2017-01-10,,,
152b0746-dd88-402c-a759-1902dfccae97,72c792e9-560d-48e8-ad0a-3d3e50b154c3,West Virginia,S A A CONSULTANTS LLC,,,unpaid wages,,2017-01-05,,2017-03-13,,,
407ff8f4-fa76-4b83-b025-da669dee155e,dcf40ff8-7c67-4573-b856-2456cd92b6cc,West Virginia,PRESSLEY RIDGE,,,unpaid wages,,2017-01-05,,2017-01-06,,,
a7651311-a03a-4ba8-b926-8ffdc9eecb8e,a068fdaa-c4e7-4bb3-9a4a-40bf3cbfcfa1,West Virginia,SARAHS HEART CHILD CARE,,,unpaid wages,,2017-01-05,,2017-01-09,,,
