case_uuid,violation_uuid,state_name,employer_name,employer_dba_name,employer_city,violation_category,case_status,date_opened,date_paid,date_closed,amount_claimed,amount_assessed,amount_paid
4a17c281-3aec-4723-b8e5-e70c9dc8bff0,da051960-7922-444f-b0ef-316c5988f5af,Wisconsin,MIL TOWN MARKETPLACE,,,overtime,,2010-01-04,,,,,1227.56
8d35b542-faa2-4c25-ac87-a2bc0c3cda35,acd3222b-4a7d-4726-995b-770deb485260,Wisconsin,MIL TOWN MARKETPLACE,,,unpaid wages,,2010-01-04,,,,,1227.56
0d711c23-e2ea-4403-a527-5c84ce10b95e,c119b19d-2195-438b-8d3e-0dfbff1e5218,Wisconsin,HORIZON HOME CARE & HOSPICE,,,unpaid wages,closed,2010-01-04,,,,,
cd65f5df-0e7e-4579-b1f0-db7919dd1149,797cf74f-42f2-4e62-906d-1d27e732166b,Wisconsin,TASTE OF INDA,,,unpaid wages,,2010-01-04,,,,,680.0
f023e660-3b05-4197-b9ed-7a0b97e6df1e,64d2989b-71f5-4b90-97b3-0c52cf8d8e62,Wisconsin,TRI STATE FINANCIAL SERVICES,,,minimum wage,,2010-01-04,,,,,2889.52
166a9de1-63a1-42ef-b03a-ba4a4c436c81,37d2dfdf-db0c-460a-a0db-b5e172b8199e,Wisconsin,TRI STATE FINANCIAL SERVICES,,,unpaid wages,,2010-01-04,,,,,2889.52
1f5eefdf-a697-4fee-a05f-b70efb24a5db,811f63d8-0836-4dba-936b-a7be5f2adf3d,Wisconsin,AGGREGATE TRANSPORTING SPECIALIST LLC,,,overtime,closed,2010-01-04,,,,,
dd1ecf65-b773-4bb2-935f-ef7d57e5c3a4,ddae971a-c039-41da-869d-50a56c098cd4,Wisconsin,MARKS SERVICE PRO,,,unpaid wages,closed,2010-01-04,,,,,
994d8f92-aa9d-4a5e-96f6-65334f80b862,5c5c212f-f3a0-43a1-920c-accce80378f6,Wisconsin,FLOORING CENTER,,,minimum wage,closed,2010-01-04,,,,,
fa58bb0d-8c6f-43fc-b3ad-dca6466f2b49,e390e71b-8a6f-416e-ade6-0de0b8d24f34,Wisconsin,FLOORING CENTER,,,unpaid wages,closed,2010-01-04,,,,,
8813a5ea-0e2a-450e-8d88-16ba4b5c2a55,e3684694-101b-4502-84f6-f1e4215fe8ff,Wisconsin,KNUTSON CONSTRUCTION,,,unpaid wages,closed,2010-01-04,,,,,
e1ee4f3b-af3f-4814-bf57-df1397fb8ac9,08cf4650-5cbb-48ee-a667-3cd035112c3f,Wisconsin,MID CITY STEEL,,,unpaid wages,closed,2010-01-04,,,,,
b2504651-dd6c-4206-9e45-f6448e9ce269,971ea7c0-83c5-4356-af23-66054d0f3331,Wisconsin,INTEGRATED COMMUNITY RESOURCES,,,unpaid wages,,2010-01-04,,,,,1885.56
38ecde19-204c-4d73-be67-cb83d75c62be,a369a1b1-5ba7-4fbd-aab9-855ca3446a7c,Wisconsin,MADISON ICE MUSKIES,,,unpaid wages,closed,2010-01-04,,,,,
5b9580be-aee5-4090-9b9a-3186a7dd05c1,7c9f1ea7-0a9d-4b83-9bdf-5f7e950db3f8,Wisconsin,ROMINE CONSTRUCTION,,,unpaid wages,closed,2010-01-04,,,,,
7c4cb59d-b2dd-4212-84d7-eae395b96aea,1c4d237c-4af9-4307-952d-84b7eaca1ee5,Wisconsin,BADGER LABORATORIES INC,,,unpaid wages,,2010-01-04,,,,,783.69
bba84e81-286e-4c1f-babf-3b435d633990,af04f739-9edc-41c1-aaab-455e43aa6869,Wisconsin,RIVER FALLS FAMILY RESTAURANT,,,overtime,closed,2010-01-04,,,,,
30d4b011-dfbb-4669-8947-7f7bf37e86e7,86a90c13-cda4-49b1-bb0b-c63b9727d62e,Wisconsin,FANTASTIC SAMS,,,unpaid wages,closed,2010-01-04,,,,,
6c82ce19-f388-417b-8bf0-f089116e5f68,1ba73d21-22c0-44ae-9036-34c22cee1e3d,Wisconsin,MARY S SMITH LLC,,,unpaid wages,closed,2010-01-04,,,,,
a40bb88a-e288-479b-8d46-cf92e70f70cb,9c10327b-e0d2-46c6-9ddf-42d6f9f83570,Wisconsin,GREEN BAY VAC & SEWING CENTER,,,unpaid wages,,2010-01-04,,,,497.53,497.53
9c8288fe-002f-4d57-8541-fb9e9a53aa0d,d64018b3-fe71-4e2b-a61c-eaa279cf915c,Wisconsin,ZEAMERS WELDING,,,unpaid wages,closed,2010-01-04,,,,,
c2c757da-fc13-4d24-a587-70bac003eb56,9b79d40b-1400-44b7-8cd4-082bb7873e34,Wisconsin,ALUMINUM RESOURCE,,,unpaid wages,closed,2010-01-04,,,,,
865c0a35-ba9f-4b88-aabc-c567b42ef758,440cacc7-f6bb-44e4-b96e-8f4ed1de72fb,Wisconsin,ALTERNATIVE ENTERTAINMENT INC,,,unpaid wages,closed,2010-01-04,,,,,
d03a34ed-34de-4459-877a-d750a5128ef7,870c94d4-a357-4456-b860-5d9b0c64c99c,Wisconsin,B&K SNOW REMOVAL LLC,,,unpaid wages,closed,2010-01-05,,,,,
71a0af10-fa15-4ead-a377-ef8d7c01c771,7bd5b48b-fffa-4462-85bb-f6656ee70acd,Wisconsin,RUSS DARROW KIA OF MADISON,,,unpaid wages,closed,2010-01-07,,,,,
e1c5b533-2d56-4a08-afe3-795fcff51093,5f0096b7-386b-4277-82d8-0efbb3e92412,Wisconsin,SILVER CITY EXPRESS,,,unpaid wages,closed,2010-01-07,,,,3547.48,
b68faeda-c2a1-44ca-b42e-5e30cf7e3a54,9ee9888f-b420-4357-8f22-b9a4e77e34f4,Wisconsin,SCENE NEWSPAPER,,,unpaid wages,closed,2010-01-07,,,,,
c00f3a71-c7ad-4a27-a903-270d7df6cf91,bf1bd705-f477-4d56-b66e-a5683139eb13,Wisconsin,WHITE RHINO CO,,,unpaid wages,closed,2010-01-05,,,,,
094211e2-e38f-46ba-acd9-14a5423a0f86,286c7ee5-3470-4645-9c5b-5df2e91a5fcd,Wisconsin,TRANSPRO CONTRACT CARRIERS,,,unpaid wages,closed,2010-01-05,,,,,
f4fc167f-c6eb-4986-9270-98f9934f4f5f,c7a06d93-46bd-4f46-8d10-6904d898c943,Wisconsin,TRIENDA CORP,,,unpaid wages,,2010-01-05,,,,700.0,700.0
4b71f958-c837-44c7-a493-047786f0dd42,79d52444-3f3b-4d51-bbb9-b30a944d574c,Wisconsin,FREEMAN TRANSPORTS,,,unpaid wages,,2010-01-05,,,,,500.0
d46df2a0-1eae-4e1b-a539-d4fe2d282e62,c39ef48d-c8b1-44c5-afa9-63f91aeeeba4,Wisconsin,HALLOWEEN EXPRESS,,,overtime,closed,2010-01-05,,,,,
5c1b9d23-dd3f-4af2-b44c-05b8ec1db2be,a4fe2f8a-22ba-4a2c-8ac2-cdd2d3fcb268,Wisconsin,HALLOWEEN EXPRESS,,,unpaid wages,closed,2010-01-05,,,,,
dcbc04c1-3910-4ed2-8b7f-6c7744ddc5e3,23748fb8-eaf3-4343-a3de-6523637ef8e1,Wisconsin,AIEVN ANDREWS DESIGN BUILT,,,unpaid wages,closed,2010-01-05,,,,1320.0,
81dc7f0d-bb9d-4a7b-84f3-657b0a49c7f9,11b0005b-3ba9-43a9-bbd3-4c129b3edbf6,Wisconsin,PITNEY BOWES,,,unpaid wages,closed,2010-01-06,,,,,
4d24039a-37d7-4f66-bb44-f59f2759acfa,24c6d7eb-3b0f-438a-b2b2-ad86c44b83e9,Wisconsin,CARING HEART,,,unpaid wages,closed,2010-01-06,,,,,
3a7a1d78-9dc9-44a2-8456-496826ee444a,29ffc55b-a3bb-4f6a-8f35-df3f4d7675f7,Wisconsin,KENDOR CORP,,,unpaid wages,,2010-01-06,,,,,486.0
c805b314-e745-430c-88e3-df133e26b8b1,39a0d8c1-1215-41f6-a1a4-585c21202c30,Wisconsin,BOSTON STORE,,,unpaid wages,closed,2010-01-06,,,,,
3901adbc-46bb-4d1e-81d5-d39081764fbc,b605e729-ed7b-4bf2-8787-49ef33508fd2,Wisconsin,BROWNELL QUALITY COLLISION,,,unpaid wages,closed,2010-01-06,,,,,
d772b96e-e94e-46c3-a147-e55dbbafb69c,064059f7-24ab-46d7-8657-3cbf14877e9d,Wisconsin,HUBBARD PARK LODGE,,,unpaid wages,closed,2010-01-07,,,,,
b587047c-ce6c-436a-a0ad-eb32031a74f4,a80f7ae5-d28f-4ad5-98f3-651e5c3d90c8,Wisconsin,BRB AUTOBODY,,,unpaid wages,closed,2010-01-07,,,,,
d6e974b0-c968-42c8-ab23-a19d17ed21ce,66cea763-d81a-48a2-800f-7fb972c6ac67,Wisconsin,ODYSSEY HEALTHCARE,,,unpaid wages,,2010-01-07,,,,,1900.0
570bc9b9-a651-42cc-af89-f0d9ab706d39,9a229cd6-efb0-4583-9793-6ff4decaba15,Wisconsin,TRIPLE C EXPRESS,,,unpaid wages,pending appeal,2010-01-06,,,,582.0,
2246d5f5-e937-40d1-bdd5-7cb55f6309eb,43515164-c470-4241-adf1-f8da3152ca04,Wisconsin,FRS FARMS INC,,,unpaid wages,closed,2010-01-06,,,,,
568678a0-a9b8-4eee-b4a1-79ae81624c31,e9ebd3c3-48b4-4a5a-ada8-eea0d478e6ad,Wisconsin,PRO LUBE BY HARMONY GROVE,,,unpaid wages,closed,2010-01-08,,,,,
21c0cbe6-880d-4ce4-888b-bea265a81bad,85a3d30d-770e-4c6c-b919-a17e6e00db73,Wisconsin,UNITED SECURITY SERVICES,,,unpaid wages,closed,2010-01-08,,,,,
