case_uuid,violation_uuid,state_name,employer_name,employer_dba_name,employer_city,violation_category,case_status,date_opened,date_paid,date_closed,amount_claimed,amount_assessed,amount_paid
298e5314-4a85-40b5-b652-e6b38dc3a9c7,e44f23a4-b98e-4483-95da-b23b9d68820a,Colorado,Triple Canopy Inc.,,,,,,,2022-03-22,,,
9336c0a2-d3dd-4041-b1ed-5195d6842382,1dc668c3-9ae2-47b2-b87e-89489d28a70b,Colorado,Southwest Airlines Co.,,,,,,,2022-03-18,,,
e138b9df-4e82-47b1-ae89-6fab55509a7e,606c2069-b050-4597-9ec3-c443cb775aa9,Colorado,The Spine Savers and Chris Cochran,,,,,,,2022-03-18,,,
fc49baf1-080b-4f1d-ae25-7e7b4f55c646,0e752b52-c7f5-41c4-932c-529222c8055b,Colorado,"Flagship Facility Services, Inc.",,,,,,,2022-03-11,,,
9b97210d-20c9-470d-ad09-b8d38ed91d51,748f15f0-55aa-4db0-96dd-22eeeb4c8a82,Colorado,Tool Pro Inc.,,,,,,,2022-03-10,,,
1194b382-b40b-4579-9c78-10696280c35d,06081c32-5444-4674-90f9-eb64bf07be91,Colorado,Atticus Franchise Group LLC,,,,,,,2022-03-08,,,
e248615e-bdac-48bf-ad44-ed562dd787bb,8c7cef47-19ef-4b59-b7b3-0bfb70e13d7e,Colorado,"Rocky Mountain EMS, Inc. DBA Rocky Mountain Mobile Medical",,,,,,,2022-03-03,,,
edd812fd-2271-48b5-9f1b-385837095f06,69ef33a8-c60e-4000-b0c0-925b93cfc03c,Colorado,Log Home Finishing LLC,,,,,,,2022-03-02,,,
3d588c81-24d9-49f5-93bc-88530c958032,e240c7d3-56a4-457f-b0c9-4947ff9237fe,Colorado,"Mini Mart, Inc. dba Loaf N Jug-EG America",,,,,,,2022-03-02,,,
bb62e8bb-6005-4858-a4b0-e4228840d8f0,074ed33b-d29a-4aeb-9667-dc8a9d2eb48b,Colorado,"KidsCare Therapy of Colorado, LLC dba KidsCare Home Health",,,,,,,2022-02-08,,,
4c2b9335-aa94-4fdc-88fc-a31979e0d2f3,c651d39a-003a-45dc-bff7-8fd7dc2fea27,Colorado,Cellco Partnership dba Verizon Wireless,,,,,,,2022-01-31,,,
1d9fc63d-adc5-438d-9ae1-5577f4c07c1d,adc4cf4d-0dee-4a46-bbd7-42113bd8f90d,Colorado,"Rhino Rock Designs, LLC",,,,,,,2022-01-28,,,
89c2c3e1-bd1e-49ea-baf9-db9d86dc5fac,58bc92b5-5b49-40e5-ab18-be341206097c,Colorado,Chaudary Durrani Education Group LLC dba Primrose School at Candelas and Fiza Durrani,,,,,,,2022-01-26,,,
1ff8d3dc-1b19-4ed2-87fa-71dca6d8191c,fd783377-4788-40b0-8fe0-89cb15fa4eba,Colorado,"Universal Protection Service, LP dba Allied Universal Security Services",,,,,,,2022-01-18,,,
ec98b8af-d75a-4d11-9e72-e82bfab11e56,d98eed13-6231-43e7-a07f-a33c53dcac53,Colorado,UC Colorado Corporation and Earnest Blackmon and John Walsh,,,,,,,2022-01-11,,,
7f267d8f-f17d-41a6-9281-50f81c2ec27a,46f35916-f57f-4a06-9978-0cb866b7d17e,Colorado,"Regional Town Centre, LLC dba RTC Restoration and Renovation",,,,,,,2022-01-07,,,
2a8c1413-275e-4aa2-940a-1e6d05a6b644,811ec5b6-efad-4035-b9af-921c92bb37de,Colorado,"AET, Inc.",,,,,,,2022-01-07,,,
a2556cf7-e3cb-498d-b590-9986aa3dd2b9,a59f34ba-8448-4c6e-a557-e6d50b431824,Colorado,Total Welding Inc.,,,,,,,2021-12-23,,,
145cb2d8-f674-4e14-a23e-0c7846545248,a43f38c3-2138-4a26-9a04-995c641fa038,Colorado,"A2A Ventures, LLC dba Madison Cleaning Services",,,,,,,2021-12-22,,,
