case_uuid,violation_uuid,state_name,citation_sequence,employer_name,employer_dba_name,employer_city,violation_category,date_opened,date_paid,date_closed,amount_claimed,amount_assessed,amount_paid
276605f2-92c9-4c3f-a8df-4637120e6694,ed788dfa-656b-4e61-b7e6-58c8b2dd05e1,Illinois,1,Big star transit,,,,2022-10-03,,,0.0,,
9877422f-8a61-4bb1-b08f-6a6727716a4d,7be19ebd-29fc-4cf2-bd88-bae58c1188b8,Illinois,1,Parker Cromwell (Home and Hearth Caregivers),,,,2022-10-03,,,4.0,,
3d051159-aaa4-41bc-8047-4b465bce1d63,d0bdfce2-4c4b-4ae3-8244-1dbdfe5ba177,Illinois,1,Charlie’s Doghouse Inc.,,,,2022-10-02,,,0.0,,
7ccfc3f7-3fab-4c3b-b121-48f783761f60,9a75270b-bcb0-429e-a044-601c8a6ed6d5,Illinois,1,MUDZI INC,,,,2022-10-02,,,53.5,,
eb477e3c-a942-47ed-ba13-5ecfaa432c6c,85cf45cb-e8ce-4dc7-bc64-c88efb62e71d,Illinois,1,MUDZI INC,,,,2022-10-02,,,35.0,,
b6aa0fd7-8eec-4a4f-95d4-3ef201f187a7,d04649d2-09a0-4502-aded-1fff86c8f503,Illinois,1,Rush oak park hospital,,,,2022-10-02,,,3750.0,,
eab1396a-ac6e-4830-be49-0886cf0789bb,c9f69c41-0839-42b0-9d7c-2532b7bea045,Illinois,1,Cargo Jet Carriers Inc ,,,,2022-09-30,,,4259.0,,
adb1742d-077c-48d1-9f84-30056cee7622,5c12ecd1-b236-4c85-bfac-3bac1c492f11,Illinois,1,EXTRA HELP INC,,,,2022-09-30,,,461.5,,
81def900-dbea-48d8-b1d3-b9f63df03d01,7dcde20e-f743-426e-86b4-7ab2b8d47381,Illinois,1,Celebrity Home Loans,,,,2022-09-29,,,9600.0,,
63448101-fc6f-4f84-a098-7ee9040c61db,8ba529ed-7ce6-4a0b-82e1-c4f4996c8c21,Illinois,1,"BORLA, NORTH & ASSOCIATES",,,,2022-09-29,,,25000.0,,
c3a0e78b-66f3-4e44-9d0c-0d9d6278e6dd,32f675c0-de25-42c8-8ab1-ac0e2c3a4705,Illinois,1,1-888-BUY AUTO,,,,2022-09-28,,,5000.0,,
43756dc4-adfb-46e7-8e6b-806ea23723b2,686d0a3c-c21b-4622-9892-ba8519fbe2c8,Illinois,1,POPEYES CHICKEN,,,,2022-09-28,,,0.0,,
f14526ba-3736-4800-93f3-1ed1b2cca130,766c25ee-625f-4c0a-ad35-a8056aa3fccd,Illinois,1,Elite Ambulance ,,,,2022-09-28,,,100.0,,
a8d1bff6-2654-4732-9d46-155a62001c3f,8a863b67-c8ac-4718-b763-3f280e7cae25,Illinois,1,TYSON MOTOR LLC,,,,2022-09-28,,,0.0,,
50a1d0df-ffc7-4a96-b32b-83d8cc6111d7,5e6f098a-44d9-4b73-a53e-c35189ae615c,Illinois,1,The Lucky Hot dog ,,,,2022-09-28,,,436.0,,
eea018a4-98fe-40f2-8c4d-61df16a8ad23,650169e4-af95-4e0b-b2a0-f3f1332e9c3d,Illinois,1,The Lucky Hot dog ,,,,2022-09-28,,,446.8,,
3c4d719c-78a8-4fe9-9172-7c0ce572bf47,5d0e786e-8453-484f-879a-dfa0798233d4,Illinois,1,The Lucky Hot dog ,,,,2022-09-27,,,479.3,,
12b1acb6-2a6d-4f53-8148-f5888ac9ea16,24508808-2dc7-4386-8bb7-118fa0de686c,Illinois,1,The Lucky Hot dog ,,,,2022-09-27,,,420.88,,
5e71e82c-dbfe-4687-9667-9c266d2c4418,e611ce0a-c6d4-4974-98df-35ff80fa9c25,Illinois,1,The Lucky Hot dog ,,,,2022-09-27,,,487.21,,
9f167a06-87b0-448b-b640-16ff4d25647d,d49cfebf-1179-4ccb-906e-6528b65f29fa,Illinois,1,The Lucky Hot Dog ,,,,2022-09-27,,,509.13,,
6949e099-c43e-4b66-8338-635e99e50ca4,18ef3665-183f-4a04-a1c4-bd6b33fc386d,Illinois,1,The Lucky Hot Dog,,,,2022-09-27,,,496.93,,
6aa70955-c74e-4e93-8a5d-75262ce5e4b3,8c55c57d-0f89-49d8-82de-d1de4d930fcf,Illinois,1,"HANCOCK MORTGAGE PARTNERS, LLC",,,,2022-09-27,,,9120.0,,
75527142-df7d-48a5-9cca-febef5b05679,f25580c5-1bde-43a6-8ce4-4030b17e5057,Illinois,1,City of Hickory Hills,,,,2022-09-27,,,0.0,,
6fd291af-a078-4394-8878-640262e3d1ee,3e3f50f6-9fe6-4c42-8b5f-bfd83dc6bfb7,Illinois,1,Blaze Pizza,,,,2022-09-26,,,2000.0,,
aab05e97-c77a-4396-a76e-dc346c892d88,4cfeadaf-c785-4454-8210-a136627d80a4,Illinois,1,Evette's Chicago,,,,2022-09-26,,,400.0,,
08b350c3-334c-43dd-84f9-7cdc0f4f6b57,376baeb3-5daf-46a9-81fd-09a76d039361,Illinois,1,The lucky hot dog,,,,2022-09-26,,,458.79,,
2e54c2fa-4a24-466b-a63b-d9024d947cae,bc09d4f2-06a9-4f36-b370-72211f4d584e,Illinois,1,The lucky hot dog ,,,,2022-09-26,,,488.89,,
c9344741-b1e9-4ab2-8155-b363654b03a5,6d21833e-2aa3-40af-9007-c4d8ce1ba16c,Illinois,1,The Lucky Hot Dog ,,,,2022-09-26,,,301.97,,
d25b3f71-6674-4e0c-be8c-8465a67953cc,a4487a23-d59c-4a5f-b6a1-97c60984d5a7,Illinois,1,The Lucky Hot dog ,,,,2022-09-26,,,295.04,,
9b415a3a-4ea1-4bdc-94d2-cfea6930e441,8a2b9b53-bdc2-4ca8-84bd-46973c4dec25,Illinois,1,The lucky hot dog,,,,2022-09-26,,,731.83,,
d6571b3c-4fc3-4788-9469-81164f89dced,3dc33cd3-98d8-4938-ae5e-3e0d189fdd31,Illinois,1,The lucky hot dog ,,,,2022-09-26,,,739.72,,
12a8175e-2e7f-435f-9ec2-3c9eeb4580ae,1589c523-1e2e-4872-b0e3-b3986c78415d,Illinois,1,EAST ERIE DENTAL ASSOCIATES PC,,,,2022-09-24,,,4000.0,,
37a8ef87-751c-4816-a224-28a61ff57e58,e47ad57e-0051-4ac1-b2e8-d4260d5fc9ef,Illinois,1,SALOMON'S TRUCKING INC.,,,,2022-09-23,,,2250.0,,
50011baf-8573-4f22-b07e-8fcd45758549,f2cf5c0a-b324-4c1e-9ec4-59e8e4e3b1e3,Illinois,1,"	LESSIE BATES DAVIS NEIGHBORHOOD HOUSE, INC.‎‎‎‎",,,,2022-09-22,,,7929.39,,
0286719f-4d99-4d37-b611-0634f5513c1b,f930bbc2-3c54-43e4-bf72-7ad73ce704df,Illinois,1,I AM ABLE FAMILY DEVELOPMENT CORP,,,,2022-09-22,,,2625.92,,
a0a75fea-1b55-44ae-86d9-5365f81639ad,0518b4a8-578e-418a-94bf-a5d20f84cd9b,Illinois,1,I AM ABLE FAMILY DEVELOPMENT CORP,,,,2022-09-22,,,2625.92,,
f02818a2-3cdd-4fc0-a39f-312887e56ba9,2dbe1e77-dd65-42cc-af11-b1329dd92e28,Illinois,1,CPC Special Logistics East LLC,,,,2022-09-21,,,100.0,,
469affd6-74e5-4df9-bcab-75df79ce2010,0af5fa22-c268-4c86-955a-cd2c964239ca,Illinois,1,JERSEYVILLE SUPER 8,,,,2022-09-21,,,912.0,,
3e02123e-bf2b-4b73-9f72-6b2edab025d8,b1136362-fa7b-441d-8c71-8a6016ed4ae3,Illinois,1,Jim Xamis Ford Lincoln Inc. ,,,,2022-09-20,,,288.0,,
ef0b199f-1ab4-4ff0-8e00-1b5fb1401a36,6e03f238-3e46-4205-ae35-bbd51897eab4,Illinois,1,All Paws Inn Pet Resort and Daycare,,,,2022-09-20,,,887.0,,
450089a5-6a6e-4ef9-9a71-7cae8358f973,d87923b4-b39d-40e9-a25d-1e70af88a4fd,Illinois,1,Per Mar security ,,,,2022-09-20,,,62.0,,
d844f333-24d3-4b3b-bec4-890189ff74bc,84fd80fb-173b-4131-baf3-03a42e942d32,Illinois,1,"NO KINGS, INC./ Your Home Sold Guaranteed Realty - The Nicholas Ryan Team",,,,2022-09-19,,,3029.6,,
30efe1ff-d7f9-41a3-b61c-6fffdcebf00e,d13e0dce-eba5-41ff-9be2-64c44e872c95,Illinois,1,Promedica,,,,2022-09-19,,,0.0,,
ff41841e-1ee1-4293-8d0a-c75b3edacc1e,c89b0e1d-0948-41a7-af39-565fca3dbfc4,Illinois,1,SOUSE'S LOUNGE,,,,2022-09-19,,,820.36,,
1af954b2-3f32-41fd-85af-a99c2a8d8751,f2fe098a-0dc5-4bad-9fb7-5051b6001841,Illinois,1,SOUSE'S LOUNGE,,,,2022-09-19,,,803.47,,
3504f22f-83f1-4638-a388-45d8da40969d,b538a936-b227-4020-868d-0e39ab706033,Illinois,1,"Kellermeyer Bergensons Services, LLC",,,,2022-09-19,,,16.5,,
dd9b19b7-bd90-403e-8f2c-71698775ff08,5500252d-6373-4780-a80d-13b83211aa70,Illinois,1,Runforest inc ,,,,2022-09-19,,,6000.0,,
a6d63cba-6e54-4d4a-a6de-6fb9918eed30,e9d6a9cd-f2d7-4c38-8b43-53e2140eff42,Illinois,1,Popeye's Louisiana Kitchen,,,,2022-09-19,,,676.0,,
bbb7433d-df5e-4e7b-bf3c-4c61b88312dc,ac70d335-2f33-4a9d-96f0-4108c21603fc,Illinois,1,Linda Michoacana,,,,2022-09-19,,,26841.25,,
4938046b-72cd-4514-a504-d6936dcf2d4f,99846536-d75e-42e2-b315-1ad33086e362,Illinois,1,"MR Interior Truck Care, Inc.",,,,2022-09-19,,,0.0,,
655785ac-e509-4a45-8819-ac4869fb9a50,fea78a75-64a2-4bf0-8c1c-6dd828872875,Illinois,1,SECURITAS CRITICAL INFSTRC SVCS INC,,,,2022-09-18,,,1500.0,,
a673daa4-5d20-4158-a065-e61575329c7b,4c70afea-182f-45ac-8d36-108a7f548f5e,Illinois,1,RAKMARK INC,,,,2022-09-16,,,3454.0,,
68185a4e-7799-4c48-8b21-cacb19eabe64,e2def77a-6d67-4426-b9f1-4128d7cb7000,Illinois,1,DAVE BLACK TRUCKING INC,,,,2022-09-15,,,1537.0,,
bc0f805d-3c0d-4409-957b-0eab1baa5f3e,9be34230-34ca-4f2e-83a3-39d0ad7df9e5,Illinois,1,Rise & Grind Construction ,,,,2022-09-14,,,650.0,,
d7a89837-61ee-4768-ae60-0301fa0863aa,32de79e5-ce8d-4541-85c2-d2bda15459dd,Illinois,1,Zubha pop foods llc,,,,2022-09-13,,,0.0,,
075d3239-01fd-4c11-8d19-702120afcf72,7ecb4008-ce4c-4a87-ba34-067095c79147,Illinois,1,Heartland Harvest,,,,2022-09-13,,,40.0,,
d6bdece5-fa8d-4431-9a3e-544a02c8bf97,ce0adbc3-8b06-4ef8-86f5-c1f20264d4f8,Illinois,1,Ego Express Inc,,,,2022-09-13,,,1084.0,,
b538ba1a-3f34-4ec7-b64f-5a51a77aecb5,e1a05460-dabb-4ce0-979e-ac69dcbc1464,Illinois,1,Michael Conti Mica,,,,2022-09-13,,,19591.0,,
6f8db02b-c8c4-458a-a279-14c75b1b1522,d409cf34-e38b-4292-8013-47859182ec5f,Illinois,1,Infojini Consulting,,,,2022-09-12,,,0.0,,
4516e9b2-0051-4ffa-be96-31ba071e2573,bbec3b24-1787-4ab9-a05e-c3a66805e5b9,Illinois,1,Bora logistics inc,,,,2022-09-12,,,17500.0,,
dea1262c-eb3c-4fb0-a375-bac03c727bb4,b006f80d-2a7e-4751-9fec-ca5bb4f183dd,Illinois,1,United Parcel Service (UPS),,,,2022-09-12,,,0.09,,
f7aa4810-88f8-4bf3-b6a4-00779f62aa74,e5577b8c-0fb9-4889-b009-29697c27628d,Illinois,1,RENT-A-CENTER EAST INC,,,,2022-09-11,,,960.0,,
8133f190-5f99-4f10-84b2-98ae73b05c18,f0af4a24-72a8-4d19-9e00-14332c4c3a75,Illinois,1,Jeff french utilities,,,,2022-09-10,,,5000.0,,
db469403-00b5-4fee-96c0-5ae0a674f69e,c6ec07e1-127f-4f34-9631-a3dc708c993c,Illinois,1,Optima Inc,,,,2022-09-08,,,2760.0,,
77631f88-155e-4937-a3cf-04e2777efc8e,749547be-5b06-489b-bb1a-8c6088dbaa2d,Illinois,1,Weezer's Tobacco,,,,2022-09-08,,,20000.0,,
9c1a36ec-478c-4b50-8b2d-717d266d8ec1,585d1a87-f10d-4cce-a3e6-e8e608775888,Illinois,1,"Kellermeyer Bergensons Services, LLC",,,,2022-09-07,,,495.0,,
cf5150cb-26e8-4583-844f-f08ca4ab2678,aec3da1a-39e5-4fca-a715-fb8f557d4744,Illinois,1,,,,,2022-09-07,,,4000.0,,
e0765dec-22a6-4328-b272-b56b50dc73c4,306f12e6-421a-455e-a06e-a959ecc7a150,Illinois,1,UNISERV CORP,,,,2022-09-06,,,0.0,,
2a35beda-b972-4e29-b830-ca3a6d75d707,ec2ced15-d7c9-4bc8-a9fe-5afb0750ea6f,Illinois,1,ALLIANCE Ambulance Service ,,,,2022-09-06,,,3840.0,,
85e54b0d-24de-4ed4-a1d5-50b940596117,af88ce8e-93c6-452d-86bb-734aa6279b02,Illinois,1,United Tires LLC,,,,2022-09-06,,,748.0,,
bed27d62-9f00-41c9-9589-38055828e475,dd80e0fd-056c-4302-a08b-fb2cfd0f1f6d,Illinois,1,M & T Diesel Auto Repair LLC,,,,2022-09-06,,,580.0,,
c444f7da-fbaf-4ba2-ad8e-dd27cdc6d5d4,7f36be1b-85b4-47ba-8bd7-c7d64b86fee0,Illinois,1,Staff Quick,,,,2022-09-06,,,0.0,,
e6bd77c3-cfb8-4b7a-92a0-6e46a5c607ae,dabed477-f72d-450c-b819-9881349cf91b,Illinois,1,Staff Quick,,,,2022-09-06,,,0.0,,
b554db07-c969-41a1-8926-253d5076e888,537aa4d0-d083-46d8-b90d-2e38fab39d11,Illinois,1,Staff Quick,,,,2022-09-06,,,0.0,,
b2d13af9-5a38-45e8-a1eb-64577af8fa3d,0c3fbf94-4d06-4a84-86e4-4f64c7b7756b,Illinois,1,Staff Quick,,,,2022-09-06,,,0.0,,
8502b0d8-f9a4-4715-89b7-a3c1c30d6fbf,77a28bb3-e4b4-48e5-aa88-8933fabd630c,Illinois,1,Rebl Kitchen + Bar,,,,2022-09-04,,,937.23,,
de6ccb4e-3ec2-48db-90c5-24d9fa5614bc,c83ac1eb-c9b8-4ba6-a3a7-31d115bebf3f,Illinois,1,Insomnia 888 corp / Juliet & CO  INC ,,,,2022-09-03,,,1500.0,,
5d66cc20-ae11-4d1a-bb72-e080861689d4,8c0fd70e-055f-44d7-b798-fad979257e21,Illinois,1,Trans Lines,,,,2022-09-03,,,276.0,,
316dce01-f6c3-42f9-a167-ec01b12f5992,c599c905-7659-4af5-b932-8a48bbd8ed62,Illinois,1,"SARGENT LOGISTICS, INC",,,,2022-09-02,,,0.0,,
6855fe4d-dfbf-45c7-a7f4-bfb2341644a0,bf1130c1-2a57-49e8-983a-51c4df874a4f,Illinois,1,YURITZY 2 INC,,,,2022-09-02,,,1975.0,,
e48c3638-405f-4513-86fd-e9fbd33065fe,cae2c766-6e9c-4cfc-89c2-23d639dcae0e,Illinois,1,DREAMBRITE PRESENTS LLC,,,,2022-09-02,,,150.0,,
479457e7-0b70-4861-82a0-2792d74a992a,dc492053-c2ef-4d3a-b5a9-77cb13845279,Illinois,1,YURITZY 2 INC,,,,2022-09-02,,,2375.0,,
d9d3b2d2-1c5a-487a-ae53-eb5fde87bf4a,141b275e-f5f7-4e4d-8e61-f79e43173822,Illinois,1,Town of cicero ,,,,2022-09-02,,,5000.0,,
12428fcb-0437-4f55-b4c4-3efc59256ba4,d4aad77c-4aa8-42e4-8ed4-44e9a3cd014e,Illinois,1,Eteams Inc.,,,,2022-09-01,,,2200.0,,
fe90ef21-0bff-47a6-aee4-9439a9c65821,cd892d81-76d1-410e-9c25-cbeacc96f427,Illinois,1,Finley Flooring llc,,,,2022-09-01,,,143.0,,
03bdc20b-9e84-4b1e-8295-82abb9f6ba6c,f6b40036-2df4-4520-a61a-cc6ac59792e6,Illinois,1,Leah Faye's Boutique,,,,2022-09-01,,,984.0,,
77e3fa64-f7ab-48ab-b220-1891d5cd67ca,0c5d06d0-86e2-4d81-8e66-dc75f169ac45,Illinois,1,White City Logistics,,,,2022-08-30,,,1290.0,,
19dd3a8a-0909-480a-af3e-99c2cea4b687,dc3acd92-56c0-474a-b2c7-b866a700b22c,Illinois,1,Belleville Healthcare Center ,,,,2022-08-30,,,2925.0,,
3bd5d566-4990-4377-bce3-a8714e02c6b8,6b768784-e4ba-4104-9008-55f238a590f8,Illinois,1,Breaking point auto,,,,2022-08-30,,,6000.0,,
3ac18f61-998e-41cd-91c9-d607bbfdce78,a2846c64-def5-4802-bd1a-5935bfd4eea1,Illinois,1,"Star Auto Authority, INC",,,,2022-08-30,,,0.0,,
e78677f7-e06d-46cd-808e-da43f504121f,be68d77e-a935-4204-bf63-b9587ec8c069,Illinois,1,V Tone Fitness,,,,2022-08-30,,,0.0,,
f27cd382-a5a3-4956-88d3-0748976d4286,730f89a7-ed49-4918-ac41-a2eaa13d0a04,Illinois,1,1800-got-junk,,,,2022-08-29,,,0.0,,
e4f5fa13-6c24-40c1-8578-9a0bb6c77847,6c4c65da-8397-49c0-9cd2-269629ef3169,Illinois,1,Maria V. Contracting Inc,,,,2022-08-29,,,13742.74,,
e5267847-e3ee-4120-b1e6-6349f439b0e1,943a3705-9925-462b-8852-c4185f280698,Illinois,1,"FLEETECH, INC",,,,2022-08-29,,,2800.0,,
8a995f03-2ca7-4514-b269-250ef35cbf15,600721bb-e920-4890-a7ec-6abc256629b2,Illinois,1,,,,,2022-08-29,,,382.7,,
3f8edbb0-6408-44c5-90e6-70cd8c5670bd,6ee38b46-fb16-4993-98a4-41947c9ff7fd,Illinois,1,DO IT BEST CORP.,,,,2022-08-28,,,10000.0,,
60a31cbf-42e5-4148-b63d-db8bc340d5bb,65f4c851-2ef5-48e5-9ca9-1e5f07074b92,Illinois,1,American Management Services,,,,2022-08-28,,,0.0,,
44deac41-8a9b-4023-9fe1-361cca5dff21,ca132ddd-9cd6-48f0-a479-ed6b183e7ed9,Illinois,1,st dane homes,,,,2022-08-28,,,0.0,,
91e20195-23a3-468e-a119-c45bb9ef74ff,0069b53c-86a6-4da1-8d11-7f91c9abd3f7,Illinois,1,Fleetech,,,,2022-08-28,,,2800.0,,
0242032a-4739-4e71-9061-d09595576cab,d58b2b09-9a65-4352-8564-e78156a6d20d,Illinois,1,City of Chicago,,,,2022-08-27,,,84.0,,
28d1a555-3947-488e-8f11-9e93204f7fe1,b22d8fd1-f991-4f23-a7ce-4de3eb819650,Illinois,1,Promised Land Development dba PLD Homes,,,,2022-08-26,,,729.0,,
9ad856e9-07ee-47c0-bc1b-03fe720a22ef,f7904084-c1be-4d0f-b184-4f9507313b0d,Illinois,1,JAG Construction Inc,,,,2022-08-26,,,38000.0,,
b9b540ef-282f-49b2-9165-1a5531fac1d5,a6e33770-578b-4865-a4e0-c5103860d663,Illinois,1,Washburn Fire Protection District,,,,2022-08-26,,,781.02,,
d6305137-d725-4350-9607-a43d41aa1ed2,e7341026-af3f-4098-992d-6e99f4222a8c,Illinois,1,BELHAVEN NURSING & REHAB CENTER,,,,2022-08-26,,,0.0,,
4dd957b8-959d-41e9-922c-a33f4963c30e,994f18b9-d9d8-49ea-a552-b210ac805fd5,Illinois,1,Guarded Interest Security Corp,,,,2022-08-26,,,520.0,,
1d4b849c-d5a9-4dfe-80b9-b5b6dbdd7d5d,cc9cc526-ee9d-4c5e-8594-f66a29a35102,Illinois,1,Larry’s Diner,,,,2022-08-25,,,0.0,,
f831ab1f-5345-482f-af48-7f13a4a35e94,1fb5b3a3-1e0e-4bc6-998c-29260c803a5d,Illinois,1,The Station,,,,2022-08-25,,,1270.07,,
