case_uuid,violation_uuid,state_name,citation_sequence,employer_name,employer_dba_name,employer_city,violation_category,date_opened,date_paid,date_closed,amount_claimed,amount_assessed,amount_paid
a4696ab4-3e2e-41e8-aab3-1cf9bc826eb4,ceeb956a-fe48-4857-aa4c-463879b5c030,Indiana,1,Allen Dixon,,,,2010-01-04 00:00:00,,,2158.1,2158.1,
a3fe8f3d-48d3-4dbb-a0ec-fa69b17a686c,bc5d3b3d-ad98-42a3-8765-7922fd0a6cfc,Indiana,1,In & Out Cleaning,,,,2010-01-05 00:00:00,,,50.0,,
cd931c8d-44d1-4622-be09-be0aaddf8b0b,a18c36b4-371c-439e-9927-280f8740a945,Indiana,1,Hendricks County Senior Services,,,,2010-01-05 00:00:00,2010-05-18,,620.0,620.0,558.0
fc024591-465c-405a-b2d8-7268a866607d,0c1a71d3-17db-475f-94d4-01dc77418337,Indiana,1,Lakeview MRI,,,,2010-01-05 00:00:00,,,6000.0,,
8c30b55c-cf21-49b7-9dab-6a68cc45a194,e1e3add7-e863-4a8d-9a17-7e401b075c1f,Indiana,1,"Specialty Staff, Inc.",,,,2010-01-05 00:00:00,2010-04-27,,3324.0,3324.0,3324.0
5d544160-e86a-4c6a-8f3f-405eefaab366,536f434c-ddbf-45d9-8191-72d7c01bc21a,Indiana,1,Golden Living Center,,,,2010-01-05 00:00:00,,,1650.0,,
0204b93f-6c89-4805-ab2c-bce0310f5a87,0a9c65d5-a2a7-4162-b51d-3dabd7665648,Indiana,1,Vision Valet,,,,2010-01-06 00:00:00,,,624.58,,
5cb1ef5d-0e71-4155-b6b8-83d736256657,a014a32e-54ed-49dc-97f3-bb3d14f1e964,Indiana,1,Albatross Pizza Emporium,,,,2010-01-06 00:00:00,,,756.0,,
37cc9fa0-7667-4ccc-8f19-d3ed3d313ff9,cd9d6d6e-a94f-4148-9a67-7b9774585d26,Indiana,1,Marsh Supermarket,,,,2010-01-06 00:00:00,,,1864.0,,
8395ffc4-8f8c-4322-a598-129ceb9e1366,90c0f899-5a49-4fae-a094-9f6da772daac,Indiana,1,Arbor Lakes Apts.,,,,2010-01-06 00:00:00,,,800.0,,
fdc144fb-c082-481c-9681-ab28d1ca5197,b0d8f092-31eb-4de7-badd-32b175d0af76,Indiana,1,Holiday Inn Express,,,,2010-01-07 00:00:00,,,0.0,,
22ed8f63-1bc4-4b32-8dfd-5cf0c2b490e3,8cffcf2d-2223-4972-beb4-f1eeef215165,Indiana,1,Centurion Clinical Research,,,,2010-01-07 00:00:00,2010-02-24,,5625.0,,5625.0
4b532823-1866-4c37-8291-d70997f6dde1,dcfa26d0-3730-40d6-9672-e985cfdedc4f,Indiana,1,MS Inspection & Logistics ,,,,2010-01-07 00:00:00,,,270.0,,
90ecc150-2dec-4335-8047-7e4e304afd27,1d3c907e-f875-48e8-9983-a0615987a7be,Indiana,1,Lippert Compenets,,,,2010-01-07 00:00:00,,,941.03,,
055d0d90-534b-4102-b31d-8b94fc9640d7,9d569e18-cb5e-4e07-bea5-2c44f07113b6,Indiana,1,Hoffco/Comet IND INC-Tenax Corp,,,,2010-01-07 00:00:00,,,3792.03,,
e7764ac5-c410-4fd3-8cdd-a842f3229e71,139feeb5-1060-4034-bcd9-c73837011fb8,Indiana,1,Dusties & Kenny Ribs,,,,2010-01-07 00:00:00,2009-12-17,,743.0,743.0,890.8
95407ff2-703e-435f-9e6b-1a81102fe407,0d870019-d2f1-4418-98ba-c5ee5fae75a0,Indiana,1,East Porter County School Coporation,,,,2010-01-07 00:00:00,2010-01-15,,1693.12,1693.12,153.92
02269ade-1d48-4d94-8ce1-e7c472d29357,182384a4-30cc-46bf-8056-8a0be9199feb,Indiana,1,AAF LLC,,,,2010-01-08 00:00:00,,,3801.52,,
49a27c29-84c4-434f-917f-0cb041cea760,3607ac9b-d2de-43ae-a9d0-6fc38d3a47da,Indiana,1,A1-H20 Technologies,,,,2010-01-08 00:00:00,,,1168.0,,
faa86ca5-2342-497b-a878-f0112d5484ca,70cb5829-e3dc-4e22-a476-a6762f96a247,Indiana,1,Beijing City Co,,,,2010-01-08 00:00:00,,,15570.83,,
2256f1ed-2064-48ab-a1a0-74083700d463,37d21075-3550-4666-a46a-39b1156a3df1,Indiana,1,Sunrise Senior Living,,,,2010-01-11 00:00:00,2010-05-21,,989.0,989.0,694.43
6acc6f73-ccc9-4261-ad18-39468f2ed48e,96ed5aa4-d45e-4a65-a316-8c8d90b4f05a,Indiana,1,Scheffer International  Inc.,,,,2010-01-11 00:00:00,,,1016.4,,
