case_uuid,violation_uuid,state_name,employer_name,employer_dba_name,employer_city,violation_category,case_status,date_opened,date_paid,date_closed,amount_claimed,amount_assessed,amount_paid
23761156-eac3-4b94-aab4-c719d15a11d4,46dcf369-9271-4f72-a757-04841f14bd01,Iowa,Ahrens Concrete Paving LLC.,,,,,2000-09-29,,,611.0,0.0,0.0
df51d12e-5f9e-48c8-99a4-f394f0f24e51,6f35af2f-fdb1-46af-85f9-af0179a87843,Iowa,Aqua-Tec Energy,,,,,2002-06-24,,,1745.0,0.0,0.0
f4f1254f-7af4-4b76-b39b-87d701fc11d5,e47e7fb6-09d9-402a-a1fb-eec5e449822a,Iowa,"Fort Dodge Ford, Lincoln, Mercury, Toyota ",,,,,2008-10-01,,,1305.0,0.0,0.0
ce8c57c5-0d3b-45a0-9839-2fea99569a8c,47ae3444-4db8-4867-a409-4f9df7cefe6d,Iowa,"PurFoods, LLC",,,,,2009-11-24,,,2657.0,0.0,0.0
ae91adef-c222-49eb-8cca-5837e3b2d625,0fae1e6d-9ba9-4055-b23c-d1087e74e726,Iowa,Florilli Transportation ,,,,,2009-12-22,,,300.0,0.0,0.0
b34d48cc-182a-4c1d-ae72-8abe228632a0,cad1c3ec-a03c-44a6-9f89-920849025926,Iowa,Gavigan Janitorial Corp,,,,,2009-12-23,,,1600.0,0.0,800.0
dcf5080f-95c0-47ea-bd55-034044ae59bf,2d75a14d-a3e5-48b9-890b-13527eac8557,Iowa,Mark Matthews,,,,,2009-12-28,,,176.0,0.0,0.0
5f03394d-d78c-4e3d-8d69-7ecbfe7a091e,598a6fbb-4dce-4c53-bb25-b3ea2af25805,Iowa,"Bella Transport, LLC.",,,,,2009-12-28,,,2200.0,0.0,0.0
e4e964ee-bd64-4222-a3b7-3ed289fe4d4f,c7392483-c2f5-4853-af0b-3457e5e00f9e,Iowa,Kmart,,,,,2009-12-28,,,725.0,0.0,0.0
56157ff6-3b55-47e7-adbc-866ec717c09d,43c40478-7913-43c0-b189-f4f4c7d9842f,Iowa,"H. E. Trettin, Inc.",,,,,2009-12-29,,,380.0,0.0,380.0
3564b7d0-78b4-46ff-a933-b8c53952c34b,a7b1efa6-7307-4faa-a3f0-6dcf5682c516,Iowa,"Wenger Truck Line, Inc.",,,,,2009-12-29,,,700.0,0.0,0.0
5108b385-b881-4d90-a9ee-16953b57401a,014604d0-5059-4700-92b6-fe665fe21856,Iowa,Dairy Queen / Bean Merchant,,,,,2009-12-30,,,423.0,0.0,0.0
1c27382a-717f-4d2d-a458-3ff2ce0a436d,7817a9e6-22aa-435d-aa6b-f0632136ba33,Iowa,Whirlpool Corporation,,,,,2009-12-30,,,1512.0,0.0,0.0
858d9f02-1d30-410e-b21a-a51d13748e2e,c177cf5c-28fa-4052-9caa-9b741c2d02b9,Iowa,Keizer Refrigeration,,,,,2010-01-04,,,5000.0,0.0,0.0
83b74c57-bec7-4ca9-b42d-2c410412bb59,55337687-9881-4480-84ae-925ea16a533e,Iowa,"Ocean Hospitality, Inc. ",,,,,2010-01-04,,,1471.0,0.0,0.0
90b96b75-19ec-483d-9636-b047024dc335,e19c9ce6-08ab-4f69-a097-03b916912633,Iowa,Superior Janitorial Service,,,,,2010-01-04,,,270.0,0.0,122.0
1b63c057-8385-4017-8cfa-e0c801e966ca,e1aca35a-9050-4270-81d9-e11087c5365e,Iowa,Everett Financial d/b/a Supreme Lending,,,,,2010-01-04,,,4500.0,0.0,0.0
dc03fd50-3a7f-4902-812a-2af529557605,a8eb87c2-4bb9-408c-8270-3852a1f3d1bf,Iowa,Valley Transfer Systems,,,,,2010-01-05,,,1108.0,0.0,0.0
b7384c01-ead3-4000-99cb-75b360d7e024,b86fc116-aa21-4547-b5de-4d57e3d6adaa,Iowa,"Bear Lake Trucking, LLC",,,,,2010-01-05,,,600.0,0.0,0.0
0c98192c-13b0-4198-893d-1ce0267810ea,92447bdd-7fc8-46d9-973a-f34fa54c0a73,Iowa,Homemakers Furniture,,,,,2010-01-06,,,4000.0,0.0,0.0
906fbd89-8cec-4fec-a8af-12e0d5ae78b4,86985964-7dd7-442b-bb6f-30b66b904177,Iowa,Gee Willie Entertainment,,,,,2010-01-06,,,452.0,0.0,0.0
