case_uuid,violation_uuid,state_name,employer_name,employer_dba_name,employer_city,violation_category,case_status,date_opened,date_paid,date_closed,amount_claimed,amount_assessed,amount_paid
55a53bfe-d4a9-4096-98f4-38703a462e62,5582cf43-5b62-47eb-9d24-c58a4d250e51,Maine,WALLINGFORD FARM,,,,,2016-06-14,,,,3451.85,985.0
4df8a5bb-4d12-49cd-abb7-7799eb505189,0fbf7bf2-20c1-42df-a005-f7c5911c438d,Maine,Eden Cleaners LLC,,,,,2016-06-15,,,,132.16,132.16
ecb9dbd5-cbc9-431d-851b-5d042df928b9,56324a63-97c5-4fae-adba-beea4d95e4aa,Maine,RAVEN'S NEST,,,,,2016-06-17,,,,504.0,504.0
309bf49c-6f91-4317-a0a3-0669fbbac647,e90e2add-e780-42a7-ac1b-d31d2efdedd8,Maine,NORTHEAST SAFETY INC,,,,,2016-06-21,,,,979.0,979.0
48a2d81f-4d13-482f-847a-b6b59fd12e42,b2e589e0-44ff-4898-b07c-648b93843a83,Maine,US Security Associates Inc,,,,,2016-06-23,,,,85.0,85.0
d97f2ab0-991a-4bed-8552-52c31a3bb309,67d4dd38-5f68-46db-aa24-2a59737dfc9f,Maine,Charleys Philly Steaks,,,,,2016-06-24,,,,1080.0,
4a9768fd-15eb-4673-b60d-6c75c966da68,6f736d0c-e6dd-4630-a1d2-a158a380c557,Maine,Cooperative Development Institute,,,,,2016-06-28,,,,1875.0,1875.0
4e8b62b6-5aa7-4a13-9a02-621749aed398,3fcbc058-0032-4dc0-8ed7-b2c74fa85ed4,Maine,VILLAGE SWEEP LLC,,,,,2016-06-29,,,,199.5,
28869ea8-960b-42f9-9753-86bfa1b8352d,1f0307c2-2462-4f95-bf38-62c4a5eac2c9,Maine,Home Inc,,,,,2016-07-06,,,,230.76,230.76
7a07b96e-76a2-4f7c-992d-966ae9cff83c,88c8855f-8d1f-43c5-8bb0-979a2ad407c4,Maine,COMPREHENSIVE CLEANING SOLUTIONS,,,,,2016-07-06,,,,490.0,490.0
44d1503e-6dad-44d8-b780-e19c45fd8d3e,36c5ac9d-34e7-4c6f-bab9-248a0c1834bb,Maine,PORTLAND COLLISION,,,,,2016-07-07,,,,518.0,518.0
c458cc1a-1147-4cb7-a674-cef7da5d0c4b,fc242c0a-f358-43b5-a1ec-2f8951d9eb7a,Maine,AFFORDABLE DELIVERY INC,,,,,2016-07-08,,,,450.0,450.0
271dcc23-4e67-4ff3-8046-a7556e2565b3,e16e4d28-08a8-4e20-8ee9-3b14a8d6310d,Maine,DUNKIN DONUTS,,,,,2016-07-08,,,,320.56,320.56
