case_uuid,violation_uuid,state_name,employer_name,employer_dba_name,employer_city,violation_category,case_status,date_opened,date_paid,date_closed,amount_claimed,amount_assessed,amount_paid
ca5fafb7-d81e-451e-9c23-415284d3747b,b7997713-8427-48ca-8394-c705749cff1e,Maryland,M & M General Contractors,,,,,2009-08-21,,,5400.0,,0.0
ca899705-148a-4444-b92e-d51af715b7e3,41689724-2513-40fa-a1b6-ae60b769a514,Maryland,Americor Envionmental Services Corp,,,,,2009-09-15,,,3060.0,,0.0
21934696-036f-4138-96dc-fb80613a3587,16c4279c-e6fa-4f57-be6a-871c3318352e,Maryland,Quizno's,,,,,2009-10-13,,,78.75,,78.75
9034c6a9-0c84-49ad-a879-b8c5ce546de5,95c5429a-1b02-405e-abb5-a67af0f941c9,Maryland,"Christopher's Salon & Spa, Inc.",,,,,2009-11-02,,,197.8,,197.8
b0b1045a-cd29-4d66-b094-722d4ccccf56,f6e2a750-7036-40ad-84f7-36473c545ab2,Maryland,T.D Bistro Inc,,,,,2009-11-13,,,656.25,,0.0
1df021bf-d6fd-4c3c-9dd4-5c8b6f392686,85356be9-676e-43e0-a890-f43857dba045,Maryland,Patriot Medical Transport,,,,,2009-12-02,,,16.5,,0.0
b3863fb0-3878-4715-b9bc-b6a217ddffb3,0c883035-1736-42f9-b6f3-0ce138e910bb,Maryland,Ed's Refrigeration And Air,,,,,2009-12-08,,,72990.6,,0.0
3b53e447-2ec1-4cb3-be3f-2e97f70a33c0,16528d5d-5ff5-4281-bed8-af011277c525,Maryland,Castle Toyota,,,,,2009-12-10,,,111.0,,111.0
ccd46312-48a8-4afc-a68e-954900944282,f43a3684-da4d-46b4-ac2b-edd3c0d39531,Maryland,Robert A. Tull Inc.,,,,,2009-12-22,,,0.0,,592.8
8032d7d2-0aba-4f89-a044-7718cc1139ce,252e898a-f79f-40b9-9711-e0d4e85d6492,Maryland,Temporary Help Inc.,,,,,2009-12-22,,,348.0,,348.0
dbf9930d-9e39-485f-a84c-41c282f3fc2c,cb44365c-648c-458a-998a-8cd20a4e8793,Maryland,HB Plumbing Heating and Construction,,,,,2009-12-22,,,967.5,,0.0
