case_uuid,violation_uuid,state_name,citation_sequence,employer_name,employer_dba_name,employer_city,violation_category,case_status,date_opened,date_paid,date_closed,amount_claimed,amount_assessed,amount_paid
cad07b89-74a1-4fdd-b774-44da7d76dbb6,31c2195b-6085-4eee-884c-18948ac43440,Massachusetts,1,Teles Construction/Twin Pines,,Everett,overtime,,2015-01-16,,,,2262.0,2262.0
288e9d86-e65c-40d7-80ba-a8fee285a576,de1dc4df-17a8-4f80-9577-e028723c5c3d,Massachusetts,1,Mill City Construction,,Lincoln,minimum_wage,,2015-01-22,,,,10362.7,10362.7
600ec061-7368-4e2a-bebe-fb2d6001c3c8,4e94ebdf-7f9f-478d-98c3-d3f3b53c6a14,Massachusetts,1,Joshue Medrano Contreras,,Somerville,unpaid_wages,,2015-01-22,,,,1900.0,1900.0
9f9fa093-a794-4983-b14f-4e984e911818,74b4b355-7d23-46b4-8906-0b6cd0d79a21,Massachusetts,1,Margen,,Roxbury,unpaid_wages,,2015-01-22,,,,9575.28,9575.28
76a4e522-0872-42ea-bebc-0a3a2a49d014,59eb3302-5e92-4467-97f4-d01e84d22509,Massachusetts,1,Fore Kicks II,,Taunton,unpaid_wages,,2015-01-22,,,,200.0,200.0
634c46e4-d01f-4145-8148-a998b8542dfd,99356f74-d18c-48ae-81b3-1290207525f2,Massachusetts,1,Byrne Racing & Towing,,Greenfield,unpaid_wages,,2015-01-22,,,,1440.0,1440.0
3a914087-5018-4c08-8671-d79f60b0dbab,d0ea7971-64dc-44a1-bae5-3abdd43defae,Massachusetts,1,The Lounsbury Group d/b/a Leonards of New England,,Seekonk,unpaid_wages,,2015-01-22,,,,1234.0,1234.0
38c5ed41-d08a-4cc5-b55a-e569ca145fc8,bcf9869e-7cc6-4653-87b1-35f00ea8ff3a,Massachusetts,1,New England Preschool Associates,,"Milford, MA",unpaid_wages,,2015-01-22,,,,7044.33,7044.33
11e8e4fc-3a35-4f3b-aac9-66df53c86cb1,46dbbc81-0c6c-4549-bb3a-30b3f292edb7,Massachusetts,1,Golab Corp d/b/a Fernandez Family Liquor,,"Brockton, MA",unpaid_wages,,2015-01-22,,,,200.0,200.0
fb20bac1-2193-4b40-b71d-cec14aad49f4,30fed5eb-9d61-4245-bcd9-b06992b3eaef,Massachusetts,1,Panther Industrial Painting,,Mishawaka,overtime,,2015-01-22,,,,2795.84,2795.84
49bd27a0-31dc-48ae-a9d4-a5e274d9b878,ea9844d8-f84b-4c5a-81f1-fc62a516d751,Massachusetts,1,Finance Ops,,Topsfield,unpaid_wages,,2015-01-23,,,,3540.0,3540.0
c101d650-17aa-45a0-b1de-f4050c5ba4ce,3c576e79-cd35-426a-95c4-407eb93ddca3,Massachusetts,1,Samy Gomes Company Corp,,"Worcester, MA",unpaid_wages,,2015-01-23,,,,900.0,900.0
