case_uuid,violation_uuid,state_name,employer_name,employer_dba_name,employer_city,violation_category,case_status,date_opened,date_paid,date_closed,amount_claimed,amount_assessed,amount_paid
37daecf5-fb8f-4bd3-b9c1-dc3aa99ec1e5,5e134044-8ab3-41c6-82ba-e5b7bde78dc1,Minnesota,JUVENTUS MED SPA,,,,,2010-01-11,,,,,
f640ee73-bfb8-4f9d-96c6-dafb0e5c4b59,6575da9d-9fb4-4962-b2dc-21362050e525,Minnesota,BUFFET KING,,,,,2010-01-12,,,,,
e4b7d838-7b68-4a58-9dbf-53f8fcd847a8,a308c350-60eb-47b8-a626-76ef0b9fee14,Minnesota,DISTINCTIVE CLEANING,,,,,2010-01-04,,,,932.68,932.68
89174973-2640-4ee9-9329-fef19b78c26d,6ff10b04-a209-4c6a-8078-469fa4a71fc3,Minnesota,LIEN INSULATION INC,,,,,2010-01-14,,,,35564.24,35564.24
285f1f0d-7815-47d7-949c-4dbcbaa54d05,ac9c96a7-e4d8-476f-ba89-ee5aa7dfbf6b,Minnesota,TAS SALON,,,,,2010-01-14,,,,556.05,556.05
ecfa7175-3adc-4cb3-998c-f79c87132479,7217eac5-53ad-4f38-b759-966790e74315,Minnesota,BROWN COLLEGE,,,,,2010-01-19,,,,,
4cdead5f-b102-42aa-8915-7332e2bcd2c6,3c4f8829-eb4d-4c27-981d-bc003b6d37cd,Minnesota,IMGRUND MOTORS,,,,,2010-01-25,,,,,
e01418ce-5c80-4be4-bcb5-7eadc424f071,68050eeb-a269-45fc-8f88-fe93ef8d6f65,Minnesota,ALPHA & OMEGA USA INC,,,,,2010-01-05,,,,,
5c3fe98d-8e77-440c-8983-18a1e6cd55be,45bccbdd-83e2-4634-8f9e-6866402579fd,Minnesota,LA GUE BUENA RESTAURANT,,,,,2010-01-01,,,,2000.0,2000.0
04446fc0-4d35-4cab-b5a4-20315b257d5a,dfe5785a-e9f2-4539-9f11-1461c03b21d4,Minnesota,FAT BOYS BAR & GRILL,,,,,2010-02-02,,,,3255.9,3255.9
2d3f5659-1921-4931-9a8a-ab802d6ecd34,5b9da717-2e85-490d-a7cf-937767daaede,Minnesota,E STREET MAKERS,,,,,2010-02-03,,,,,
84a50add-6c18-4591-88a0-23ab69143fbf,19875d3e-0e2d-41a0-9e24-4ba07ee20ef7,Minnesota,DON JULIO MEXICAN RESTAURA,,,,,2010-02-10,,,,20000.0,20000.0
55363a32-b6c9-4c5d-ab63-260734feb5e7,8df834a7-3d15-4af9-991f-540608a1c16e,Minnesota,RMR SERVICES,,,,,2010-02-24,,,,,
eb977c03-7da5-4ee7-a39a-b795102b263d,d549cd4a-8457-4aa3-96bf-3b01f3fd2009,Minnesota,SUPERIOR SATELLITE,,,,,2010-03-24,,,,36400.0,0.0
6c6499eb-4e73-4c52-a5a4-e8c72a7f2f91,92bd25c0-a018-44ec-a3e7-56c55a660746,Minnesota,GREAT MOODS.COM,,,,,2010-03-12,,,,,
9f20c169-0e16-4871-8446-0e762b3a3483,a6f8baa2-b7c0-487b-b938-64f720d83202,Minnesota,A MARKETING RESOURCES,,,,,2010-03-28,,,,,
054ad931-28e9-4a8e-ba63-5a7357b6d09c,304bc6eb-cb9e-4e2b-b5c8-909254a5b445,Minnesota,PEDIGREE GROOMING,,,,,2010-03-28,,,,,
d686c717-d603-412b-8721-2e2c66bc934e,d02dc4b4-a7f3-4824-9950-e04f8e93683c,Minnesota,ABCO FRIDLEY AUTO PARTS,,,,,2010-03-02,,,,15597.27,15597.27
d1d70133-1b2f-41ca-ae8e-2eafe7fc4a4e,19f3543d-08f6-4184-9bf9-43749aa362fb,Minnesota,COOK WATER FARMS,,,,,2010-03-29,,,,,
43bebdf1-ab73-405d-95e9-97d7df467556,8688e7dd-1557-4b90-80d6-97317de69299,Minnesota,MEMORY LANE CLASSICS,,,,,2010-04-07,,,,,
d22f5483-16da-497e-862b-938354a2031f,1a85d9de-861f-409a-bff5-d8ea7a15ee89,Minnesota,SOUTHWEST CRISIS CENTER,,,,,2010-04-08,,,,3801.04,3801.04
722f5ca1-7c82-4822-8c85-b8774ff3a685,12b4091c-0274-455c-9391-1dea5fb01cd2,Minnesota,HANABI JAPANESE CUISINE,,,,,2010-04-19,,,,17723.16,21948.19
f16d5d3b-6831-40b2-b9dc-fef56bb0f0b6,6cda1f1a-f96e-4364-ae1c-ae11398b874b,Minnesota,VISITING ANGELS,,,,,2010-05-06,,,,1015.88,1015.88
ad682a4a-8f15-4d2c-9c09-fe7122805329,4451d00a-8470-4dd8-8039-f2630ce038c8,Minnesota,CAFE INDIA,,,,,2010-05-14,,,,2997.32,2997.32
30980c60-ad2d-4d34-80a7-cb0538848f35,202cde47-8de8-4a42-a666-b54c021eb776,Minnesota,ALPIRIENCE HOME HEALTH CARE,,,,,2010-05-14,,,,,
e8fd5533-27ea-4f15-833b-4f28856b9743,41ffffc7-497b-4b4d-8403-59978edb4012,Minnesota,JSA JANITORIAL SERVICES,,,,,2010-05-14,,,,,
8229aa7b-aff6-4ed0-b4f9-d4ad2fa08127,cc62e336-bec8-43b5-9427-3af553aee52e,Minnesota,HOPKINS AWARD VIDEO,,,,,2010-05-14,,,,700.66,700.66
ba3fb5e0-be82-4757-ba6f-85d89b1e6756,93cf7aea-2a50-4ff4-a123-c3b42371b78c,Minnesota,BILLY'S RESTAURANT,,,,,2010-05-20,,,,,
d6a69f8c-c2c5-4596-af10-47e347740f96,5657a89c-7541-4f41-8c3e-c4fa519024f6,Minnesota,TRAPPERS BAR & GRILL,,,,,2010-05-20,,,,10483.68,10483.68
2c9953b9-b2ea-4d2a-a619-d437359b1020,f24e04c8-d0e6-45b0-8149-059cd2856f02,Minnesota,MINNESOTA TWINS,,,,,2010-05-17,,,,,
9d968b8a-caad-43fe-a915-8cfc2af214ad,8dfca124-d603-4029-be43-2bdb9f2e3652,Minnesota,PLAZA GARIBALDI,,,,,2010-05-17,,,,747.43,747.73
fe2c6280-655c-40e5-9a58-daa7b0cae2af,c821a92f-b901-4c9b-b7c4-38e1632e57a7,Minnesota,AMARA DBA THE MISSISSIPPI BE,,,,,2010-05-24,,,,,
92c24bff-3cf2-401b-8e7e-23bd8bde5a64,0bc4e7ef-e9d6-4214-b0bd-51cde6ebc278,Minnesota,WORKING WOMEN CLOTHING C,,,,,2010-05-24,,,,4314.86,4314.86
df12e30b-88d9-4731-ab98-66aa80d19549,dee7717c-a137-43c5-9311-b1d98c1b4d50,Minnesota,BORDER BAR PIZZA,,,,,2010-06-01,,,,36317.88,36317.88
8ec4c4fc-fee0-48cf-8627-902d23e49f4d,362a71fc-12ed-4e28-9860-630ad2b55d50,Minnesota,IVY SPA CLUB,,,,,2010-06-03,,,,,
63f1a262-db39-40dd-96cf-9c21f0543767,f114a2c0-36d7-43f2-9324-ccc1c604a577,Minnesota,GRADE A SECURITY,,,,,2010-06-03,,,,,
cbba47ef-dafd-4b40-9f2e-9ba94f150c15,697b6eba-4485-4103-883c-7ce0bbf87b7c,Minnesota,UNIVERSAL HOME HEALTH CARE,,,,,2010-06-10,,,,,
a75dafc1-5145-45de-ba2a-5b6e3d71c40d,97c2d058-6a81-4792-af7d-6806fdbc9daa,Minnesota,RJ'S TAVERN,,,,,2010-06-24,,,,450.0,450.0
6a5fd265-3ad4-4583-8745-6c7907b356c7,d1d9cf5f-9d83-404e-863e-6463802667e8,Minnesota,BRIAN SMITH CONSTRUCTION,,,,,2010-06-24,,,,,
f7fd8a8f-4b94-4c07-bbcd-ac0e97919610,888b88e6-3ce8-43c8-b399-f685c95a3a96,Minnesota,ADVANCE SECURITY,,,,,2010-06-24,,,,326.24,326.24
7f8384ee-7585-41a6-b048-7cb480401e22,bc3aa7a3-1810-4680-a4ef-906381d6fda2,Minnesota,TWIGS SALON & SPA,,,,,2010-07-14,,,,,
4ba65655-d49f-470d-b6fa-faf5d1f51407,f43efa5b-ac71-474e-89cc-7bc67c297d7b,Minnesota,HOOK'S FISH 7 CHICKEN,,,,,2010-07-09,,,,,
de5883f7-f9c4-4e59-b00e-099f2be1bee5,8405bdf5-b335-4464-9ba5-b3ac602c2ae3,Minnesota,GREEN MILL,,,,,2010-07-15,,,,,
569b0e2d-936a-456a-b300-0278dfbd72b1,5464d8e5-2100-46f9-9362-0641b873de09,Minnesota,UNION STREET GRILL,,,,,2010-07-15,,,,,
f1b47f2d-86d0-4f68-9ec0-5dd1d22e6bda,b19ff0b2-8a2a-42ff-879e-7b54b5473d3f,Minnesota,THE CHAP,,,,,2010-07-16,,,,5972.27,5972.27
804fa494-90c4-4617-a0dd-bcf87a4b1d5c,98e8fa18-fbed-4a64-85c2-80b444728b00,Minnesota,VAUGHN'S,,,,,2010-07-21,,,,8357.87,8357.87
12f14edb-3c2e-47ff-8edd-67ef9368de64,a78a883c-6b06-4473-a8dd-9a82a4e6c457,Minnesota,DNC-TARGET FIELD BARS,,,,,2010-07-21,,,,,
7cd514e7-02bb-4f65-b97b-ba992a057464,34f7538a-2acc-4bad-8434-d76e61b5f52f,Minnesota,FIVE STAR ALTERNATIVE,,,,,2010-07-23,,,,6614.27,2300.22
9a60ee2e-a649-40a0-9f40-e6206c4a3790,94ddde3d-b38b-4d8b-b382-6338386e2ba5,Minnesota,SATCOM MARKETING LLC,,,,,2010-07-27,,,,,
95c47fe7-b367-47d2-9bc8-e8446b6d4693,fc94c5a2-4703-431f-988c-b4191056b0ff,Minnesota,READY LINKS,,,,,2010-07-29,,,,,
d3b13f7c-c515-4c55-b81f-899ff30d8319,fe8f4c7d-a4f7-4da7-a6d8-97ec0829054e,Minnesota,SENIOR SUPPORT SERVICES,,,,,2010-07-29,,,,,
27e92de8-c4ed-4f03-860b-b07500e60407,4727c473-7dd9-4846-aeab-3126ba795e65,Minnesota,JET BLACK,,,,,2010-08-10,,,,,
e42618d6-b722-4f14-9f78-13cef733b6e5,36559e44-f0f4-4538-90ca-fb252a9b72f3,Minnesota,SATCOM MARKETING,,,,,2010-08-10,,,,,
fba42ce4-642c-4a6d-b3be-245619c832e3,dc522e5c-ca6f-4948-81c4-a5a09743aa9f,Minnesota,FIVE STAR ALTERNATIVE NURSE,,,,,2010-08-10,,,,,
c847b18b-9c82-4865-ad4e-35bb3c0e532d,6c407eb7-09b4-4596-ac72-8f93cd023c0d,Minnesota,WORKFORCE DEVELOPMENT SE,,,,,2010-08-11,,,,1240.0,1240.0
