case_uuid,violation_uuid,state_name,employer_name,employer_dba_name,employer_city,violation_category,case_status,date_opened,date_paid,date_closed,amount_claimed,amount_assessed,amount_paid
e650cc52-0d4e-460f-b1f4-aa9f3e41c048,de80fe9d-5d28-4521-b789-391df0ebac9f,Montana,KRISTIN WOLFRAM,,,,closed,2017-09-26,,,,,
3b068197-28cf-460e-84cb-5da466a77061,7568da83-0ff9-4d7c-96bf-116f51b5eca0,Montana,ILEM TRANSPORTATION LLC,,,,closed,2017-10-23,,,,,
22559b4d-9f49-44b9-858e-7c365d446b0a,332f2f99-f6b2-4125-9e15-031be8241296,Montana,Z TRUCKING,,,,closed,2017-11-16,,,,,
880bcbde-6570-4d17-9dab-3499104e59d3,eafd341e-5861-4bc1-814b-25c3674f81f3,Montana,PRECISION CLEANING LLC,,,,closed,2017-10-11,,,,,
18102700-7f9e-4749-8f38-012081e11b6d,1430e10e-9763-4500-b615-5fe55a775074,Montana,RIGHT WAY TRUCKING LLC,,,,closed,2017-11-28,,,,,
ea05acce-045c-4c23-86eb-c3848927e89f,7175cbc0-fcda-4e35-a41f-dcd65c56535b,Montana,DONAHUE ROOFING AND SIDING LLC,,,,closed,2017-12-13,,,,,
271e0ed1-8359-4a4d-a4df-8f6f7da9e4a1,147fb1c8-b45a-4229-a2f1-a236452912a3,Montana,FOX VALLEY ROOFING AND SIDING,,,,closed,2017-12-13,,,,,
bf33a6b2-f12f-4ba9-bc21-fd59a6bf2d82,fb59063c-c65d-47ac-9da8-d24761970067,Montana,ALL THINGS COVERED INC,,,,closed,2018-01-05,,,,,
97f49b90-cb17-4ee2-b190-8edf300a99f3,e923ba53-636d-409f-a0c2-a94ab87b2323,Montana,BIG BEAR CONTRACTING LLC,,,,closed,2018-01-30,,,,,
6555c0e4-4812-4d9d-83ee-d32002d92746,beb1a3f5-a85f-4fd5-865a-1bfcf8c2a7ef,Montana,ELEVATION MARKETS LLC,,,,closed,2018-02-23,,,,,
94a19655-2765-44f1-b71b-86d7dd90ebde,5dcf19cd-095e-4acf-bd81-a8d83c92e530,Montana,ERICKSON TRUCKING & CONSTRUCTION LTD,,,,closed,2018-03-02,,,,,
bc423544-aa08-483d-a058-b313f96c6ff2,38bc670a-67dc-4992-9aae-ffed14f21635,Montana,LEE ENTERPRISES INCORPORATED,,,,closed,2018-03-19,,,,,
e1c5abb8-7446-4750-94b9-15627b5c08e9,e5628c80-de9b-47dd-b231-970d13c9243b,Montana,NORTHWEST CONTRACTORS LLC,,,,closed,2018-04-10,,,,,
ea94a523-a705-415c-a4e3-ff4b3649ee15,138fcf7d-baad-4e2d-b4c1-ef0cb9bdb664,Montana,NORTHWEST CONTRACTORS LLC,,,,closed,2018-04-10,,,,,
73af9b44-ba51-40dc-89a1-8805e45b6ee6,992bb6c0-af21-46ca-837b-f73d44786ac6,Montana,GTS LLC,,,,closed,2018-04-11,,,,,
f0631759-f3a4-4346-b9fc-794a6d882aea,14191293-7cfc-4d49-a546-287a899ff359,Montana,J BARNETT,,,,closed,2018-05-17,,,,,
55c17731-0b52-4560-aeec-f3d24c95b7ca,7def44a5-6a6e-4786-ac60-e97f14ac0109,Montana,BROKEN ARROW LODGE,,,,closed,2018-06-05,,,,,
fc0eed2c-9785-4648-81ca-14244ce02b3c,ebbf3fd9-a542-4ddd-b78e-5eab05a8c63a,Montana,SHONKIN RANCH LLC,,,,closed,2018-06-13,,,,,
60afcaeb-dd46-496f-8f79-0087f8c24c59,a8f0bdbc-b392-438d-89f2-7e17565f26c1,Montana,HURRICANE BUTTE LLC DBA BUTTE KOA,,,,closed,2018-08-15,,,,,
f48c069b-12d8-4a72-831f-2bf39d0bc248,75b0cd09-580c-4a7c-abd8-45fed07dc253,Montana,ROCKY MOUNTAIN BUILDERS SUPPLY INC DBA CK BUILDERS,,,,closed,2018-08-21,,,,,
b55274db-20d1-408e-800e-f64331262146,a530b31f-4d40-4e5c-934b-69fc8489906f,Montana,MONTANA NEWS ASSOCIATION,,,,closed,2018-08-23,,,,,
bb4ccf1b-45f0-402f-ad5f-8224d0106e9a,994fb9c7-6f92-47eb-81a7-edebfd4b7332,Montana,HILLSIDE COMMUNICATIONS LLC,,,,closed,2018-09-18,,,,,
283a9bf7-69a4-4e26-87a1-7a271ec22b1b,01be249a-4459-4fec-9119-28a760b7faee,Montana,HILLSIDE COMMUNICATIONS LLC,,,,closed,2018-09-18,,,,,
457ff14d-5ec1-4db2-abe0-b770e5bdbf6b,e731643d-258c-4c04-9797-fcc3cb67bc9d,Montana,BRIDGER EMERGENCY TRAINING CENTER LLC,,,,closed,2018-10-10,,,,,
2e92298c-ff91-4c92-9ac2-5a15378e9fa3,8e4f76df-e393-47d0-a3df-0a6d54ff4349,Montana,DONE RIGHT TRUCKING INC DBA REDGO,,,,closed,2018-10-22,,,,,
d1370c5c-d080-4210-82ff-e21da5ecaba6,d5c1c47d-4f70-47d0-89cc-d4165460ff4f,Montana,GALLATIN VALLEY ACOUSTICS,,,,closed,2018-11-14,,,,,
a3609519-86a2-4c5f-bce7-960db456b310,5a5694c3-39d7-4d57-801a-4933d82d9b86,Montana,CATHERINE CRUE,,,,closed,2018-11-30,,,,,
a7bf134f-de77-4b63-a4a0-9440d4cfe3c8,2ad94ae0-8657-4f16-8f83-7951f0b8d080,Montana,PIRL INC,,,,closed,2018-12-18,,,,,
395fc54a-07bc-4678-8bfd-50ca8b1cf842,08f94ccc-0dd2-43d0-8c80-31529b9b43f6,Montana,COVELLITE MANAGEMENT LLC DBA COVELLITE STUDIO,,,,closed,2018-12-17,,,,,
0eb277bc-388a-4ebc-aeda-f341403f009f,a11b3ed4-1a6c-43dd-873f-2367809c8582,Montana,PIRL INC,,,,closed,2019-03-29,,,,,
769ae30c-667b-407f-ba4e-0276336ff202,1acba143-6069-42cf-a68b-1a777e0177d5,Montana,ALPINE CUSTOMS INC,,,,,2019-04-01,,,300.0,300.0,300.0
aa5aec11-c2cf-4908-bc0f-216948b52c91,c7c01e4d-995a-49f6-9e50-20b5bce85a2c,Montana,MDS ENTERPRISES,,,,,2019-04-03,,,2760.0,601.5,601.5
ed728e6c-6ba0-4b9d-9c79-ba5bf816e2de,814ad1c3-c6d2-47f9-87a0-f5e23e7e1637,Montana,THE RED DOOR LOUNGE OF BILLINGS INC,,,,closed,2019-03-31,,,200.0,,
f64d11ad-e62d-4e90-ab6c-23f7b4fa3f86,6da73511-2037-4fdd-af7c-6d07151252fb,Montana,BILLINGS RV INC,,,,,2019-04-04,,,2215.9,300.0,345.0
34373e37-b04e-40cb-811e-469c17730e84,bb2dd2ba-3ca7-40df-a879-1008b5b68b64,Montana,FASTENAL COMPANY,,,,closed,2019-04-08,,,2150.0,,
36d2445e-02d7-4031-b11e-49a1bdad81f7,97e4d211-6fe8-422e-b055-1e6d2fc96d5e,Montana,GLACIER PAVING & PLOWING INC,,,,closed,2019-04-05,,,745.0,196.9,
22b190ea-fc72-4b8f-b01d-384c29fa2702,a10042b8-dea8-4084-8415-48f732ce5449,Montana,EPCON SIGN CO,,,,,2019-04-08,,,441.39,441.39,441.39
656005bf-c23f-4f16-a0fd-d879624461a7,bf2506ea-263b-477a-9148-a2dc4a0d0152,Montana,MIKE COLEMAN CONSTRUCTION INC,,,,closed,2019-04-05,,,2947.15,,
