case_uuid,violation_uuid,state_name,employer_name,employer_dba_name,employer_city,violation_category,case_status,date_opened,date_paid,date_closed,amount_claimed,amount_assessed,amount_paid
7118ec45-2437-4eea-9806-2ca0884982ac,d2948d23-a171-4316-8f67-1c09e39fd459,Nebraska,"Let's Talk Dirt, Inc.",,,,closed,,,2014-09-10,,1000.0,0.0
c65aed35-c493-45ab-956c-0169f03589fd,3cc5a82d-e77d-4eac-97cc-f7fa4f3e6baf,Nebraska,perfect finish flooring llc,,,,closed,,,2014-10-30,,500.0,0.0
4202c3d2-8774-4e47-97e8-0576715d3737,743298e0-d577-4054-8583-12167e36f311,Nebraska,Little Giggles,,,,closed,,,2014-11-14,,500.0,0.0
6a131c0d-0e9b-463f-8bd8-cd0ff3dce796,b5a08bf1-fc6f-43fc-8b78-c99457de7fe4,Nebraska,Huntington Child Care Center,,,,closed,,,2014-11-18,,400.0,400.0
95a1c430-ed7b-4cf0-81cc-210b2d797a39,d12011eb-3538-4bcf-824b-d261017d0ee2,Nebraska,Mutual 1st Federal Credit Union,,,,closed,,,2014-11-20,,500.0,500.0
c4d3d97d-f814-42b7-a76f-d0585e474372,18844417-51e0-4dff-a57d-8cddb18c7322,Nebraska,"Giggles, Inc.",,,,closed,,,2014-11-21,,500.0,500.0
3c6aa8d6-5282-4f8f-af4d-3eb202f6bfa9,d8afb27a-ed58-4c55-9949-4142d2dfc3c2,Nebraska,I Read Books,,,,closed,,,2014-12-01,,225.0,0.0
4a2aa516-23eb-40b7-9889-6b9fc3082f48,8678abe7-f069-4448-80cd-eca7f3ce6841,Nebraska,Sterling Enterprises DBA Team Green,,,,closed,,,2014-12-09,,350.0,350.0
9c3553d3-972f-4904-8800-2d764954a2e3,95d25fef-5180-49e5-86c5-84f4cad9b9e6,Nebraska,"Let's Talk Dirt, Inc.",,,,closed,,,2014-12-11,,1100.0,0.0
2ba4c550-ac44-4bb5-b929-004e84d4a4ec,67147907-e60e-49fa-94e4-8c3d7dbda873,Nebraska,Paul Neideffer Painting,,,,closed,,,2014-12-15,,320.0,0.0
d7094ec0-ccd9-4417-961a-20fde34f72b9,2d4e44be-a9e6-4e27-89c5-d8270421be60,Nebraska,Bridging the Gap Inc.,,,,closed,,,2015-01-02,,500.0,0.0
2ce2aeb2-21ac-411b-8b60-0fa0d3d10f04,8697af6b-5065-47ac-a1c9-5438ae05157e,Nebraska,Bridging the Gap Inc.,,,,closed,,,2015-01-02,,500.0,0.0
7f28537e-5e10-4a39-a5b5-f3c0c151d174,d7f1c52c-9385-4081-abe1-923e8d1f92e5,Nebraska,Bridging the Gap Inc.,,,,closed,,,2015-01-02,,500.0,0.0
273139c0-ebfe-4833-8509-fb973ff05440,d3ef5faa-bb58-4218-9c95-3ce1517c6c25,Nebraska,Bridging the Gap Inc.,,,,closed,,,2015-01-02,,500.0,0.0
9356483d-3a60-42d6-9e91-660c99693a90,755910c5-fa8e-4976-82ec-02f9b3366809,Nebraska,Bridging the Gap Inc.,,,,closed,,,2015-01-02,,500.0,0.0
9e4f6bdc-9236-4927-abc9-01ab8a05b39c,58f5979f-a639-4405-badb-c68d4004d425,Nebraska,Bridging the Gap Inc.,,,,closed,,,2015-01-02,,500.0,0.0
4838d51c-df6d-4438-afce-20438f191e1a,2464d56b-d463-423c-be3c-048415aa81fb,Nebraska,FuturesOne,,,,closed,,,2015-01-06,,500.0,500.0
7f2c1a9e-0b15-4020-a2cc-18a912f9c3f0,0c1ecc9e-d36f-45bc-a249-9e5758ed9a5c,Nebraska,4 Horsemen Security,,,,closed,,,2015-01-14,,500.0,0.0
fffa56c4-27b5-4376-8fb2-a6bcebcf1719,5eed0e3f-cb36-467c-9182-ca209d5681e4,Nebraska,"McCauley Concrete, LLC",,,,closed,,,2015-02-03,,500.0,0.0
1e667931-bc89-4500-9541-04eddfe1db48,49e6d404-7879-4259-aa4c-57f187718884,Nebraska,Maywood VFW Post 6930 Club,,,,closed,,,2015-02-03,,500.0,500.0
a8db5b5b-630c-4645-afb9-d6439c0da674,e3e3d7b5-f6c5-4887-9737-1630ed878ac2,Nebraska,Lynn's Hair Lounge and Spa,,,,closed,,,2015-02-03,,100.0,100.0
3fc79923-b6ea-46ab-b69d-c0b234a74c6a,ba0dff50-cb8c-49ac-93a4-0fa1daa25985,Nebraska,Farm Bureau,,,,closed,,,2015-02-11,,100.0,100.0
90552316-1e68-45ab-aa8e-e510e991dbc1,979054ff-8590-444f-abec-4ed29e1741f2,Nebraska,"Building Clean, LLC",,,,closed,,,2015-02-18,,2500.0,0.0
