case_uuid,violation_uuid,state_name,employer_name,employer_dba_name,employer_city,violation_category,case_status,date_opened,date_paid,date_closed,amount_claimed,amount_assessed,amount_paid
fa7126e0-f418-4dac-85c0-64b1f7937a19,34d1e13c-c716-46ce-aa30-16331b66257c,Ohio,W G LOCKHART CONSTRUCTION COMPANY,,,prevailing wage,closed,1996-01-26,,,,1305.6,
6a005dc1-2ef1-44bb-a8c2-0e02607275f5,7c29efed-a0f6-4a37-bce3-7952fe2cd2d3,Ohio,W G LOCKHART CONSTRUCTION COMPANY,,,prevailing wage,closed,1996-01-26,,,,870.4,
7b2bfcd6-614f-4774-b81c-437d6530bbf3,ce1b66c6-f5fd-4543-a73a-f9ef6314e414,Ohio,W G LOCKHART CONSTRUCTION COMPANY,,,prevailing wage,closed,1996-01-26,,,,1740.8,
3a7e5d83-ea2c-4a34-a4cf-40c6ddacc8bd,70fce4b8-81fd-4085-84e6-4d5f612095ca,Ohio,SATURN ELECTRIC COMPANY INC,,,prevailing wage,closed,1996-05-30,,,,2718.93,
a0cf247d-cf9a-41ab-b7c6-7404f355f448,9757c719-7167-4f7a-973e-53eb7c89ac55,Ohio,"MECHANICAL SYSTEMS OF DAYTON, INCORPORATED",,,prevailing wage,closed,1998-05-07,,,,,
802039af-0ba1-4688-9eb4-a4db48af8c81,446e9193-fd77-4dc3-a86f-77a46020304c,Ohio,ENERTECH ELECTRICAL INC,,,prevailing wage,closed,1996-10-02,,,,12471.66,
2be48966-6cb3-4760-9a22-62adb99ba4e6,3f7fcc11-3da2-412a-8d9b-c4b10ae25ae9,Ohio,URGENT CASH INC,,,minimum wage,closed,,,,,35497.13,
5e357a09-054b-4464-8b2c-cd03043548ae,ceae8c0c-8209-4190-bda5-b5630dd25254,Ohio,LANDRUM ELECTRICAL TECH,,,prevailing wage,closed,1998-05-11,,,,,
0cb40560-5a91-4935-b1fb-86c1bbe73267,e0812caf-3e62-4ac7-83e5-04a4b50fab3b,Ohio,MIKE SHIPE & ASSOCIATES INC.,,,prevailing wage,closed,1998-05-13,,,,,
9dfaad48-07a0-4316-92a1-d7733c4caa0c,69a37d16-fdc8-4083-ad9d-7ac7526bf456,Ohio,MIKE SHIPE & ASSOCIATES INC.,,,prevailing wage,closed,1998-05-13,,,,,
568f12d4-95c7-43c9-8444-07e59fbb38a1,029bbc4e-e6cd-4845-b89b-8497912c0ffe,Ohio,BUCKEYE ASBESTOS,,,prevailing wage,closed,1998-05-13,,,0.0,499.95,0.0
2f303382-8380-442c-be34-a7648afa9f6e,6dc6ad6c-d113-413d-883b-3f410e5c0812,Ohio,RAYMOND LEE BUILDINGS,,,prevailing wage,closed,1997-08-20,,,,,
cbb48bc6-6c19-4921-aa10-b87788f802e8,225d4f7b-fdb1-491b-87c8-f132469990d7,Ohio,SOUTH MAIN SAND & GRAVEL,,,prevailing wage,closed,1995-12-11,,,0.0,24679.0,0.0
b0564ce9-087b-416b-b230-4cf45e8bbfb0,2140f41a-72d4-4f03-bfc6-f30ba4a9f4b1,Ohio,ALTMAN CONSTRUCTION,,,prevailing wage,closed,1995-08-23,,,,6382.69,
589e266e-4713-4954-be73-b65b5400d747,68fb9d3d-2cd7-4bbe-92aa-5fb1cefd33bb,Ohio,ARMO INC,,,prevailing wage,closed,1993-03-25,,,,3009.43,
4e012b89-ffcc-4b0e-95bc-cef6ec448e3f,509a7b36-45c8-4a0e-a307-8c43da83fe51,Ohio,ARMO INC,,,prevailing wage,closed,1993-03-25,,,,204.26,
b09da738-98fe-41d1-9ebd-a0a1cc236262,2e5bdd6a-eff1-40e1-a1fa-903a3e31493a,Ohio,MARIAH INC,,,prevailing wage,closed,1997-12-22,,,,5917.96,
d2f4f176-f7b8-4972-ab2f-36a81380712d,1263882b-e519-4289-9de2-56dbc3a44f79,Ohio,AEY ELECTRIC COMPANY,,,prevailing wage,closed,1994-09-12,,,,2661.01,
