case_uuid,violation_uuid,state_name,employer_name,employer_dba_name,employer_city,violation_category,case_status,date_opened,date_paid,date_closed,amount_claimed,amount_assessed,amount_paid
999dbc65-9096-43f3-9dbe-0a43475491da,dbb32bf3-e1ad-4a91-8bb8-040822d4e8a6,Rhode Island,"FRANK LOMBARDO & SONS, INC.                                 ","FRANK LOMBARDO & SONS, INC.                                 ",,,closed,2010-02-17,,,17231.16,34462.32,17231.16
8e18c928-62ba-4301-b2cc-0337f97e36ce,b6fa5652-dcbf-4ae3-bf9a-7cfb83ec4d6d,Rhode Island,IRON CONSTRUCTION GROUP                                     ,IRON CONSTRUCTION GROUP                                     ,,,closed,2010-02-24,,,16892.25,50676.75,32164.48
671b2760-e2b1-4f49-8ad9-90af608eb259,95810311-db45-4120-9e24-215cd48332e4,Rhode Island,ALHAMBRA                                                    ,ALHAMBRA                                                    ,,,closed,2010-04-20,,,1471.0,2942.0,1471.0
a15a09ea-8858-4946-a03f-b2c349fe2c8a,b735b575-e905-4467-a59c-e90a73615d68,Rhode Island,"F. MARTINELLI & SON, INC.                                   ","F. MARTINELLI & SON, INC.                                   ",,,closed,2010-04-21,,,12179.69,24359.38,12179.64
d4625ca8-a957-49cc-8e22-43c234f97b31,821f6d9b-77a7-4663-93e7-95d088d26124,Rhode Island,STEPHEN'S MASONRY INC                                       ,STEPHEN'S MASONRY INC                                       ,,,closed,2010-04-21,,,5278.5,10557.0,5278.5
fde1860d-668b-4dad-9dbb-79bf2cb78609,7af57e9b-982f-4108-9d76-8ccfa89f67d4,Rhode Island,CHERENZIA EXCAVATION INC.                                   ,CHERENZIA EXCAVATION INC.                                   ,,,closed,2010-04-21,,,950.15,1900.3,950.15
def034ef-ae15-438c-b912-0f527a14e62d,71f031b9-5706-4d20-8879-d0880b9e6c3c,Rhode Island,CALSON CONSTRUCTION                                         ,CALSON CONSTRUCTION                                         ,,,closed,2010-08-06,,,637.35,1274.7,637.35
79664990-2333-4369-baa3-6caea63d9b98,4ccbc181-cf9c-4369-adb0-977bf763f18e,Rhode Island,JM PAINTING & PLASTERING LLC                                ,JM PAINTING & PLASTERING LLC                                ,,,closed,2010-09-01,,,34427.46,68854.92,34427.4
adeb0a4f-8d0a-40f8-8c1c-30c800b982af,f3ab5065-ef60-4009-8d93-30bb6acf5bda,Rhode Island,ALLIED ELECTRIC                                             ,ALLIED ELECTRIC                                             ,,,closed,2010-09-01,,,38002.17,152008.68,0.0
1c188a4b-53af-4beb-a08d-fa83edd0fcf2,7ae1f83e-c892-40d1-8889-97cd5aec781b,Rhode Island,CHIRICO CONSTRUCTION CO. INC.                               ,CHIRICO CONSTRUCTION CO. INC.                               ,,,closed,2010-10-12,,,210.62,421.24,210.62
3489f1b7-4c8c-448c-aa4d-af73bb9e0a13,70ba333f-acfc-4a53-b4b5-8fa8a3beb147,Rhode Island,DOME CONSTRUCTION COMPANY                                   ,DOME CONSTRUCTION COMPANY                                   ,,,closed,2010-10-12,,,1953.35,3906.7,1953.35
0334a6ae-e440-4b3a-a1fb-22f15e64c60a,d4fb3a28-1fde-4b80-a924-fcdc05ae30c6,Rhode Island,FRIAS CONCRETE FLOORS INC.                                  ,FRIAS CONCRETE FLOORS INC.                                  ,,,closed,2010-10-14,,,21.53,21.53,0.0
dc00c8fc-f381-42d2-874d-6cbab5bbc5c2,d2c9ad44-e8cb-4de0-b255-72c86221f303,Rhode Island,SALO CONSTRUCTION                                           ,SALO CONSTRUCTION                                           ,,,closed,2010-10-14,,,929.15,1858.3,929.15
b4110e1d-b4a0-47fa-84cf-e6581dd5a8b0,fec44393-4241-4081-82b6-b2037706c639,Rhode Island,S&S CONCRETE FORMS CONSTRUCTION INC.                        ,S&S CONCRETE FORMS CONSTRUCTION INC.                        ,,,closed,2010-10-14,,,100.82,201.64,100.82
39ccf113-ed95-479a-ad81-a78989667ea2,8a924258-3373-4e4a-822d-e60a86b5dfa3,Rhode Island,TOWER CONSTRUCTION                                          ,TOWER CONSTRUCTION                                          ,,,closed,2010-10-14,,,764.73,1529.46,764.73
5b021cc8-43b7-42a2-9088-f11d77fd6e3e,b78861f5-1693-4631-9d9c-ea6bb5bf2428,Rhode Island,FRESILLI & SONS MASONRY INC                                 ,FRESILLI & SONS MASONRY INC                                 ,,,closed,2010-11-09,,,5242.85,10485.7,5242.85
a42025c6-cf44-421b-ba83-6ee998d6f8a1,9c683e8f-93c4-4ad3-a1fc-bfb23b2056c9,Rhode Island,ARAMARK                                                     ,ARAMARK                                                     ,,,closed,2010-11-22,,,91500.0,171500.0,40000.0
cf63daea-c2cf-4743-b31c-cfbc9ebf0657,e40a402c-6134-44b3-af58-bb5edb80b270,Rhode Island,INTERNATIONAL PAVING CORPORATION                            ,INTERNATIONAL PAVING CORPORATION                            ,,,closed,2010-12-20,,,11614.04,11614.04,0.0
8a2bac07-1255-478c-835f-59e6b9c0b387,c159d673-f8fa-4209-9a78-e96f798c2a35,Rhode Island,INTERNATIONAL PAVING CORPORATION                            ,INTERNATIONAL PAVING CORPORATION                            ,,,closed,2010-12-20,,,566.46,566.46,0.0
fb3c046d-1e39-4ae0-ad81-4fe8074495e4,8647f8cd-7739-42c3-9946-a9518ec21e82,Rhode Island,NADEAU CONSTRUCTION                                         ,NADEAU CONSTRUCTION                                         ,,,closed,2011-01-07,,,3318.73,6637.46,3513.18
d02f22c4-e816-4f26-95b8-d79294dc8ba3,e76e4943-846d-4924-91be-f62e4c487546,Rhode Island,B.W. DEXTER II. INC.                                        ,B.W. DEXTER II. INC.                                        ,,,closed,2011-01-07,,,2840.97,5681.94,2840.97
ab168782-3c4f-4db9-92be-01a5c17afe78,b82f63f5-ac3d-4dc5-b159-3491d0633946,Rhode Island,LARA'S PLASTERING                                           ,LARA'S PLASTERING                                           ,,,closed,2011-01-07,,,5688.02,11376.04,5688.0
65b54644-a11f-47ed-aac1-e1d4568e3223,da7df1bf-8706-459f-a4fc-c65865894fda,Rhode Island,PRIME ELECTRIC                                              ,PRIME ELECTRIC                                              ,,,closed,2011-03-23,,,4187.18,16748.66,11864.55
c3dec4c3-e196-48a0-b4cf-3a531fca353b,975405d2-8071-4f7b-bc00-3b86be10f68f,Rhode Island,NADEAU CORPORATION                                          ,NADEAU CORPORATION                                          ,,,closed,2011-05-24,,,873.01,1746.02,873.01
