 ,CASE NUMBER,DATE RECEIVED,ACCOUNT NAME,ACCOUNT DBA NAME,NAICS CODE,CASE STATUS,CLAIM AMOUNT,AMOUNT ASSESSED,PAYMENTS RECEIVED
,2010-0027,2010-02-17,"FRANK LOMBARDO & SONS, INC.                                 ","FRANK LOMBARDO & SONS, INC.                                 ",,CLOSED,17231.16,34462.32,17231.16
,2011-0003,2010-02-24,IRON CONSTRUCTION GROUP                                     ,IRON CONSTRUCTION GROUP                                     ,,CLOSED,16892.25,50676.75,32164.48
,2011-0007,2010-04-20,ALHAMBRA                                                    ,ALHAMBRA                                                    ,,CLOSED,1471.0,2942.0,1471.0
,2010-0028,2010-04-21,"F. MARTINELLI & SON, INC.                                   ","F. MARTINELLI & SON, INC.                                   ",,CLOSED,12179.69,24359.38,12179.64
,2010-0029,2010-04-21,STEPHEN'S MASONRY INC                                       ,STEPHEN'S MASONRY INC                                       ,,CLOSED,5278.5,10557.0,5278.5
,2011-0005,2010-04-21,CHERENZIA EXCAVATION INC.                                   ,CHERENZIA EXCAVATION INC.                                   ,,CLOSED,950.15,1900.3,950.15
,2011-0008,2010-08-06,CALSON CONSTRUCTION                                         ,CALSON CONSTRUCTION                                         ,,CLOSED,637.35,1274.7,637.35
,2011-0013,2010-09-01,JM PAINTING & PLASTERING LLC                                ,JM PAINTING & PLASTERING LLC                                ,,CLOSED,34427.46,68854.92,34427.4
,2011-0019,2010-09-01,ALLIED ELECTRIC                                             ,ALLIED ELECTRIC                                             ,,CLOSED,38002.17,152008.68,0.0
,2011-0017,2010-10-12,CHIRICO CONSTRUCTION CO. INC.                               ,CHIRICO CONSTRUCTION CO. INC.                               ,,CLOSED,210.62,421.24,210.62
,2011-0018,2010-10-12,DOME CONSTRUCTION COMPANY                                   ,DOME CONSTRUCTION COMPANY                                   ,,CLOSED,1953.35,3906.7,1953.35
,2011-0020,2010-10-14,FRIAS CONCRETE FLOORS INC.                                  ,FRIAS CONCRETE FLOORS INC.                                  ,,CLOSED,21.53,21.53,0.0
,2011-0025,2010-10-14,SALO CONSTRUCTION                                           ,SALO CONSTRUCTION                                           ,,CLOSED,929.15,1858.3,929.15
,2011-0026,2010-10-14,S&S CONCRETE FORMS CONSTRUCTION INC.                        ,S&S CONCRETE FORMS CONSTRUCTION INC.                        ,,CLOSED,100.82,201.64,100.82
,2011-0027,2010-10-14,TOWER CONSTRUCTION                                          ,TOWER CONSTRUCTION                                          ,,CLOSED,764.73,1529.46,764.73
,2010-0030,2010-11-09,FRESILLI & SONS MASONRY INC                                 ,FRESILLI & SONS MASONRY INC                                 ,,CLOSED,5242.85,10485.7,5242.85
,2012-0006,2010-11-22,ARAMARK                                                     ,ARAMARK                                                     ,,CLOSED,91500.0,171500.0,40000.0
,2011-0030,2010-12-20,INTERNATIONAL PAVING CORPORATION                            ,INTERNATIONAL PAVING CORPORATION                            ,,CLOSED,11614.04,11614.04,0.0
,2011-0031,2010-12-20,INTERNATIONAL PAVING CORPORATION                            ,INTERNATIONAL PAVING CORPORATION                            ,,CLOSED,566.46,566.46,0.0
,2011-0024,2011-01-07,NADEAU CONSTRUCTION                                         ,NADEAU CONSTRUCTION                                         ,,CLOSED,3318.73,6637.46,3513.18
,2011-0028,2011-01-07,B.W. DEXTER II. INC.                                        ,B.W. DEXTER II. INC.                                        ,,CLOSED,2840.97,5681.94,2840.97
,2011-0029,2011-01-07,LARA'S PLASTERING                                           ,LARA'S PLASTERING                                           ,,CLOSED,5688.02,11376.04,5688.0
,2011-0037,2011-03-23,PRIME ELECTRIC                                              ,PRIME ELECTRIC                                              ,,CLOSED,4187.18,16748.66,11864.55
,2011-0036,2011-05-24,NADEAU CORPORATION                                          ,NADEAU CORPORATION                                          ,,CLOSED,873.01,1746.02,873.01
,2012-0001,2011-06-08,HIGH TECH CONSTRUCTION INC.                                 ,HIGH TECH CONSTRUCTION INC.                                 ,,CLOSED,106077.87,424311.48,0.0
,2012-0004,2011-07-08,COLLARD ENTERPRISES INC.                                    ,COLLARD ENTERPRISES INC.                                    ,,CLOSED,4184.21,8368.42,4184.21
,2012-0007,2011-08-11,CRUZ ENVIRONMENTAL SERVICES LLC                             ,CRUZ ENVIRONMENTAL SERVICES LLC                             ,,CLOSED,33.5,33.5,0.0
,2012-0009,2011-08-11,MORAN ENVIRONMENTAL RECOVERY                                ,MORAN ENVIRONMENTAL RECOVERY                                ,,CLOSED,22.57,22.57,0.0
,2012-0010,2011-08-11,MORAN ENVIRONMENTAL RECOVERY                                ,MORAN ENVIRONMENTAL RECOVERY                                ,,CLOSED,41.35,41.35,0.0
,2012-0013,2011-09-06,JAM CONSTRUCTION CO. INC.                                   ,JAM CONSTRUCTION CO. INC.                                   ,,CLOSED,221.56,443.12,221.55
,2012-0026,2011-12-05,"STANLEY ROOFING CO., INC.                                   ","STANLEY ROOFING CO., INC.                                   ",,CLOSED,4066.77,8133.54,4066.77
,2012-0030,2011-12-12,INDUSTRIAL REFRIDGERATION CORP.                             ,INDUSTRIAL REFRIDGERATION CORP.                             ,,CLOSED,23263.01,46526.02,22263.01
,2012-0025,2012-01-09,A.L. PURINTON CORP                                          ,A.L. PURINTON CORP                                          ,,CLOSED,1821.48,3642.96,1821.48
,2012-0032,2012-01-09,CUMPLIDO PAINTING & RENOVATIONS                             ,CUMPLIDO PAINTING & RENOVATIONS                             ,,CLOSED,9238.47,18476.94,684.04
,2012-0015,2012-01-11,ACT CORP.                                                   ,ACT CORP.                                                   ,,CLOSED,4458.86,8917.72,4458.86
,2012-0020,2012-01-11,ACT CORP.                                                   ,ACT CORP.                                                   ,,CLOSED,1564.66,3129.32,1564.66
,2012-0021,2012-01-12,ACT CORP.                                                   ,ACT CORP.                                                   ,,CLOSED,66.2,132.4,66.2
,2012-0022,2012-01-12,ACT CORP.                                                   ,ACT CORP.                                                   ,,CLOSED,5041.09,10082.18,5041.09
,2012-0024,2012-01-18,ENCORE HOLDINGS                                             ,ENCORE HOLDINGS                                             ,,CLOSED,21079.1,42158.2,21079.08
,2012-0023,2012-02-01,MP MASONRY INC.                                             ,MP MASONRY INC.                                             ,,CLOSED,69353.87,138707.74,69353.87
,2012-0034,2012-02-07,SASA BROS                                                   ,SASA BROS                                                   ,,CLOSED,13564.28,54257.12,23737.56
,2012-0031,2012-03-23,A/Z CORPORATION                                             ,A/Z CORPORATION                                             ,,CLOSED,3678.87,7357.74,3678.87
,2012-0036,2012-04-13,SERVPRO/SUPREME RESTORATION                                 ,SERVPRO/SUPREME RESTORATION                                 ,,CLOSED,5932.44,8898.66,3558.05
,2012-0037,2012-04-26,J. ALBANESE                                                 ,J. ALBANESE                                                 ,,CLOSED,818.06,1636.12,1948.42
,2012-0027,2012-05-10,JAM CONSTRUCTION COMPANY INC.                               ,JAM CONSTRUCTION COMPANY INC.                               ,,CLOSED,5431.84,10863.68,321.78
,2013-0007,2012-06-04,ALL PHASE RESTORATION LLC                                   ,ALL PHASE RESTORATION LLC                                   ,,CLOSED,3001.02,6002.04,3001.02
,2013-0012,2012-09-21,CUMPLIDO PAINTING & RENOVATIONS                             ,CUMPLIDO PAINTING & RENOVATIONS                             ,,CLOSED,2079.76,4159.52,153.26
,2013-0013,2012-09-21,CUMPLIDO PAINTING & RENOVATIONS                             ,CUMPLIDO PAINTING & RENOVATIONS                             ,,CLOSED,27662.92,55325.84,2201.32
,2013-0014,2012-09-21,CUMPLIDO PAINTING & RENOVATIONS                             ,CUMPLIDO PAINTING & RENOVATIONS                             ,,CLOSED,942.88,1885.76,154.64
,2013-0015,2012-09-24,L&L DOZER SERVICE INC                                       ,L&L DOZER SERVICE INC                                       ,,CLOSED,153005.57,306011.14,0.0
,2005-0011,2012-09-30,"AURORA ELECTRIC, INC.                                       ","AURORA ELECTRIC, INC.                                       ",,CLOSED,2359.63,2359.63,0.0
,2013-0016,2012-10-02,ALL PHASE RESTORATION LLC                                   ,ALL PHASE RESTORATION LLC                                   ,,CLOSED,527.85,1055.7,527.85
,2013-0001,2012-12-19,CONTINENTAL FLOORING                                        ,CONTINENTAL FLOORING                                        ,,CLOSED,2890.45,5780.9,1639.51
,2013-0042,2012-12-19,MANCIERI FLOORING                                           ,MANCIERI FLOORING                                           ,,OPEN,70027.39,280109.56,0.0
,2013-0019,2013-02-07,HKS CONSTRUCTION HOLDING CORP                               ,HKS CONSTRUCTION HOLDING CORP                               ,,CLOSED,13335.58,23337.24,0.0
,2013-0020,2013-02-07,HKS CONSTRUCTION HOLDING CORP                               ,HKS CONSTRUCTION HOLDING CORP                               ,,CLOSED,498.32,996.64,295.55
,2013-0021,2013-02-07,HKS CONSTRUCTION HOLDING CORP                               ,HKS CONSTRUCTION HOLDING CORP                               ,,CLOSED,748.65,1497.3,432.86
,2013-0022,2013-02-07,HKS CONSTRUCTION HOLDING CORP                               ,HKS CONSTRUCTION HOLDING CORP                               ,,CLOSED,1381.71,2763.42,821.52
,2013-0023,2013-02-12,"AD&D WELDING BOILER WORKS, INC.                             ","AD&D WELDING BOILER WORKS, INC.                             ",,CLOSED,583.31,1166.62,583.31
,2014-0003,2013-07-01,"AQUIDNECK CONSTRUCTION, INC                                 ","AQUIDNECK CONSTRUCTION, INC                                 ",,CLOSED,20487.36,40974.72,16935.47
,2014-0013,2013-07-01,AQUIDNECK CONSTRUCTION INC.                                 ,AQUIDNECK CONSTRUCTION INC.                                 ,,CLOSED,12611.26,25222.52,12611.26
,2014-0004,2013-07-10,I PLUS ENTERPRIZE LLC                                       ,I PLUS ENTERPRIZE LLC                                       ,,CLOSED,584.83,1169.66,584.83
