case_uuid,violation_uuid,state_name,citation_sequence,employer_name,employer_dba_name,employer_city,violation_category,case_status,date_opened,date_paid,date_closed,amount_claimed,amount_assessed,amount_paid
3968e6d6-0619-434f-b7e3-23f89d0f7b64,fd77f19e-bbac-427b-b32d-bb589fde2e0b,South Carolina,1,BKB Construction,,,,closed,2010-01-04,,2010-01-12,,,
baba4609-67e7-4698-8b06-3a5da4a86e08,04bd7bd3-64e0-4cd2-bac0-dfd15643f01b,South Carolina,1,S A M Enterprises,,,unpaid_wages,closed,2010-01-05,,2010-01-28,,1298.07,100.0
138e8129-6200-41a2-82a8-7ac4e1d5b72d,143ca06d-1b32-4649-bbad-51f9758b445a,South Carolina,1,Promise Land Ministries,,,,closed,2010-02-08,,2010-02-17,,,
2957123c-cc44-4389-940b-fe3c40fbb14d,eaac5f30-6644-4dfc-a2e4-5ceb7db348f9,South Carolina,1,"Acadian Steel Erectors, Inc.",,,,closed,2010-02-05,,2010-03-22,,,
bf90cbbe-3ee4-4a94-942b-c6d340de01d5,ce94b564-e824-426f-b943-049a4acad4c3,South Carolina,1,First Beyond Entertainment,,,,closed,2010-02-08,,2010-12-19,,,
5588c8ae-0a71-473a-b629-c618b306a185,8d51a9e8-f828-45b2-9657-61e2077b81d3,South Carolina,1,Lakeside Crossing,,,,closed,2010-02-09,,2010-02-11,,,
a985763a-6d0e-4c72-9ed7-0eb52f7d7af7,b6eb10c0-705b-4cf7-8138-bc59a18b660f,South Carolina,1,Tek Systems Inc,,,unpaid_wages,closed,2010-02-09,,2010-03-04,,275.23,300.0
b8b64728-6603-4082-a3f7-9fe663e2e531,8b3488d1-9f96-46c7-8576-25e89e42df4a,South Carolina,1,Driver Bridge LLC,,,unpaid_wages,closed,2010-02-09,,2010-02-18,,150.0,25.0
e013a4e3-f823-4ae8-af3c-1c493ce8735a,ead787d3-4c80-4ec1-9f55-68316d2d0ac4,South Carolina,1,GCA Services Group Inc,,,,closed,2010-02-10,,2010-03-01,,,
4db142b0-d76e-453c-9719-51c77b41d9cd,6fa59699-83d3-476a-a671-9609d20fe609,South Carolina,1,Orangeburg Adult Day Care,,,,closed,2010-02-11,,2010-02-23,,,
faa1c733-2f04-4ec6-956a-04c889bf61f4,ac50f307-2b6f-4fba-8dc8-022fbf753950,South Carolina,1,East Coast Landscaping & Hydro Seeding,,,unpaid_wages,closed,2010-01-07,,2010-02-25,,950.0,0.0
809efa2f-7504-446c-8fc8-120017cae129,169ef96b-51e9-4f83-a192-1528211d32ce,South Carolina,1,Mount Vintage Plantation & Golf Course,,,unpaid_wages,closed,2010-02-11,,2010-03-18,,,400.0
bedd87e0-2662-43d1-846e-9230534e326b,d35f7fa2-5a20-4534-aadb-62982e2b59e7,South Carolina,1,Cork Neighborhood Bistro,,,unpaid_wages,closed,2010-02-11,,2010-03-22,,162.52,0.0
3bf9d55c-16c7-4ce1-ae50-289670a14684,e86cbcfd-aba6-44f2-bef2-3f47d5f20e05,South Carolina,1,Trane,,,,closed,2010-02-11,,2010-02-24,,,
