case_uuid,violation_uuid,state_name,employer_name,employer_dba_name,employer_city,violation_category,case_status,date_opened,date_paid,date_closed,amount_claimed,amount_assessed,amount_paid
18937831-51c1-4533-b3e3-aac893d82377,f0d21de6-4777-45eb-b94f-07e1c4d23382,Utah,"Donald Jimmie Mock dba Utah Hood Cleaner,Mock, Jim",,,,closed,2010-01-05,,,710.0,1012.0,
a37815e3-9976-4c09-bbc1-be2af021df70,430bf331-be93-4b38-8165-931911bab454,Utah,"Monjazeb, Kamran,Kameran Monjazeb dba A A Better Roofing",,,,closed,2010-01-11,,,2730.0,,
3ce1bfb9-d732-40d5-8f19-c538fcee1737,8be407e3-b7e0-4a9e-91e8-865c98053817,Utah,"Johnson, Valerie,Johnson, Warren H,Concrete Connection Inc,Johnson, Corey",,,,closed,2010-01-20,,,1680.0,3360.0,
aea89359-251b-42e0-b4db-b921bd25c93f,522a254b-a4ca-4f86-bc96-a06895d8d508,Utah,"Hawthorn Pharmaceuticals,Draughn, Max",,,,closed,2010-01-20,,,1300.0,1300.0,
5ec72953-2c16-4883-8fb7-be38631e6247,3d949e9e-bac1-46f0-8334-bd666fddfb7e,Utah,"Chambers, Neal Garth,Chambers, Kelley,Firehouse Pizzeria LLC,Chambers, Greg Langton",,,,closed,2010-01-20,,,72.5,,
46726d73-599e-4a95-a5ef-963f10975ce0,1366d8c3-5acc-455b-aaa2-4937ec4b8284,Utah,"Stuart, Douglas T,Digital Draw Network Inc",,,,,,,,2247.96,4472.0,1816.89
329df0f9-8e5f-467d-a23f-3be07355b203,5b500f3a-5d94-450a-adef-4df3731b0b9e,Utah,"Croker, Kelly,Candy For Contractors,Crockett, Erika,Crockett, Kiley,Kdc Const LC",,,,closed,2009-11-09,,,3400.0,,
2674469a-32c7-46c5-9cc6-02646b4210a5,6aca0bf5-e9fc-40af-89f7-d54637d336f2,Utah,"Stuart, Douglas T,Digital Draw Network Inc",,,,,,,,689.52,1124.0,322.64
7a66f74a-4931-4ae2-9c5f-79542ec7e89e,b9fabf69-9cca-4cea-bfa7-67580ee8a743,Utah,"Pedersen, Robert G,Zagg Inc,O'Brien, Brandon T",,,,,2010-01-26,,,10000.0,,5127.39
adf4d7da-ad97-4bcd-8f60-11e2f4c200fa,deb6c042-ea77-4c5c-b67e-5e4ceaf1a1e7,Utah,"Heritage Custom Upholstery & Mfg LLC,Dean, Rory,Dean, Kelli R",,,,closed,2010-01-26,,,2726.02,2726.02,
19ae3552-5f67-40ec-acb3-ebc8f9eea779,ea628edd-eb9d-4e92-9243-c3317e681dcb,Utah,"Central Valley Mechanical LLC,Howard, Troy",,,,closed,,,,800.0,,
3f73ebc7-2461-4a03-a13e-847c81c86675,f01e80ce-e620-47f5-bc7f-a353b22f7777,Utah,"Norman, Grant,Western States Rebar Fabrication Inc,Norman, Pamela,Boono, Den,Rocky Mountain Rebar LLC",,,,,2010-01-25,,,467.6,,286.23
2a7e16a5-0493-4bf5-8bb0-6822d23e8463,0dd18484-4768-41b1-869f-7f0c33e8ab9c,Utah,"Ddn Mortgage Services LLC,Stuart, Douglas T",,,,,2010-01-26,,,790.83,0.0,839.67
21427ca7-4bff-40a0-8afd-cd21b2810dd6,bb5e8856-d2f3-46aa-bb92-69fe8ffa1741,Utah,"Fable Jewelry Co Inc dba Fable Designs,Isom, Mark,Fable Designs,Ferguson, Richard,Crow, Eric,Bogenschutz, Kathi",,,,,2010-01-26,,,3346.15,717.75,717.75
d680f4e1-abb2-4431-a1b2-8d41ebb31ab2,aa642638-08f6-44d0-aa20-84ccc44c575e,Utah,"Johnson, Barry Kevin,B K Drywall Inc",,,,,2010-01-26,,,2304.0,,500.0
ce0cd87d-6b35-462f-98b4-df7b474d6d60,ba4da9be-6e5f-4b4a-b9da-310e388708f8,Utah,"Ashby, Christopher J,Debt Free Investment Properties,Nelson, Jordan S,Investment Property Solutions,Peterson, Paula,Taylor, Brian K,Rockwell Tic Inc",,,,,2009-12-24,,,10000.0,5740.0,5740.0
591ea998-16ff-4d56-b06c-368e6e38badd,104a2865-19d9-4309-a679-40bd50fb0c75,Utah,"Jlh Enterprises LLC,Holt, James L,Holt, Christa Del,Pepperbellys",,,,,2010-01-27,,,650.0,,650.0
7dcdaeef-7218-4af7-8168-995a9589d773,04cfd12b-41c1-407d-9184-287167328803,Utah,"Bogenschutz, Kathi,Fable Jewelry Co Inc dba Fable Designs,Isom, Mark,Fable Designs,Ferguson, Richard,Crow, Eric",,,,,2010-01-28,,,4447.96,,1732.0
